sentence1,sentence2,similarity
"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",A dog is swimming after a ball,0.26815027
"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",Two dogs play in the snow.,0.2761766
Two dogs playing in the snow.,"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",0.27690342
The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.,The woman is skating in the park.,0.27721453
The woman is skating in the park.,The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.,0.2845313
"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",a dog runs through the snow .,0.28654188
A dog is jumping on a trampoline,"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",0.29318324
"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",a dog rolls on the ground .,0.2972213
"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",The woman is skating in the park.,0.29824534
"New Delhi: Senior IAS officer Rajiv Bansal was Thursday named the CMD of national carrier Air India. The Appointments Committee of the Cabinet approved Bansal;s appointment as CMD of Air India in the rank and pay of an Additional Secretary.

At present, Bansal, a 1988 batch officer of the Nagaland cadre, held the post of Additional Secretary, Ministry of Petroleum and Natural Gas. He succeeds Ashwani Lohani. In August 2017, he was given the additional charge as Air India’s CMD.

Bansal has had an earlier stint with the Ministry of Civil Aviation (MoCA) between 2006 and 2008.

Now Bansal will have his task cut out as the government is going for 100% disinvestment of the national career. Very soon the government will put up Air India for sale. The move is being opposed by 14 unions of Air India. So Bansal will have to handle everything carefully.

Agencies",The woman is skating in the park.,0.3006742
The woman is skating in the park.,"mr. mccall , who ran unsuccessfully for governor of new york in 2002 , styled himself an advocate of better corporate governance .",0.30103782
A talented man is playing the guitar,"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",0.3022173
"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",You work on it slowly.,0.30258814
"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",Two black dogs are playing on the grass.,0.30272117
the agency said it would consider as timely any tax returns or payments due from friday through aug. 22 if they are completed by aug. 22 .,The woman is skating in the park.,0.3039829
"Business News of Friday, 21 February 2020

Source: classfmonline.com

2020-02-21

Akufo-Addo, Prez Ghana

President Nana Akufo-Addo has said Ghana, “for the first time in over 40 years”, has maintained “a fiscal deficit below five per cent of GDP for three years in a row”.

Delivering his State of the Nation Address to a one-sided Parliament on Thursday, 20 February 2020, Mr Akufo-Addo also said “in three years, we have reduced inflation to its lowest level (7.8% in January 2020) since 1992”.

“For the first time in over 20 years, the balance of trade (that is the difference between our exports and imports) has been in surplus for three (3) consecutive years.

“Our current account deficit is shrinking, interest rates are declining, and the average annual rate of depreciation of the cedi is at its lowest for any first term government in the Fourth Republic.

“Our economic growth has rebounded to place Ghana among the fastest growing economies in the world for three years in a row at an annual average of 7%, up from 3.4% in 2016, the lowest in nearly three decades”, the President said.

According to him, the international community has taken note of his government’s performance, “resulting in Ghana, today, being the largest recipient of foreign direct investment in West Africa”.

“The sovereign credit ratings agencies have upgraded our ratings, and also improved the outlook for this year, notwithstanding the fact that it is an election year.

“This is a massive vote of confidence in the current management of the economy, as best illustrated by Ghana’s successful issue of the longest-dated Eurobond ever issued by a sub-Saharan African country, with investors placing fifteen billion United States dollars ($15 billion) of orders for Ghana’s forty-one (41) year Eurobond.

“The seven (7) year Bond attracted the lowest coupon rates ever for Ghana at six point three-seven-five percent (6.375%), compared with the nine point two-five percent (9.25%) Ghana had to pay for a similar Eurobond issue in 2016. No wonder Bloomberg, the reputable global financial media house, earlier this week, highlighted Ghana as the top candidate for an economic leap in Africa.

“This expression of confidence is important because it will lead to enhanced investments in our economy, and the accompanying greater numbers of jobs”, he said.",The woman is skating in the park.,0.30412206
The woman is walking the dog down the street ,"Twelve more persons have tested positive for COVID-19 in Kerala, Chief Minister Pinarayi Vijayan said on Friday. Of the new cases, six persons are from Kasaragod, five from Ernakulam and one from Palakkad. Total 40 persons have tested positive for COVID-19, out of them three have been discharged, the Chief Minister said.

There are 44,390 people under surveillance in the state. Of these, 44,165 are in isolation at home and total of 225 people are hospitalized. Vijayan said, ""On Friday, 56 people were admitted. 13,632 people have now been admitted into isolation. 5570 people ...",0.30477458
A dog is swimming after a ball,The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.,0.3051463
