sentence1,sentence2,similarity
"Nonetheless, the open-source guru insisted, ""This attack was wrong, and it was dangerous to our goals.""",Children in swimming suits are playing in the pool,0.074475825
a woman pets a dog in a gated yard .,Three boys are jumping off a platform,0.077737264
a woman is swimming underwater .,two men stand with their bicycles outside a shop .,0.08221491
A woman is dancing alone,Two boys are playing flag football.,0.08226182
"his sport utility vehicle was found june 25 , abandoned without its license plates in virginia beach , va .",three women with brown hair are smiling .,0.08314556
a small boy wearing a blue shirt stacks wooden blocks .,woman dies riding roller coaster at texas amusement park,0.084487595
A cat is playing a piano,pakistan executions draw international ire,0.08597813
A dog with a golden coat is swimming through the water,syrians trade blame over blasts,0.089082986
"his sport utility vehicle was found june 25 , abandoned without its license plates in virginia beach , va .",Two women are dancing and singing in front of a crowd,0.08922016
a woman pets a dog in a gated yard .,Two boys are playing a video game,0.09085287
woman dies riding roller coaster at texas amusement park,Two boys are playing flag football.,0.09247647
four women and two men sit at a long table in a restaurant .,A kid wearing a striped shirt is running barefoot on the sandy hill,0.093435206
A woman is dancing alone,"the show 's creator and executive producer , phil rosenthal , quipped in a statement : "" we had a big contract negotiation .",0.096404135
a man in a dress suit is riding a bike down the paved road .,three young women standing in a room together .,0.09774217
Two men are riding an orange raft on the shore,a little girl is walking down a hallway .,0.09811397
the similarity measures largely identify the retrieval efficiency of a particular information retrieval system .,There is no man skiing down a snowy hill,0.09811941
A light brown dog runs down a path happily.,"the international atomic energy agency has no access to people , documents , sites .",0.10023814
pakistan executions draw international ire,A light brown dog runs down a path happily.,0.10053507
a small boy wearing a blue shirt stacks wooden blocks .,freed pussy riot pair stir up anti-putin protests,0.10065144
woman dies riding roller coaster at texas amusement park,two homeless men stand outside with a cardboard sign .,0.10098964
a woman is swimming underwater .,Two boys are playing flag football.,0.10123429
There is no woman cutting potatoes,"the technology-laced nasdaq composite index < .ixic > added 8.27 points , or 0.51 percent , to 1,633.53 .",0.101872474
There is no lady walking in body paint in front of a crowd ,the similarity measures largely identify the retrieval efficiency of a particular information retrieval system .,0.102840714
a small boy wearing a blue shirt stacks wooden blocks .,Two women are dancing and singing in front of a crowd,0.10286082
A cat is playing a piano,saudi arabia arrests suspected militants with al-qaeda links,0.10289928
