sentence1,sentence2,similarity
hundreds killed in brazil nightclub fire,There is no dog riding a skateboard,0.40517312
A woman is chopping onions,A dog is pushing a toddler into a rain puddle,0.4232067
A woman is chopping onions,There is no dog riding a skateboard,0.42394942
There is no dog riding a skateboard,a woman splits garlic cloves .,0.424914
a man and woman kissing in front of a crowd of people .,There is no dog riding a skateboard,0.42821234
Two people are kissing near a crowd,There is no dog riding a skateboard,0.43035612
There is no dog riding a skateboard,Three kids are jumping in the leaves,0.431242
There is no dog riding a skateboard,christie investigation heats up,0.43459272
There is no dog riding a skateboard,A person is stirring vegetables in a pot.,0.43501684
There is no dog riding a skateboard,americans scramble to sign up for obamacare by deadline,0.43553782
A woman is chopping onions,Two baby pandas are sleeping,0.43597266
Three boys are rocking the walk along the river,A man and woman are asleep on the couch.,0.43758652
There is no dog riding a skateboard,A young couple is lying on a couch together,0.43762425
7.3 magnitude earthquake strikes nepal,There is no dog riding a skateboard,0.43790537
There is no dog riding a skateboard,Oil is being poured into a skillet by the woman,0.4385646
There is no dog riding a skateboard,"er diab ... "" : at least 245 killed in brazil nightclub fire """,0.4393882
"So in his State of the Union address in January, Bush declared that the British government ""has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""",There is no dog riding a skateboard,0.44008616
There is no dog riding a skateboard,The little girl in a pink shirt is running under a tree in the desert,0.44032764
There is no dog riding a skateboard,syrian troops push into strategic rebelheld town,0.44129273
There is no dog riding a skateboard,dozens killed in laos plane crash,0.44258866
There is no dog riding a skateboard,the woman is pencilling on eye shadow .,0.44322136
A classroom is empty,Three boys are rocking the walk along the river,0.4443345
There is no dog riding a skateboard,A man is quickly chopping some mushrooms with a knife,0.44460496
There is no dog riding a skateboard,"if they were jews , i would call them jews .",0.44474003
There is no dog riding a skateboard,A family is posing by the mantel and the Christmas tree,0.44484147
There is no dog riding a skateboard,i started to dig into this because you caught my curiosity itch with the question ...,0.44488323
There is no dog riding a skateboard,the woman is dicing onions .,0.4455139
Two baby pandas are sleeping,A woman is riding a scooter for water,0.44586456
There is no dog riding a skateboard,A person in a pink jacket is running onto the field,0.44656986
The little girl in a pink shirt is running under a tree in the desert,A man and woman are asleep on the couch.,0.44727284
There is no dog riding a skateboard,A woman is boiling eggs,0.44784307
A family is posing by the mantel and the Christmas tree,There is no one cutting a tomato,0.44861293
a man and a woman are kissing .,There is no dog riding a skateboard,0.44936317
Three boys are rocking the walk along the river,The potato is being peeled by the lady,0.45017922
There is no dog riding a skateboard,how to make a strong mug of instant coffee ?,0.45029992
