sentence1,sentence2,similarity
Two dogs fighting in the snow.,"between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .",0.009767665
"between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .",two dogs in the snow,0.011741667
"the company will launch 800 hot spots , or "" wi-fi zones , "" later this summer , and plans to have more than 2,100 by the end of the year .",how can i remove this screw ?,0.037412066
two white standard poodles play with a toy in the snow,"between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .",0.039380267
how to tell my company that i am having issues with my boss ?,"between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .",0.042481255
A grey dog is jumping toward a black and white dog in the soft snow,"between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .",0.04515101
syrian opposition offers assad truce in homs for duration of ramadan,"Picking the best games of the decade is an increasingly tough task. The number of titles keeps expanding while the number of platforms has blossomed beyond consoles and PCs. Players encounter so much content that the job of winnowing all that down to a top-10 list is daunting.

I haven’t played all the critically acclaimed titles. Games such as “Undertale” have escaped my purview, but I’ve played plenty of releases over the past 10 years. The list below isn’t based on quality per se, but it’s more personal. These are the games that had a lasting impact on me. They are the ones that I fondly remember or the titles that I still play today.

That’s partly why titles such as “Minecraft” and “Fortnite” aren’t on that list. Although those are the two most important releases of the decade, they aren’t ones that I played very much. With that said, here are the games that were the most important to me over the past decade.

1 “Pokemon Go” — This unconventional take on the popular franchise had a surreal level of popularity when it was released during the summer of 2016. That enthusiasm has died down but the game remains a force.

Of all the games I played this decade, this has had the biggest impact on my life. That’s because of the nature of Niantic’s location-based game. It’s a title that’s played outside in the real world and encourages players to explore their neighborhood to find pocket monsters.

That pushes players to interact face to face and opens up opportunities to foster bonds between players. The magic of “Pokemon Go” is how it manages to build community. It’s a game that has led to real-life friendships and even a commitment to running. It’s a mobile title that has enriched the lives of players because its a game that exists beyond the screen.

2 “Hearthstone” — I tried and failed to get into “Magic: The Gathering” as a teenager but I gave the collectible card game genre another chance with “Hearthstone.” I wasn’t disappointed. Part of the success of Blizzard’s game is that the developers simplified the gameplay elements and put it on mobile platforms and tablets.

It opened up the game to a huge audience and the accessible gameplay made it easy to pick up. The combination of the two has made it hugely successful and turned “Hearthstone” into a popular esport. The only black mark on its resume is the controversy over a Hong Kong protest this year.

3 “Dark Souls 2” — Those who love the Hidetaka Miyazaki’s “Souls” game have a moment when his games just click for them. They look beyond the difficulty and appreciate the lessons contained within the adventure. No other title this decade taught me more about patience, persistence and perseverance than “Dark Souls 2.”

This isn’t the best game of the series, but it is the one that hooked me on to this style of gaming. Every encounter is fraught with danger and players feel the tension in every fight. Yes, the game is difficult and it can be obtuse at times, but it’s also the most rewarding experience I’ve had this decade.

4. “The Last of Us” — One of the most overlooked aspects of modern gaming has been the performances of voice actors. That has changed thanks in part thanks to the work of Naughty Dog, and the performances by actors Troy Baker and Ashley Johnson in this post-apocalyptic masterpiece.

The visuals are gorgeous for its time and the gameplay mechanics are solid with a mix action and stealth, but it’s the world that Naughty Dog creates and the actors’ performances that invest players in the characters and transformed how we appreciate games.

5. “Red Dead Redemption” — This game kicked off the decade and set the bar for the open-world genre. The beautiful visuals coupled with an intriguing story and memorable protagonist in John Marston made this a game that fans enjoyed living with.

It’s an adventure that used its environment to its advantage, creating a distinct take on the wild west. One that few games have been able to match.

6. “Mass Effect 3” — This title capped off arguably the best video game trilogy in years. It was also the culmination of years of storytelling as BioWare wrapped up a journey that began in 2007. What’s notable about this project is how the choices players made over each chapter impacted the totality of the finale.

The ending itself was not without controversy and showed how games aren’t just one-way streets from developers to players. It is a collaboration in which those who make the games must listen to their audience.

7. “The Legend of Zelda: Breath of the Wild” — Nintendo’s first foray into an open-world “Zelda” was hugely successful and helped with the strong launch of the Nintendo Switch. “Breath of the Wild” was also the biggest departure from the series tried and true formula, but somehow it maintained the ethos of discovery and adventure. It was a series that needed a heavy dose of change and Eiji Aonuma and his team delivered.

8. “Monster Hunter World” — The disparity between the popularity of the “Monster Hunter” franchise in Japan and the U.S. has always been wide, but it has significantly narrowed thanks to this entry in the series. Not only has Capcom produced one of its most visually striking games, but by streamlining the mechanics it made it more approachable and addictive. All of this creates one of the best entries and one that broke out in the United States in a big way.

9. “Sid Meier’s Civilization V: Brave New World” — Every once in a while I have the urge to play a campaign of “Civilization.” Few franchises have had its hooks in me like that. The developer, Firaxis, has molded a successful franchise by launching a new chapter with improved visuals and mechanics, but over time, they have refined it through downloadable expansion packs. The process has made a great game perfect. The pinnacle of the series is “Brave New World,” where the team brings in ideas such as the World Congress, tourism and Great Works to add a new layer of depth to the late game. This game continues to be one I return to despite a solid sequel.

10. “Overwatch” — The rise of esports has been one of the major stories of the decade, and one of the games that capitalized on that is “Overwatch.” Blizzard’s team-based shooter was a hit because it allowed players of all skill levels to compete by allowing them to fulfill different roles. If someone doesn’t great quick-twitch skills or accuracy, they may have a talent at tactics or healing. That makes it more accessible and rewarding. I’ve spent hours playing with my brother and cousins and figuring out our own playstyles.

Blizzard has done a great job at cultivating “Overwatch” as an esport, and with its Overwatch League moving its teams to local markets in 2020 and a sequel on the way, the future looks bright for the game.",0.04595756
"Today, we'll introduce the concept of the P/E ratio for those who are learning about investing. We'll look at Hotel Grand Central Limited's (SGX:H18) P/E ratio and reflect on what it tells us about the company's share price. Hotel Grand Central has a price to earnings ratio of 38.26, based on the last twelve months. That corresponds to an earnings yield of approximately 2.6%.

View our latest analysis for Hotel Grand Central

How Do I Calculate A Price To Earnings Ratio?

The formula for price to earnings is:

Price to Earnings Ratio = Price per Share ÷ Earnings per Share (EPS)

Or for Hotel Grand Central:

P/E of 38.26 = SGD1.30 ÷ SGD0.03 (Based on the year to September 2019.)

Is A High P/E Ratio Good?

A higher P/E ratio implies that investors pay a higher price for the earning power of the business. All else being equal, it's better to pay a low price -- but as Warren Buffett said, 'It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price'.

Does Hotel Grand Central Have A Relatively High Or Low P/E For Its Industry?

We can get an indication of market expectations by looking at the P/E ratio. You can see in the image below that the average P/E (26.6) for companies in the hospitality industry is lower than Hotel Grand Central's P/E.

SGX:H18 Price Estimation Relative to Market, January 2nd 2020 More

Hotel Grand Central's P/E tells us that market participants think the company will perform better than its industry peers, going forward. Shareholders are clearly optimistic, but the future is always uncertain. So investors should always consider the P/E ratio alongside other factors, such as whether company directors have been buying shares.

How Growth Rates Impact P/E Ratios

If earnings fall then in the future the 'E' will be lower. That means unless the share price falls, the P/E will increase in a few years. So while a stock may look cheap based on past earnings, it could be expensive based on future earnings.

Hotel Grand Central shrunk earnings per share by 24% over the last year. And EPS is down 20% a year, over the last 3 years. This might lead to low expectations.

Remember: P/E Ratios Don't Consider The Balance Sheet

One drawback of using a P/E ratio is that it considers market capitalization, but not the balance sheet. Thus, the metric does not reflect cash or debt held by the company. In theory, a company can lower its future P/E ratio by using cash or debt to invest in growth.

Such spending might be good or bad, overall, but the key point here is that you need to look at debt to understand the P/E ratio in context.

Hotel Grand Central's Balance Sheet

Hotel Grand Central has net cash of S$147m. This is fairly high at 16% of its market capitalization. That might mean balance sheet strength is important to the business, but should also help push the P/E a bit higher than it would otherwise be.

The Verdict On Hotel Grand Central's P/E Ratio

Hotel Grand Central has a P/E of 38.3. That's higher than the average in its market, which is 13.5. Falling earnings per share is probably keeping traditional value investors away, but the healthy balance sheet means the company retains potential for future growth. If fails to eventuate, the current high P/E could prove to be temporary, as the share price falls.

Investors have an opportunity when market expectations about a stock are wrong. As value investor Benjamin Graham famously said, 'In the short run, the market is a voting machine but in the long run, it is a weighing machine. Although we don't have analyst forecasts you could get a better understanding of its growth by checking out this more detailed historical graph of earnings, revenue and cash flow.",libya abruptly closes its borders with four countries,0.04752065
"Today, we'll introduce the concept of the P/E ratio for those who are learning about investing. We'll look at Hotel Grand Central Limited's (SGX:H18) P/E ratio and reflect on what it tells us about the company's share price. Hotel Grand Central has a price to earnings ratio of 38.26, based on the last twelve months. That corresponds to an earnings yield of approximately 2.6%.

View our latest analysis for Hotel Grand Central

How Do I Calculate A Price To Earnings Ratio?

The formula for price to earnings is:

Price to Earnings Ratio = Price per Share ÷ Earnings per Share (EPS)

Or for Hotel Grand Central:

P/E of 38.26 = SGD1.30 ÷ SGD0.03 (Based on the year to September 2019.)

Is A High P/E Ratio Good?

A higher P/E ratio implies that investors pay a higher price for the earning power of the business. All else being equal, it's better to pay a low price -- but as Warren Buffett said, 'It's far better to buy a wonderful company at a fair price than a fair company at a wonderful price'.

Does Hotel Grand Central Have A Relatively High Or Low P/E For Its Industry?

We can get an indication of market expectations by looking at the P/E ratio. You can see in the image below that the average P/E (26.6) for companies in the hospitality industry is lower than Hotel Grand Central's P/E.

SGX:H18 Price Estimation Relative to Market, January 2nd 2020 More

Hotel Grand Central's P/E tells us that market participants think the company will perform better than its industry peers, going forward. Shareholders are clearly optimistic, but the future is always uncertain. So investors should always consider the P/E ratio alongside other factors, such as whether company directors have been buying shares.

How Growth Rates Impact P/E Ratios

If earnings fall then in the future the 'E' will be lower. That means unless the share price falls, the P/E will increase in a few years. So while a stock may look cheap based on past earnings, it could be expensive based on future earnings.

Hotel Grand Central shrunk earnings per share by 24% over the last year. And EPS is down 20% a year, over the last 3 years. This might lead to low expectations.

Remember: P/E Ratios Don't Consider The Balance Sheet

One drawback of using a P/E ratio is that it considers market capitalization, but not the balance sheet. Thus, the metric does not reflect cash or debt held by the company. In theory, a company can lower its future P/E ratio by using cash or debt to invest in growth.

Such spending might be good or bad, overall, but the key point here is that you need to look at debt to understand the P/E ratio in context.

Hotel Grand Central's Balance Sheet

Hotel Grand Central has net cash of S$147m. This is fairly high at 16% of its market capitalization. That might mean balance sheet strength is important to the business, but should also help push the P/E a bit higher than it would otherwise be.

The Verdict On Hotel Grand Central's P/E Ratio

Hotel Grand Central has a P/E of 38.3. That's higher than the average in its market, which is 13.5. Falling earnings per share is probably keeping traditional value investors away, but the healthy balance sheet means the company retains potential for future growth. If fails to eventuate, the current high P/E could prove to be temporary, as the share price falls.

Investors have an opportunity when market expectations about a stock are wrong. As value investor Benjamin Graham famously said, 'In the short run, the market is a voting machine but in the long run, it is a weighing machine. Although we don't have analyst forecasts you could get a better understanding of its growth by checking out this more detailed historical graph of earnings, revenue and cash flow.",nato : 4 aid workers rescued from afghan insurgents,0.047564656
a trick i did was to grab and hold my cats close if they disturbed me during the night .,"between 1960 and 2000 , however , the state 's population grew by 30.4 percent to 6,080,485 .",0.048087787
