sentence1,sentence2,similarity
"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",Two children are climbing a tree,0.4476472
Two boys on a couch are playing video games,she was a nice lady .,0.45163906
two women are singing .,A man is slowly trekking in the woods,0.45341372
A blond girl is riding the waves,Two little boys are wearing tuxedos,0.45648447
in particular parliament adopted the legislative resolution ),There is no lady holding the paintbrush next to the artist's easel ,0.45879537
she was a nice lady .,Three boys are running.,0.45900393
"As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs.",. no signs indicate the street .,0.46260634
"yes , this is ok , as it allows you to emphasise certain things , that you want the readers to notice .",There is no man dancing on the road,0.46469173
A blond girl is riding the waves,he then appointed a working group to formulate the necessary changes to the policy of public spending and the fiscal policies .,0.4648349
two women are singing .,"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.46548292
A baby is playing a guitar,"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.46644908
"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",A girl with a bikini is playing in the dunes,0.46649474
"As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs.",A surfer is falling off the wave,0.46709797
the role of the head of a government department .,Two children are climbing a tree,0.46777728
Children in red shirts are sleeping in the leaves,why the net grieves aaron swartz - the innovator who embodied what 's best about the net .,0.46799767
"but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .",four children are playing on a trampoline.,0.4688591
it is undeniable that intolerance reached at summits of the turkish government .,A girl with a bikini is playing in the dunes,0.4690339
two women are singing .,A man in a hat is walking past a store,0.47011685
A bicyclist is performing a trick over a clean wall,it is undeniable that intolerance reached at summits of the turkish government .,0.4701177
Two dogs are playing on a rocky beach,"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.47020173
A boy in blue is running away from a woman in blue,amendment 7 proposes certain modifications in the references to paragraphs .,0.4708935
There is no man playing a harp,"yes , this is ok , as it allows you to emphasise certain things , that you want the readers to notice .",0.4709503
a man and his bicycle laying down on the green grass .,two women are singing .,0.47106507
A surfer is falling off the wave,that is the spirit in which must be worked out the european constitution .,0.47113076
A woman is sitting in the water.,Two little boys are wearing tuxedos,0.47130084
A blond girl is riding the waves,it is undeniable that intolerance reached at summits of the turkish government .,0.47132248
"but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .",Two kids and a woman are playing games at an arcade,0.4716553
There are no mimes performing,"It is a national concern that will touch virtually every American,"" Abraham said.",0.47192687
"since it is a formal theorem , bayes ' theorem holds in all popular interpretations of probability .",There is no woman slicing an eggplant,0.47217953
"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",A woman is slicing a tomato,0.47267917
Children in red shirts are sleeping in the leaves,the role of the head of a government department .,0.47276562
i am part of the parliamentary ones that are rather present honorably .,A surfer is falling off the wave,0.4728424
A woman is playing with a brown dog on a garden path,"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.47293738
"since it is a formal theorem , bayes ' theorem holds in all popular interpretations of probability .","mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.47295073
"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .","Two children, who are small, are playing with a toy car in the street",0.47307903
The woman is slicing a tomato,"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.4733759
it is valid in all common interpretations of probability .,"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.47389278
four children are playing on a trampoline.,"mr. mills declined to comment yesterday , saying that he never discussed personnel matters .",0.474115
Several people are sitting at small tables in a darkened room,A boy is wearing a white hat and is walking on the beach,0.4741636
"As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs.",Two dogs are resting on the beach,0.47431833
a man is watching tv on the foot of his bed .,Two children are climbing a tree,0.47434837
Two boys on a couch are playing video games,the role of the head of a government department .,0.47447056
"It is a national concern that will touch virtually every American,"" Abraham said.",Two dogs are resting on the beach,0.4748177
"but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .",two women are singing .,0.47489426
A little boy is running on the ground and playing with a little girl,"nevertheless , the patent is assigned to the university of stanford and not to google .",0.4752465
There are no kids jumping on a trampoline,"It is a national concern that will touch virtually every American,"" Abraham said.",0.4755572
"but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .",Two children are climbing a tree,0.47616142
how america 's top general came to endorse women in combat,There are no kids jumping on a trampoline,0.47616467
Two boys on a couch are playing video games,amendment 7 proposes certain modifications in the references to paragraphs .,0.47622377
"since it is a formal theorem , bayes ' theorem holds in all popular interpretations of probability .",There are no racers running down a track,0.47634575
There is no man shaking a container over a sink in the kitchen,cause to become widely known .,0.47637582
Two boys on a couch are playing video games,she told the inquiry that her husband had received assurances from his line manager and senior ministry officials that when he came forward his name would not be made public .,0.4764203
There is no man dancing on the road,"Under the proposed terms of the transaction, and following the spinoff of PalmSource, Palm will exchange 0.09 shares for each share of Handspring.",0.47649613
There are no mimes performing,"As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs.",0.47684675
"i would not accelerate things , to avoid getting worse grades that you want .",Three men are doing same dance in the street.,0.47745004
a man seated is playing the guitar .,people who are the technicians to maintain the robots .,0.47784346
his dissent was joined by chief justice william h. rehnquist and justice clarence thomas .,A girl with a bikini is playing in the dunes,0.47842503
"the former version of the european reaction ( what psychologists call "" the envy dollar ) only become more pénétrante .",There are no mimes performing,0.47899985
"sent him a text asking him to let me know he was ok , no reply .",two women are singing .,0.479456
a woman in a black dress smiles in front of a silver truck .,Two boys on a couch are playing video games,0.48025888
"As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs.",There is no man shaking a container over a sink in the kitchen,0.48057765
like better ; value more highly .,. no signs indicate the street .,0.4810278
Children in red shirts are sleeping in the leaves,"It is a national concern that will touch virtually every American,"" Abraham said.",0.48178568
A surfer is falling off the wave,in particular parliament adopted the legislative resolution ),0.48230767
how america 's top general came to endorse women in combat,. no signs indicate the street .,0.4829098
"As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs.",There are no racers running down a track,0.48341966
A surfer is falling off the wave,amendment 7 proposes certain modifications in the references to paragraphs .,0.48403764
this after seven health care workers at a public hospital fell ill with flu-like symptoms .,A girl with a bikini is playing in the dunes,0.48447633
Two dogs are playing on a rocky beach,"but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .",0.48500848
"no extortion , no bribery , no money involved only class e felonies .",a girl is putting on eye makeup .,0.4855991
"the former version of the european reaction ( what psychologists call "" the envy dollar ) only become more pénétrante .",There is no person slicing a carrot into pieces,0.48617613
A black dog and a white dog are wrestling on the bed,A man in a hat is walking past a store,0.48670298
There are no mimes performing,"since it is a formal theorem , bayes ' theorem holds in all popular interpretations of probability .",0.487297
Children in red shirts are sleeping in the leaves,how america 's top general came to endorse women in combat,0.48781413
A blond girl is riding the waves,it is valid in all common interpretations of probability .,0.4883275
amendment 7 proposes certain modifications in the references to paragraphs .,There are no children playing on a statue,0.48884422
A blond girl is riding the waves,when did i compare homo sexuaity with a developmental disorder ?,0.4894576
Several people are sitting at small tables in a darkened room,a boy is rock climbing .,0.49000245
the panamanian foreign ministry communique stated that the task force will facilitate the technological transfer and promote the biofuel production and consumption .,There is no lady holding the paintbrush next to the artist's easel ,0.4905668
Children in red shirts are sleeping in the leaves,"the number of unique words in the vocabulary denotes the dimensionality , if words are used for the terms .",0.4911287
"yes , this is ok , as it allows you to emphasise certain things , that you want the readers to notice .",There are no racers running down a track,0.49174887
you also imply you may not be paid if they cannot place you with a client .,A white car is being driven by the man,0.49222872
Two women are sitting in a cafe.,why the net grieves aaron swartz - the innovator who embodied what 's best about the net .,0.49278545
Three boys are running.,a girl is putting on eye makeup .,0.49330807
There are no mimes performing,how america 's top general came to endorse women in combat,0.49392846
Three boys are running.,a woman plays the guitar .,0.49442095
the man is putting chicken into the container .,"Two children, who are small, are playing with a toy car in the street",0.4949665
"no extortion , no bribery , no money involved only class e felonies .",A girl with a bikini is playing in the dunes,0.49552625
it is undeniable that intolerance reached at summits of the turkish government .,There is no lady holding the paintbrush next to the artist's easel ,0.49608657
"As mentioned above, high ERK activity is crucial for the development of Kras-driven NSCLCs.",There is no black dog with a red collar putting its face in the water,0.49661177
"It is a national concern that will touch virtually every American,"" Abraham said.",There is no man working on the laptop,0.49719048
"but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .",Some cheerleaders are dancing,0.49772552
"at the same time , bayesians describe probabilities in terms of beliefs and degrees of uncertainty .",A cat is eating corn on the cob,0.4982975
"after all , they have policies that take or no consideration .",A girl with a bikini is playing in the dunes,0.4988082
utter words loudly and forcefully .,Two dogs are resting on the beach,0.49937725
i am part of the parliamentary ones that are rather present honorably .,A boy in blue is running away from a woman in blue,0.49993843
Two boys are laying in the ocean close to the beach,amendment 7 proposes certain modifications in the references to paragraphs .,0.50047135
Two boys on a couch are playing video games,Also it is useful to keep the consistency in your story.,0.50102764
There are no mimes performing,it is valid in all common interpretations of probability .,0.50155973
A brown dog is jumping in the water,people who are the technicians to maintain the robots .,0.50212514
Two boys on a couch are playing video games,"zuccarini was ordered held without bail wednesday by a federal judge in fort lauderdale , fla .",0.5026768
There is no man shaking a container over a sink in the kitchen,they may also note that the french philosopher marcel gauchet called one of these recent its democracy against itself .,0.5032339
There is no woman slicing an eggplant,make a prediction about ; tell in advance .,0.5037786
six dogs running on the sandy beach .,she told the inquiry that her husband had received assurances from his line manager and senior ministry officials that when he came forward his name would not be made public .,0.5043299
"but the fbi never kept tabs on al-bayoumi - even though it had received information that he was a saudi agent , the document says .",A woman is slicing a tomato,0.5049
Two women dressed in white and black are relaxing on a bench,"It is a national concern that will touch virtually every American,"" Abraham said.",0.5054245
A man in a hat is walking past a store,The two women are playing a game.,0.5059879
china treasury bond futures open higher tuesday,. no signs indicate the street .,0.50653386
a little girl is riding a white and grey horse .,he then appointed a working group to formulate the necessary changes to the policy of public spending and the fiscal policies .,0.50707275
a man sitting in a cluttered room .,Two Indian woman stand with two Indian girls on a beach.,0.50764143
"since it is a formal theorem , bayes ' theorem holds in all popular interpretations of probability .",two women are wrestling on the floor .,0.508189
it is undeniable that intolerance reached at summits of the turkish government .,"The woman isn't playing the guitar, which is acoustic, or singing",0.5087211
men are playing cricket .,The girl is trotting on the horse,0.50928056
