sentence1,sentence2,similarity
One panda is eating a bamboo cane,"turkey , us weigh no-fly zones for syria",0.33378553
"philippines typhoon death toll at 4,460 : un",the bulb is in a closed circuit and the battery exists in that circuit,0.3374417
"philippines typhoon death toll at 4,460 : un",when the switch is connected between the bulb and the battery,0.33885503
a dog rides a skateboard .,uk income tax & charitable donations : how much is income tax reduced by donations ?,0.33906597
"philippines typhoon death toll at 4,460 : un",the switch and the bulb have to be in the same path,0.33992332
"A 25 percent increase would raise undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees.",when the switch is connected between the bulb and the battery,0.34004176
"the poor don 't need cobra to continue being insured , they never were insured by their employers , they have medicaid .",how long should it take concrete to fully cure ?,0.3424753
"philippines typhoon death toll at 4,460 : un",a white cow with big ears looking into the camera .,0.34343255
There is no woman riding a water scooter,uk income tax & charitable donations : how much is income tax reduced by donations ?,0.34457844
There is no dog riding a skateboard,uk income tax & charitable donations : how much is income tax reduced by donations ?,0.34644496
"cricket-england 155-4 v australia , fourth test - tea",the switch and the bulb have to be in the same path,0.349168
a dog rides a skateboard .,property values : real estate for $ 1.6 million,0.3495434
a dog swimming with a stick in its mouth .,uk income tax & charitable donations : how much is income tax reduced by donations ?,0.34974837
four girls in swimsuits are playing volleyball at the beach .,uk income tax & charitable donations : how much is income tax reduced by donations ?,0.35024172
""" goblins don 't exist "" - fine .",how long should it take concrete to fully cure ?,0.35043874
A dog is catching a black frisbee,property values : real estate for $ 1.6 million,0.35055852
"stars are rotating , but that 's not the cause for their stability .","cricket-england 155-4 v australia , fourth test - tea",0.3508333
what is wrong with my gas furnace ?,"cricket-england 155-4 v australia , fourth test - tea",0.35308596
how long should it take concrete to fully cure ?,The flute is being played by the woman,0.3534754
the short answer is that evolution couldn 't create gills in humans .,The small boy is playing with the dog,0.35349974
use coco peat - it 's an organic soil derived from coconut husks for garden vegetables and plants which is eco-friendly .,texas hospital worker tests positive for ebola,0.35365722
a dog rides a skateboard .,"philippines typhoon death toll at 4,460 : un",0.35402745
The man is playing an acoustic guitar,they do not veto laws because nobody will ever adopt a law which is contrary to the expressed queen 's will .,0.3548479
a dog rides a skateboard .,"It is priced at $5,995 or $195 on a per user licensing plan with a minimum of five users.",0.35577932
A dog is having fun with a toy,the short answer is that evolution couldn 't create gills in humans .,0.35646445
settlement of people distant from their homeland,how long should it take concrete to fully cure ?,0.3565666
the skinny cows are standing on the grass .,"philippines typhoon death toll at 4,460 : un",0.35676968
Only Intel Corp. has a lower dividend yield.,how long should it take concrete to fully cure ?,0.35736322
a monkey is swinging from limb to limb .,how long should it take concrete to fully cure ?,0.357409
a dog rides a skateboard .,"philippines typhoon death toll feared to hit 7,000",0.35769933
"philippines typhoon death toll at 4,460 : un",a home furnishing that is a fabric cover,0.35783368
the short answer is that evolution couldn 't create gills in humans .,A dog is running through the white snow,0.35798758
One man is riding a horse,"additional to the other answers , basil famously doesn 't like to be damp overnight .",0.35902584
A boy is playing a wind instrument,former alaska gov sarah palin is no long a commentator for fox news,0.35923982
The furry brown dog is not running through the grassy area,"philippines typhoon death toll at 4,460 : un",0.3599611
""" : samsung profit at record $ 6.6 billion """,A woman in blue is riding a horse on a dirt road,0.36007082
how long should it take concrete to fully cure ?,# myanmar s fight with armed # rebels edges toward china # burma # kachin,0.3601864
