sentence1,sentence2,similarity
an agent occupies a role in some institution. this roleis ( usually ) temporary and can be occupied by other entities at different periods of time. it is common for a duration of the role to be mentionned .,Death Toll Rises to 84 in Pakistan Floods,0.012757323
"an entity is in a specified state. when not explicitly specified , the state usually concerns the entity 's health , repair of functioning. the state is also often assessed with an evaluation and it may be specified to apply only to a particular parameter of the entity .",Death Toll Rises to 84 in Pakistan Floods,0.035511322
"but white house spokesman ari fleischer said yesterday : "" the steps the iranians claim to have taken in terms of capturing al-qa 'ida are insufficient . """,Death Toll Rises to 84 in Pakistan Floods,0.054806583
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,"So was Edie Falco, the critically praised co-star of ""Frankie and Johnny.""",0.07112481
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,A person is not tearing paper,0.080172256
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,A man is singing to a girl,0.08039982
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,There is no clown singing and people are not dancing,0.08127494
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,The loud man is not allowed to play the guitar,0.08134855
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,The young lady is measuring the ankle of another woman,0.08199549
"wal- mart , kohl 's corp. , family dollar stores inc . , and big lots inc. posted may sales that fell below wall street 's modest expectations .",Death Toll Rises to 84 in Pakistan Floods,0.08272434
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,The person is painting,0.08372446
No dog is emerging from a lake,china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,0.084278315
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,The man is not doing floor exercises,0.08452906
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,You're probably going to have to read various blogs to get all the information you want.,0.08456551
china-eu 2020 strategic agenda for cooperation released at 16th china-eu summit,There are a few things you can do:,0.08478466
Death Toll Rises to 84 in Pakistan Floods,"botany -- the usually underground organ of a plant that lacks buds or leaves or nodes , which absorbs water and mineral salts ; usually it anchors the plant to the ground .",0.08515295
"this sentence was spoken by the actress sally field , who has worked with him in ' absence of malice "" , and illustrates the despair of american cinema , and america in general , faced with the striking idea that newman is no longer in the world .",Death Toll Rises to 84 in Pakistan Floods,0.08528502
