sentence1,sentence2,similarity
queen beatrix of the netherlands abdicates in favour of son,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",-0.18394512
queen beatrix of the netherlands abdicates in favour of son,The road is long.,-0.16190861
"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",queen beatrix of the netherlands abdicates in favour of son,-0.15850689
tunisia was,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",-0.14910352
protests for kidnapped girls banned in nigerian capital,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",-0.14537969
queen beatrix of the netherlands abdicates in favour of son,"The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.",-0.14145024
a woman is riding a horse on a beach .,We don't need a little bitty tax relief plan.,-0.14144768
queen beatrix of the netherlands abdicates in favour of son,The young boy jumps barefoot outside in the front yard.,-0.1411635
queen beatrix of the netherlands abdicates in favour of son,Work with your supervisor and your team to solve the problem.,-0.13803017
queen beatrix of the netherlands abdicates in favour of son,Klarman was arrested by FBI agents Monday morning at his home in New York.,-0.13717556
A woman is adding ingredients to a big bowl,We don't need a little bitty tax relief plan.,-0.13139749
queen beatrix of the netherlands abdicates in favour of son,"The New York senator's new book, ""Living History,"" appears a certain bestseller.",-0.12968907
protests for kidnapped girls banned in nigerian capital,The young boy jumps barefoot outside in the front yard.,-0.1295456
u.s. files espionage charges agains nsa leaker,Work with your supervisor and your team to solve the problem.,-0.128624
"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",tunisia was,-0.12680413
queen beatrix of the netherlands abdicates in favour of son,Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.,-0.1243636
u.s. files espionage charges agains nsa leaker,The young boy jumps barefoot outside in the front yard.,-0.1238528
queen beatrix of the netherlands abdicates in favour of son,We don't need a little bitty tax relief plan.,-0.12350654
A surfer is surfing a big wave,We don't need a little bitty tax relief plan.,-0.123331375
"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",a train traveling down the tracks .,-0.1221392
A person is riding a jetski in the waves,We don't need a little bitty tax relief plan.,-0.121093825
queen beatrix of the netherlands abdicates in favour of son,"After a weak start, the Dow Jones Industrial Average ended the day up 26.26 to 9,217.35, while the S&P 500 index rose 3 to 980.59.",-0.11901364
queen beatrix of the netherlands abdicates in favour of son,"NEW DELHI: The restrictions imposed by the army on its personnel and formations in the wake of the coronavirus outbreak is posing challenges to its internal functioning.Extension of leave for soldiers and placing those who recently returned on quarantine have created a shortage of manpower that is affecting the turnover of troops for daily, security and administrative duties. While this is also affecting the training routines of troops, reduction in attendance at the headquarters is set to slow down other work as well, said officials.The steps are aimed at ensuring social distancing and preventing contagion. It has created an unprecedented situation, forcing the army to improvise, especially because troops eat, sleep and train together within confined spaces. For example, one particular unit has now divided troops into teams that live in different areas, while ensuring that only one team uses the common toilets at a time. Training is conducted in small batches, and the equipment is sanitised every time it is used.The army on Monday issued fresh instructions to all its military stations, cantonments, units and formations in the 82 districts under lockdown. These include restricted movements, functioning of only those personnel engaged in essential services and the closure of all CSD canteens Officials said the reduction in manpower in some of the army’s formations was due to the extension of leave of soldiers till April 15 and placing those who recently returned on quarantine. Those who are going on leave due to an emergency in their families will be sent for a minimum period of 30 days. “We are in a situation where we are slightly less in strength. It affects day-to-day functioning, administrative and security duties. There is an increase in the workload of those on guard duties, because there is less turnover of troops,” an official said.The manpower also gets affected because troops are tasked with manning the quarantine facilities setup by the army. However, officials said the situation was not “alarming”, would not affect operational efficiency and that it was necessary due to the pandemic.Work at the army headquarters in Delhi has also started slowing down, following the army’s Friday advisory of reducing attendance in offices and starting the work from home concept. Last week, the army passed instructions that 35% officers and 50% junior commissioned officers (JCO) and other ranks (OR) would work from home for a week from Monday, while the next group would do this starting March 30. The lockdown in Delhi is also affecting the travel of those personnel who stay in Gurgaon and Uttar Pradesh.“Work at the headquarters has slowed, as we are working with bare essentials. The deadline for work such as submitting reports will be extended. Only emergency work will continue as it was,” an official said.The army’s complaints section for now will only be dealing with cases that are urgent. Officials said rosters had been created to divide the staff between those who work at home and those who come to the office. However, it remains to be seen what work will be given to those working from home, because files cannot be taken home due to confidentiality issues. Several issues also cannot be communicated over email due to cybersecurity threats. Moreover, JCOs and ORs are mainly clerks who are part of the filing system for letters and documents, which can be done only from the offices.Officials said training of troops had also reduced. However, this will not affect operational preparedness, because it is for a short duration and can be made up later.In relation to the unit mentioned earlier, training of troops has become more “concentrated”, because smaller batches are being trained. “This has given us an opportunity to train better. Training small groups ensures that everyone’s doubts are cleared and attention is given to each aspect. But due to the pandemic, we have to sanitise an equipment every time it is used,” an official said.This type of training comes after troops were divided into small teams that maintained a distance of 200 metre between each other. It is also being ensured that distances are being maintained between troops of a team. “Only one team can use a bathroom at a time. After the team is done, the bathroom is sanitised and only then can the other team use it. We also have separate timings for eating at the cookhouse for the teams,” the official said.A major concern for the army stations and cantonments, which are isolated areas in a city, is the civilian manpower that is coming from outside. For example, washing points and blow drying of clothes have been setup outside the gates of one of the cantonments for this manpower.",-0.11872589
A man is running,We don't need a little bitty tax relief plan.,-0.117159754
u.s. files espionage charges agains nsa leaker,"They can be out of level by a bit, but flat is important.",-0.1169692
A man is mowing grass,We don't need a little bitty tax relief plan.,-0.116656214
u.s. files espionage charges agains nsa leaker,Two puppies playing with a plastic bag.,-0.11573585
u.s. files espionage charges agains nsa leaker,The road is long.,-0.11512704
"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",a man is getting into a car .,-0.11430196
"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",a man is getting into a car .,-0.11303686
queen beatrix of the netherlands abdicates in favour of son,Two puppies playing with a plastic bag.,-0.11058132
protests for kidnapped girls banned in nigerian capital,The road is long.,-0.1096372
A Philips flat-screen TV is shown with its two remote controls.,u.s. files espionage charges agains nsa leaker,-0.10656926
queen beatrix of the netherlands abdicates in favour of son,"Google last week said that this summer Chrome will remove resource-hogging web advertisements from websites, including ads that mask unauthorized crypto-mining operations.

Arguing that a very small number of online ads - three-tenths of a percentage point of all on the web - disproportionately account for major portions of total network and CPU consumption, Google plans to scrub sites of such ads starting with a Stable build of Chrome near the end of August.

Chrome 85 is scheduled to release on Aug. 25, and would be the most likely version to debut the feature.

""These ads (such as those that mine cryptocurrency, are poorly programmed, or are unoptimized for network usage) can drain battery life, saturate already strained networks, and cost money,"" Marshall Vale, a Chrome product manager, wrote in a May 14 post to the Chromium blog.

When Chrome detects one of the über-aggressive ads, the browser will unload the content from the ad's frame - the portion of the page in which it's displayed - and refill the space with an error message stating ""Ad removed,"" along with a link to more information.

After copious measurements, Google decided to strip out any ad that consumed 4MB of network data, used the CPU during half of any 30-second span or tallied a total of 60 seconds of CPU usage. Those bars were so high that they affected only 0.3% of all ads, but, Google contended, such ads accounted for 27% of all ad-generated network traffic and 28% of all ad-related CPU usage.

Other browsers have addressed bad actors, including crypto-miners, using different approaches. Mozilla's Firefox, for example, blocks crypto-miners by targeting domains known to harbor such scripts. (Mozilla relies on domain lists produced by Disconnect.) It's not surprising that Google took a metrics-based route here; it typically bases decisions, or says it does, on data collected by Chrome and/or its search engine.

Chrome users can try out this ""Heavy Ad"" detection and removal prior to version 85 via the chrome://flags option page. Set the Heavy Ad Intervention flag (which also goes by #enable-heavy-ad-intervention) to Enabled and relaunch the browser.

Site developers and ad content creators should use the time between now and late August to test and, if necessary, alter first-party advertisements, Google said. ""Our intent with this extended rollout is to give appropriate time for ad creators and tool providers to prepare and incorporate these thresholds into their workflows,"" said Vale.

Detailed instructions on how to track removed ads using an API as well as how to test the resource usage of ad content were provided in this support document.",-0.1049718
A woman is adding ingredients to a big bowl,a black and a brown dog running in the grass .,-0.104800664
egypt 's brotherhood as beleaguered as its leader,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",-0.10458609
protests for kidnapped girls banned in nigerian capital,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",-0.10443211
u.s. files espionage charges agains nsa leaker,A yellow bird eating fruit on a bird feeder.,-0.102923125
"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",a train traveling down the tracks .,-0.102738306
protests for kidnapped girls banned in nigerian capital,We don't need a little bitty tax relief plan.,-0.102249034
u.s. files espionage charges agains nsa leaker,"Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.",-0.10206583
A yellow bird eating fruit on a bird feeder.,car bomb kills four in hezbollah beirut bastion : minister,-0.10205768
"Genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function.","A kid swimming in the ocean is tossing a coin into the pool, near the man",-0.101645045
"Google last week said that this summer Chrome will remove resource-hogging web advertisements from websites, including ads that mask unauthorized crypto-mining operations.

Arguing that a very small number of online ads - three-tenths of a percentage point of all on the web - disproportionately account for major portions of total network and CPU consumption, Google plans to scrub sites of such ads starting with a Stable build of Chrome near the end of August.

Chrome 85 is scheduled to release on Aug. 25, and would be the most likely version to debut the feature.

""These ads (such as those that mine cryptocurrency, are poorly programmed, or are unoptimized for network usage) can drain battery life, saturate already strained networks, and cost money,"" Marshall Vale, a Chrome product manager, wrote in a May 14 post to the Chromium blog.

When Chrome detects one of the über-aggressive ads, the browser will unload the content from the ad's frame - the portion of the page in which it's displayed - and refill the space with an error message stating ""Ad removed,"" along with a link to more information.

After copious measurements, Google decided to strip out any ad that consumed 4MB of network data, used the CPU during half of any 30-second span or tallied a total of 60 seconds of CPU usage. Those bars were so high that they affected only 0.3% of all ads, but, Google contended, such ads accounted for 27% of all ad-generated network traffic and 28% of all ad-related CPU usage.

Other browsers have addressed bad actors, including crypto-miners, using different approaches. Mozilla's Firefox, for example, blocks crypto-miners by targeting domains known to harbor such scripts. (Mozilla relies on domain lists produced by Disconnect.) It's not surprising that Google took a metrics-based route here; it typically bases decisions, or says it does, on data collected by Chrome and/or its search engine.

Chrome users can try out this ""Heavy Ad"" detection and removal prior to version 85 via the chrome://flags option page. Set the Heavy Ad Intervention flag (which also goes by #enable-heavy-ad-intervention) to Enabled and relaunch the browser.

Site developers and ad content creators should use the time between now and late August to test and, if necessary, alter first-party advertisements, Google said. ""Our intent with this extended rollout is to give appropriate time for ad creators and tool providers to prepare and incorporate these thresholds into their workflows,"" said Vale.

Detailed instructions on how to track removed ads using an API as well as how to test the resource usage of ad content were provided in this support document.",tunisia was,-0.10152321
Klarman was arrested by FBI agents Monday morning at his home in New York.,a man is getting into a car .,-0.10144451
tunisia was,Klarman was arrested by FBI agents Monday morning at his home in New York.,-0.10067813
"This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with inactivating TET2 mutations, suggesting that the two types of mutations had similar effects and were thus functionally redundant.","A kid swimming in the ocean is tossing a coin into the pool, near the man",-0.10042351
"The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.",a man is getting into a car .,-0.09955168
We don't need a little bitty tax relief plan.,a man is getting into a car .,-0.098830655
queen beatrix of the netherlands abdicates in favour of son,"They can be out of level by a bit, but flat is important.",-0.09820374
A group of Asian girls are standing by themselves,We don't need a little bitty tax relief plan.,-0.09798964
Work with your supervisor and your team to solve the problem.,car bomb kills four in hezbollah beirut bastion : minister,-0.0978402
queen beatrix of the netherlands abdicates in favour of son,Have you tried asking?,-0.0976968
egypt 's brotherhood as beleaguered as its leader,The road is long.,-0.09738917
Klarman was arrested by FBI agents Monday morning at his home in New York.,a train traveling down the tracks .,-0.09730762
"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",a man is running down a road .,-0.09690114
"In addition to O'Connor, Rehnquist's majority opinion was joined by Justices David Souter, Ruth Bader Ginsburg, and Stephen Breyer.",queen beatrix of the netherlands abdicates in favour of son,-0.09686605
u.s. files espionage charges agains nsa leaker,"After a weak start, the Dow Jones Industrial Average ended the day up 26.26 to 9,217.35, while the S&P 500 index rose 3 to 980.59.",-0.0967799
Work with your supervisor and your team to solve the problem.,tunisia was,-0.09663488
A yellow bird eating fruit on a bird feeder.,egypt 's brotherhood as beleaguered as its leader,-0.096280135
egypt 's brotherhood as beleaguered as its leader,Two puppies playing with a plastic bag.,-0.09603128
A rollerblader is performing a trick on a ramp,We don't need a little bitty tax relief plan.,-0.096012354
We don't need a little bitty tax relief plan.,A black dog is standing on a grassy hillside,-0.09595721
"With the finale of Bigg Boss 13 less than four days away, the tension inside the house is quite high at the moment. Salman Khan announced on Sunday that one contestant would be eliminated from the show soon.

The contestants were asked to rank the top five housemates, and they picked Paras Chhabra followed by Sidharth Shukla, Asim Riaz, Rashami Desai and Arti Singh.

In the previous task, Sidharth chose to save Paras. When confronted by Salman, he confessed that he picked Paras because he couldn’t decide between Shehnaaz and Arti. Soon after Salman’s exit, Shehnaaz and Sidharth had an argument. The two also had an argument with Arti regarding the same issue.

The elite club members Asim Riaz, Sidharth Shukla and Rashami Desai are safe from eliminations. Paras, meanwhile, was saved by Sidharth.",queen beatrix of the netherlands abdicates in favour of son,-0.09566101
"The expression of miR-146a has been found to be up-regulated in papillary thyroid carcinoma, anaplastic thyroid cancer and cervical cancer.","A kid swimming in the ocean is tossing a coin into the pool, near the man",-0.09540898
The road is long.,a brown dog running through the woods .,-0.095287286
reduce to small pieces by pounding or grinding .,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",-0.09512438
A yellow bird eating fruit on a bird feeder.,queen beatrix of the netherlands abdicates in favour of son,-0.094673336
u.s. files espionage charges agains nsa leaker,Crowd of people walking past a giant mushroom.,-0.094165206
egypt 's brotherhood as beleaguered as its leader,Work with your supervisor and your team to solve the problem.,-0.093902744
"The New York senator's new book, ""Living History,"" appears a certain bestseller.",a train traveling down the tracks .,-0.09376737
A hockey player in a yellow jersey is guarding the goal,We don't need a little bitty tax relief plan.,-0.09374981
Three Asian kids are dancing and a man is looking,We don't need a little bitty tax relief plan.,-0.09316129
"A kid swimming in the ocean is tossing a coin into the pool, near the man",These genes are consistently expressed in leukemias with MLL rearrangements.,-0.09267272
The woman is lovingly cooking something,We don't need a little bitty tax relief plan.,-0.09204714
A dog is pushing a toddler into a puddle of rain,"Genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function.",-0.091958836
queen beatrix of the netherlands abdicates in favour of son,A man is praying.,-0.0919407
protests for kidnapped girls banned in nigerian capital,A yellow bird eating fruit on a bird feeder.,-0.09190799
"With the finale of Bigg Boss 13 less than four days away, the tension inside the house is quite high at the moment. Salman Khan announced on Sunday that one contestant would be eliminated from the show soon.

The contestants were asked to rank the top five housemates, and they picked Paras Chhabra followed by Sidharth Shukla, Asim Riaz, Rashami Desai and Arti Singh.

In the previous task, Sidharth chose to save Paras. When confronted by Salman, he confessed that he picked Paras because he couldn’t decide between Shehnaaz and Arti. Soon after Salman’s exit, Shehnaaz and Sidharth had an argument. The two also had an argument with Arti regarding the same issue.

The elite club members Asim Riaz, Sidharth Shukla and Rashami Desai are safe from eliminations. Paras, meanwhile, was saved by Sidharth.",a man is getting into a car .,-0.091560654
tunisia was,The young boy jumps barefoot outside in the front yard.,-0.091409974
two black dogs are playing on the grass .,We don't need a little bitty tax relief plan.,-0.09045746
a woman is riding a horse on a beach .,The road is long.,-0.08925857
queen beatrix of the netherlands abdicates in favour of son,Crowd of people walking past a giant mushroom.,-0.08799602
egypt 's brotherhood as beleaguered as its leader,We don't need a little bitty tax relief plan.,-0.08702768
"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",The woman is lovingly cooking something,-0.08578695
queen beatrix of the netherlands abdicates in favour of son,"Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.",-0.08450108
shinzo abe is japan 's prime minister,"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.",-0.08322501
A woman is slicing butter,"Genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function.",-0.082357205
"A kid swimming in the ocean is tossing a coin into the pool, near the man",Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.,-0.08091217
A Philips flat-screen TV is shown with its two remote controls.,egypt 's brotherhood as beleaguered as its leader,-0.07997511
"His 1996 Chevrolet Tahoe was found abandoned in a Virginia Beach, Va., parking lot June 25.","fruit cooked down with sugar , jam",-0.07863761
