sentence1,sentence2,similarity
a turtle is swimming in water .,egypt 's brotherhood stands ground after killings,0.5396827
next made-in-china boom : college graduates,un chief condemns attack against peacekeepers in mali,0.542056
a turtle is swimming in water .,sudan blames israel for khartoum arms fire,0.5486388
should i let potential employers know i have a job offer ?,Gunmen kill female politician in Pakistan,0.55026144
should i let potential employers know i have a job offer ?,lebanese gunmen clash over syria crisis,0.5505469
'western ' forces attack islamic militant base in somalia,boris johnson re-elected london mayor,0.55177164
palestinians ' hit ' by israeli fire in gaza,what is the best way to store fresh berries ?,0.5518259
'western ' forces attack islamic militant base in somalia,france 's hollande backs greece but urges credible reform,0.552122
should i let potential employers know i have a job offer ?,un chief condemns attack against peacekeepers in mali,0.552307
should i let potential employers know i have a job offer ?,'western ' forces attack islamic militant base in somalia,0.55378854
'western ' forces attack islamic militant base in somalia,baftas 2013 : olivia colman picks up two awards,0.5552171
france 's hollande backs greece but urges credible reform,the dogs are playing in the snow .,0.55658
egypt court bans muslim brotherhood ' activities',a turtle is swimming in water .,0.55836403
chairman of british no-frills airline easyjet to step down,the dogs are playing in the snow .,0.56030667
gunners fire but fail to advance in champions league,a turtle is swimming in water .,0.56099886
should i let potential employers know i have a job offer ?,syrian journalists killed in capital,0.5618573
"eurozone debt crisis is over , says france 's president",the dogs are playing in the snow .,0.563532
lebanese gunmen clash over syria crisis,A child is swimming underwater in a pool,0.56364393
should i let potential employers know i have a job offer ?,6 nato troops killed in afghanistan,0.5644973
lawyers : colo. shooting suspect is mentally ill,china trade returns to surplus in march,0.5646724
sudan blocks youtube over anti-islam film,high & low finance : signs of a housing recovery point to a stronger economy,0.5650006
a turtle is swimming in water .,Israel bars Palestinians from Jerusalem's Old City,0.56639594
what does it mean to write a song in a certain key ?,lebanese gunmen clash over syria crisis,0.56675166
france 's hollande backs greece but urges credible reform,A small cat is opening a plastic drawer with its paws and jumping inside,0.5671826
next made-in-china boom : college graduates,lebanese gunmen clash over syria crisis,0.5672529
should i let potential employers know i have a job offer ?,pro-pak taliban warlord killed in us drone strike,0.56737345
should i let potential employers know i have a job offer ?,nato soldier killed in afghan attack,0.56738055
mali 's president formally resigns,the dogs are playing in the snow .,0.56750196
france 's hollande backs greece but urges credible reform,the two dogs are running through the grass .,0.5677338
france 's hollande backs greece but urges credible reform,pakistani prisoner assaulted in jammu jail,0.56888413
'western ' forces attack islamic militant base in somalia,cool stuff : 6 trends we saw at ces 2013 -,0.5693726
nato soldier killed in afghan attack,"as # california bounces back , governor calls for lofty goals",0.5693916
"hewlett-packard is putting in for a second-quarter profit of $ 659 million , or 29 cents a share , on revenue of $ 18 billion .",syrian opposition pleads for criminal court action,0.5695372
a turtle is swimming in water .,lebanese gunmen clash over syria crisis,0.5696243
Chinese stocks open lower Friday,france 's hollande backs greece but urges credible reform,0.5696548
should i let potential employers know i have a job offer ?,death toll rises as kenya mall siege continues,0.56995004
water brings new lows on great lakes,egypt court bans muslim brotherhood ' activities',0.57004946
what is the best way to store fresh berries ?,nato soldier killed in afghan attack,0.57020867
a black dog running into the water .,Iran upbeat on 'useful' expert-level nuke talks,0.5705873
should i let potential employers know i have a job offer ?,palestinians ' hit ' by israeli fire in gaza,0.5707083
"hewlett-packard is putting in for a second-quarter profit of $ 659 million , or 29 cents a share , on revenue of $ 18 billion .",lebanese gunmen clash over syria crisis,0.57087195
france 's hollande backs greece but urges credible reform,Rescuers search for survivors of Texas fertiliser plant blast,0.5710914
nato soldier killed in afghan attack,high & low finance : signs of a housing recovery point to a stronger economy,0.571182
should i let potential employers know i have a job offer ?,putin declares victory in russia presidential vote,0.5715106
china stocks close lower on friday,france 's hollande backs greece but urges credible reform,0.5717687
mitt romney wins maryland gop primary,Israel bars Palestinians from Jerusalem's Old City,0.5722675
syrian journalists killed in capital,A child is swimming underwater in a pool,0.5736894
should i let potential employers know i have a job offer ?,123 killed in fighting in northern Syria,0.5737535
mitt romney wins maryland gop primary,sri lanka warned over war crime allegations,0.5737884
should i let potential employers know i have a job offer ?,syria army takes northern rebel stronghold,0.57428384
should i let potential employers know i have a job offer ?,two blasts hit syria capital,0.5746402
6 nato troops killed in afghanistan,A man is eating a piece of bread.,0.57466495
lebanese gunmen clash over syria crisis,cool stuff : 6 trends we saw at ces 2013 -,0.5748614
Chinese stocks open lower Friday,un chief condemns attack against peacekeepers in mali,0.57487863
gunners fire but fail to advance in champions league,A child is swimming underwater in a pool,0.5749227
should i let potential employers know i have a job offer ?,china flu death toll rises to six,0.5751883
high & low finance : signs of a housing recovery point to a stronger economy,un chief condemns attack against peacekeepers in mali,0.57524186
three dogs are running on the grass .,"eurozone debt crisis is over , says france 's president",0.5755019
"outrage after indian girl , 6 , raped at her school",high & low finance : signs of a housing recovery point to a stronger economy,0.575741
france 's hollande backs greece but urges credible reform,charges over dog attack on police,0.57590103
a turtle is swimming in water .,syrian journalists killed in capital,0.5759129
