sentence1,sentence2,similarity
how long can i keep bread dough in the refrigerator ?,( computer science ) a program designed for general support of the processes of a computer .,0.28245485
uk income tax & charitable donations : how much is income tax reduced by donations ?,where in the world is àfrica ? selection of the boeing 787 's battery maker raises questions,0.28741908
how long can i keep bread dough in the refrigerator ?,a heavy toxic silvery-white radioactive metallic element ; occurs in many isotopes ; used for nuclear fuels and nuclear weapons .,0.29170117
how long can i keep bread dough in the refrigerator ?,( cause to ) form a cluster in either abstract or physical space .,0.297819
how long can i keep bread dough in the refrigerator ?,the act of applying paint to a surface,0.29868674
how long can i keep bread dough in the refrigerator ?,There is no person riding a motorbike in the event related to motocross,0.30029953
how long can i keep bread dough in the refrigerator ?,the act of projecting out from something .,0.30209228
us house republicans elect paul ryan as speaker,uk income tax & charitable donations : how much is income tax reduced by donations ?,0.30615467
how long can i keep bread dough in the refrigerator ?,the sensation produced by pressure receptors in the skin .,0.3071152
"actually , it 's people who build the robots since not enough are being made to create an assembly line .",uk income tax & charitable donations : how much is income tax reduced by donations ?,0.3073911
how long can i keep bread dough in the refrigerator ?,vine is twitter 's attempt to become the ' instagram of video',0.30935404
how long can i keep bread dough in the refrigerator ?,do duty or hold offices ; serve in a specific function .,0.31151244
how long can i keep bread dough in the refrigerator ?,a coefficient assigned to elements in a frequency distribution in order to indicate the relative importance of each element,0.3115359
how long can i keep bread dough in the refrigerator ?,"spike trigger is a specific type or you could say a sub-set of reverse correlations , covariance and probabilities .",0.3116783
its going to depend on the type of packaging and also the freezer .,the act of climbing something .,0.31215978
how long can i keep bread dough in the refrigerator ?,sharia is islamic law .,0.3124503
how long can i keep bread dough in the refrigerator ?,the act of climbing something .,0.31246117
results from no. 2 u.s. soft drink maker pepsico inc . ( nyse : pep - news - people ) were likely to be in the spotlight .,uk income tax & charitable donations : how much is income tax reduced by donations ?,0.31289828
how long can i keep bread dough in the refrigerator ?,stimulate sexually ; get sexual gratification through self-stimulation,0.31306648
how long can i keep bread dough in the refrigerator ?,"an official task or undertaking , usually funded",0.31387138
how long can i keep bread dough in the refrigerator ?,an act of hindering someone 's plans or efforts .,0.3143806
how long can i keep bread dough in the refrigerator ?,to become aware of through the senses .,0.31518945
how long can i keep bread dough in the refrigerator ?,"the word "" cable "" has its origins in the days of the telegraph .",0.31645992
terminal one is connected to the negative battery terminal,"news analysis : america ? s productivity climbs , but wages stagnate",0.3184383
uk income tax & charitable donations : how much is income tax reduced by donations ?,"strike ( the top part of a ball in golf , baseball , or pool ) giving it a forward spin .",0.31901285
apply conditioner to in order to make smooth and shiny .,"shares of lendingtree soared $ 5.99 , or 40.1 percent , to $ 20.68 in afternoon trading on the nasdaq stock market .",0.3191797
how long can i keep bread dough in the refrigerator ?,becuase the other terminals are connected to the positive battery terminal,0.3194441
how long can i keep bread dough in the refrigerator ?,spur on or encourage especially by cheers and shouts .,0.3195049
apply conditioner to in order to make smooth and shiny .,"seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .",0.31980306
how long can i keep bread dough in the refrigerator ?,the act of intentionally omitting something,0.3221872
how long can i keep bread dough in the refrigerator ?,a group of peoples posing in fur hats .,0.3225544
the act of applying paint to a surface,"seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .",0.32264408
an enterprise or company that publishes newsprint,how do i reconnect a ceiling fan light chain ?,0.3230131
how long can i keep bread dough in the refrigerator ?,"seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .",0.32369155
vine is twitter 's attempt to become the ' instagram of video',"seniors would then have to pay 50 percent of their drug costs up to $ 3,450 .",0.32418448
"yes , it 's legal to grow .",what could be causing my toilet to back up ?,0.32547593
how long can i keep bread dough in the refrigerator ?,We then sought to reassess the regulation of miR-223 in the exactly same experimental system adopted in the previous work ,0.32659525
how long can i keep bread dough in the refrigerator ?,"at the accident scene , the driver was "" covered in blood "" but helped to remove children , wood said .",0.32664585
uk income tax & charitable donations : how much is income tax reduced by donations ?,becuase the other terminals are connected to the positive battery terminal,0.32667083
what could be causing my toilet to back up ?,"want , desire or perfer to do something",0.326824
us house republicans elect paul ryan as speaker,just about anything can be grown indoors without natural sunlight .,0.32792568
"thus , the "" program "" is the optimal plan for action that is produced .",how do i reconnect a ceiling fan light chain ?,0.32813883
how long can i keep bread dough in the refrigerator ?,The show for the small child is being set on an exciting swing at the park,0.32814276
how long can i keep bread dough in the refrigerator ?,a ceremony marking admission into a religious community .,0.3281829
how long can i keep bread dough in the refrigerator ?,"thus , the "" program "" is the optimal plan for action that is produced .",0.32820904
uk income tax & charitable donations : how much is income tax reduced by donations ?,bulb had a short circuit,0.3282448
how long can i keep bread dough in the refrigerator ?,This would also permit the use of inhibitors that target a single normal protein on which in particular the tumor cells depend as the result of a mutation in a defined pathway.,0.32893056
