sentence1,sentence2,similarity
two women sitting in lawn chairs .,A fearful little boy is on a climbing wall,-0.0072544217
Some young bikers are getting a dirt bike up a sandy hill,A cat is eating some corn.,0.031294715
"ten rescued off waterford , dublin coasts",A cat is eating some corn.,0.043907475
"ten rescued off waterford , dublin coasts",The man is cautiously feeding a mouse to the snake,0.046883717
A woman is putting on eyeshadow.,One boy is happily playing a piano,0.04801587
"ada bryant , robert haire ? weddings",A cat is eating some corn.,0.05235254
5 wounded in ohio school shooting,The man is sprinkling cheese on the pizza,0.0523759
A little boy in clothes dyed in red is jumping into the air,two women sitting in lawn chairs .,0.05295044
A boy next to some buckets of rags is holding something,A woman walks her dog onto astro turf.,0.05316489
"recalling pain of guns ? toll , mayors urge bills ? passage",Nobody is standing in the ocean and watching the sunset,0.053787693
Some young bikers are getting a dirt bike up a sandy hill,A black cat is swinging on a fan,0.054153018
There is no man cutting onions,deadly gas cylinder blast hits pakistan school bus,0.056350496
A young boy covered in grass is jumping near a wooden fence,There is no woman putting on makeup,0.061161023
A young boy covered in grass is jumping near a wooden fence,Former British PM Margaret Thatcher dies,0.065545306
A pedestrian woman is building pink bicycles for boa wearing riders,The kids are at the theater watching a movie.,0.068053775
The man is sprinkling cheese on the pizza,"recalling pain of guns ? toll , mayors urge bills ? passage",0.06836776
two women watching the street with their bikes to see when they may cross .,the boy is playing the piano .,0.0718058
The man is sprinkling cheese on the pizza,two women watching the street with their bikes to see when they may cross .,0.073036104
A little girl is missing a baseball on a tee,The man is sprinkling cheese on the pizza,0.07462995
A man is eating onion slices,A young child is wearing boots made of green rubber and playing in a puddle full of mud,0.07700939
Nobody is standing in the ocean and watching the sunset,A young child is wearing boots made of green rubber and playing in a puddle full of mud,0.079911895
Two women walk down the sidewalk in the afternoon.,A boy next to some buckets of rags is holding something,0.080451906
An older man and a woman are riding bikes on the boardwalk near the water,A cat is eating some corn.,0.08164839
A boy next to some buckets of rags is holding something,two women sitting in lawn chairs .,0.082012355
One woman is peeling a potato,A man is sitting in the rain,0.08209436
The dog is swimming in a lake and the sun is shining on him,a creased or bent form,0.08227514
One woman is peeling a potato,four kids holding hands jump into a swimming pool .,0.08243593
A woman is crouching and holding a camera,a boy is walking across a bridge .,0.08277691
Former British PM Margaret Thatcher dies,A blond boy is walking up a sand dune with a skateboard,0.08363003
switch y was not on the path of bulb a .,a woman is swimming in the water .,0.08448813
a man is giving a woman a massage .,three boys playing soccer in a field,0.08463992
two women sitting in lawn chairs .,A blond boy is walking up a sand dune with a skateboard,0.085254624
a boy with a metal colander on his head .,two women sitting in lawn chairs .,0.08669242
Three bicyclists crossing a bridge in a city.,A man is slicing butter,0.08725894
A woman is putting on eyeshadow.,the boy is playing the piano .,0.08744632
A little girl in a green coat and a boy holding a red sled are lying in the snow,A man is firing a shotgun,0.08758087
"A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",A cat is eating some corn.,0.08810122
The man is sprinkling cheese on the pizza,"the injured were taken to hospitals in jefferson city and columbia , about 48km north ; their conditions were not immediately available .",0.08814307
a woman is swimming in the water .,"bulbs a , b , and c are on a path with the battery",0.088228315
A man is sitting in the rain,The young girl in blue is having fun on a slide,0.09057973
A woman is slicing garlics.,A blond boy is walking up a sand dune with a skateboard,0.09279358
A man in a red uniform is swiftly making a jump in a dirt bike race,A cat is eating some corn.,0.09310059
There is no woman standing near three children,The man is sprinkling cheese on the pizza,0.09350104
A woman is walking the dog down the street,a boy with a metal colander on his head .,0.09445532
There is no woman putting on makeup,One boy is happily playing a piano,0.0945068
any accounting period of 12 months .,The man is sprinkling cheese on the pizza,0.09510902
Some young bikers are getting a dirt bike up a sandy hill,The man is cautiously feeding a mouse to the snake,0.095127225
There is no woman putting on makeup,three boys playing soccer in a field,0.095271885
A pedestrian woman is building pink bicycles for boa wearing riders,the boy is playing the piano .,0.0953654
A young child is wearing boots made of green rubber and playing in a puddle full of mud,A cat is eating some corn.,0.09540832
Three men and a woman are posing for a picture,the boy is playing the piano .,0.0955261
A man is missing the soccer ball,Two dogs are looking up at a kitchen countertop,0.09595273
A woman is crouching and holding a camera,the boy is playing the piano .,0.09597027
two women sitting in lawn chairs .,The man is fasting,0.09652379
A woman is crouching and holding a camera,One boy is happily playing a piano,0.096681036
5 wounded in ohio school shooting,The dog is running through the dry sand,0.097249076
A woman is slicing garlics.,A young child is wearing boots made of green rubber and playing in a puddle full of mud,0.09755774
A person is slicing an onion,A man is sitting in the rain,0.0976125
A woman is walking the dog down the street,A boy next to some buckets of rags is holding something,0.09767442
two dogs are urinating on the red fire hydrant .,A blond boy is walking up a sand dune with a skateboard,0.09804525
The dog is running through the dry sand,prince 's christening a blend of old and new,0.098939106
A boy is standing in front of the blue building in the space reserved for handicapped people,The man is sprinkling cheese on the pizza,0.0989488
Three bicyclists crossing a bridge in a city.,The man is sprinkling cheese on the pizza,0.09895988
Three bicyclists crossing a bridge in a city.,A cat is eating some corn.,0.09930976
25 bodies found at raided algerian gas plant,There is no girl riding a horse,0.100030586
Boys are dancing in front of some people,One woman is peeling a potato,0.10018371
5 wounded in ohio school shooting,A man is eating onion slices,0.100190036
a woman is cutting some octopus .,A young child is wearing boots made of green rubber and playing in a puddle full of mud,0.10041006
There are no dogs playing in the snow,"recalling pain of guns ? toll , mayors urge bills ? passage",0.100445494
bulbs a and c are not on the same closed path .,a woman is swimming in the water .,0.10046102
# google gains from creating apps for # iphone . google maps is # 1 # app .,The man is cautiously feeding a mouse to the snake,0.100476444
The man is slicing a tomato,two women watching the street with their bikes to see when they may cross .,0.10065253
The man is slicing a tomato,A young child is wearing boots made of green rubber and playing in a puddle full of mud,0.10122567
The kids are at the theater watching a movie.,A woman is not cutting broccoli,0.10139684
The kids are at the theater watching a movie.,A cold cyclist is celebrating,0.102076806
A cyclist is biking in a snowy forest at night,Oil is being poured into the pan by the woman,0.10226
The man is sprinkling cheese on the pizza,to wind or move in a spiral course .,0.1029487
A toddler is sitting in a seat,The man is sprinkling cheese on the pizza,0.10325045
The dog is swimming in a lake and the sun is shining on him,form intrigues ( for ) in an underhand manner .,0.103299625
A pedestrian woman is building pink bicycles for boa wearing riders,A cat is eating some corn.,0.10341663
owner arrested as bangladesh building toll reaches 372,The man is sprinkling cheese on the pizza,0.10367343
