sentence1,sentence2,similarity
"regular dish washing fluid is great for removing grease , as it not only dissolves it but also binds it .",what is the difference between a tortoise and a turtle ?,0.23517925
"a physical framework of crossing strips , often wooden","the temperature at which a liquid boils , bubbles",0.23779419
"philippines typhoon death toll at 4,460 : un","the spatial , geometric contour of an object",0.24440941
the techniques and principles of artistic composition using paints,zabol is a town in southeastern iran .,0.2527915
"philippines typhoon death toll at 4,460 : un",the battery is contained in the circuit and the light bulb is not,0.25331402
"tornadoes hit kan . , okla . ; no injuries reported",exclusive control or possession of something .,0.25593165
also asked about getting an injunction against him they gave me the number for womans aid to get help with obtaining one .,the positively charged dense center of an atom .,0.2585947
"philippines typhoon death toll at 4,460 : un",a bubble is a market that is artificially propped up for any reason .,0.2599738
what is wrong with my gas furnace ?,if japan rises to the occasion japan will never be beaten even in terms of military power .,0.26017693
the positively charged dense center of an atom .,"apple makes a $ 13.1 billion profit , sells 28 % more iphones and 48 % more ipads . stock dips 11 %",0.26044732
It really depends on how the employer documents it.,the positively charged dense center of an atom .,0.2605057
5 killed in israeli air strikes in gaza,"yes , you should create a portfolio site to showcase what you can do and what you 've done .",0.26102763
"the temperature at which a liquid boils , bubbles","the democrat 's 2000 platform didn 't explicitly support gay marriages but backed "" the full inclusion of gay and lesbian families into the life of the nation . """,0.26131642
legally approve or ratify a person for a position,"tornadoes hit kan . , okla . ; no injuries reported",0.26139373
"philippines typhoon death toll at 4,460 : un",exclusive control or possession of something .,0.26322138
tech capital bangalore costliest indian city to live in : survey,A soccer player is scoring a goal,0.26398462
"philippines typhoon death toll at 4,460 : un",what is the best way to learn finger-picking on an acoustic guitar ?,0.26459032
a common one is haddock and is in season pretty much year round .,what is wrong with my gas furnace ?,0.2647063
exclusive control or possession of something .,typhoon death toll rises to 3633,0.26493096
"philippines typhoon death toll at 4,460 : un",be cognizant or aware of a fact or a specific piece of information ; possess knowledge or information about .,0.26967323
'vampire diaries ' spinoff pilot coming to the cw,remove substances from a liquid or solution,0.270032
"apple makes a $ 13.1 billion profit , sells 28 % more iphones and 48 % more ipads . stock dips 11 %","the spatial , geometric contour of an object",0.27016097
"philippines typhoon death toll at 4,460 : un",the essence or gist of something,0.2701782
"philippines typhoon death toll at 4,460 : un",A ball is being chased by a dog on the grass,0.27032375
"philippines typhoon death toll at 4,460 : un",A person is putting shredded cheese in a pot.,0.2706956
the positively charged dense center of an atom .,egypt presidential election may 23-24,0.2706976
"elevate or idealize , in allusion to christ 's transfiguration .",what is wrong with my gas furnace ?,0.27143225
"philippines typhoon death toll at 4,460 : un",preserving grammaticality and preserving meaning of the sentence are two different things .,0.27214283
"a system by which one currency is exchanged for another , enabling international transactions",what is the best way to learn finger-picking on an acoustic guitar ?,0.2722885
a cruise ship docked at a coast .,what is wrong with my gas furnace ?,0.2724449
the positively charged dense center of an atom .,world stocks fall before greek debt deal deadline,0.27245188
an electrical connection between conductor and earth,at least 18 killed in afghan bomb attacks : officials,0.27253348
an electrical connection between conductor and earth,syrian arab republic ( the ) : more than 70 killed in syria ahead of annan return,0.2726835
A ball is being chased by a dog on the grass,"no , don 't support your weight on your arms your hands simply aren 't really made for supporting all that weight .",0.27274787
"a system by which one currency is exchanged for another , enabling international transactions","tornadoes hit kan . , okla . ; no injuries reported",0.2728449
egypt to hold presidential elections before parliamentary polls,tech capital bangalore costliest indian city to live in : survey,0.27294105
"the temperature at which a liquid boils , bubbles",Congress has added a new benefit - an option to buy insurance coverage for prescription drugs.,0.27295232
a dog swimming in a pond,what is wrong with my gas furnace ?,0.27316016
"philippines typhoon death toll at 4,460 : un",bulb a and c are contained in different paths with the battery .,0.27341583
"philippines typhoon death toll at 4,460 : un","glad to hear you 've started playing hockey , its a great sport !",0.27346575
at least 18 killed in afghan bomb attacks : officials,"regular dish washing fluid is great for removing grease , as it not only dissolves it but also binds it .",0.2735299
"philippines typhoon death toll at 4,460 : un",the voltage is the difference between the electrical state of the terminals .,0.27393022
how 5 older workers saw a chance to remake their careers,the positively charged dense center of an atom .,0.2745244
polls open across france in presidential election,( theology ) the act of delivering from sin or saving from evil .,0.27485782
"the temperature at which a liquid boils , bubbles","no , don 't support your weight on your arms your hands simply aren 't really made for supporting all that weight .",0.2764929
the stiching that forms the rim of a shoe or boot .,japan switches off last nuclear power plant this weekend,0.27654052
"philippines typhoon death toll at 4,460 : un","yes , you should create a portfolio site to showcase what you can do and what you 've done .",0.2765444
"the temperature at which a liquid boils , bubbles",wrestling to feature in 2020 tokyo olympics,0.2768858
egypt to hold presidential elections before parliamentary polls,the positively charged dense center of an atom .,0.27721143
"philippines typhoon death toll at 4,460 : un",i 've seen guys that are still very flexable while lifting weights .,0.27738056
"philippines typhoon death toll at 4,460 : un","regular dish washing fluid is great for removing grease , as it not only dissolves it but also binds it .",0.27739644
afriforum stated that the group would organize protests along the route to zimbabwe .,"the temperature at which a liquid boils , bubbles",0.27741855
"philippines typhoon death toll at 4,460 : un",an electrical connection between conductor and earth,0.27758092
the act of improving something 's quality,profiles of egypt 's main presidential candidates,0.27801466
"philippines typhoon death toll at 4,460 : un","obtain from a storage device , as of information on a computer .",0.27817065
"philippines typhoon death toll at 4,460 : un",a small bird sitting on a branch in winter .,0.2782849
"yes , you should create a portfolio site to showcase what you can do and what you 've done .",twelve killed in bomb blast on pakistani train,0.27846476
"yes , you should create a portfolio site to showcase what you can do and what you 've done .",nine pakistani troops killed in militant ambush,0.27919525
"philippines typhoon death toll at 4,460 : un","no , don 't support your weight on your arms your hands simply aren 't really made for supporting all that weight .",0.27932787
"philippines typhoon death toll at 4,460 : un",kashmir is divided between india and pakistan .,0.28013158
helmand province is the world 's largest opium-producing region .,a dog swimming in a pond,0.28095424
any large deep body of water .,"apple makes a $ 13.1 billion profit , sells 28 % more iphones and 48 % more ipads . stock dips 11 %",0.2817346
boston bomb suspect buried in virginia cemetery,the way that a ' term ' is defined depends on the application .,0.28236815
winfrey ? s low-rated cable channel is poised to break through,What are you goals?,0.28321612
you could probably get a tour agency to do it for you but it would cost you .,"the temperature at which a liquid boils , bubbles",0.2839669
what is wrong with my gas furnace ?,the act of pursuing in an effort to overtake or capture .,0.28452808
"Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.",what is wrong with my gas furnace ?,0.28565216
"philippines typhoon death toll at 4,460 : un",the act of cracking something .,0.28617477
at least 18 killed in afghan bomb attacks : officials,"yes , you should create a portfolio site to showcase what you can do and what you 've done .",0.28699163
terminal 6 is connected to postive terminal of battery,what is the difference between a tortoise and a turtle ?,0.28783554
"philippines typhoon death toll at 4,460 : un",spur on or encourage especially by cheers and shouts .,0.2885559
"philippines typhoon death toll at 4,460 : un",A dog is riding a skateboard in a park,0.28918862
the techniques and principles of artistic composition using paints,turkey raises alarm over syrian refugees,0.29002512
three dead in us marathon bomb,"yes , you should create a portfolio site to showcase what you can do and what you 've done .",0.2908086
"philippines typhoon death toll at 4,460 : un","to say , state , or perform again .",0.2915644
"regular dish washing fluid is great for removing grease , as it not only dissolves it but also binds it .",A guitar is being played by a baby,0.29242003
