sentence1,sentence2,similarity
The men are playing with a ball,"she 's on line here but hasn 't answered as to whether or not she follows all of leviticus , and whether or not she want 's our nation 's laws to follow all of leviticus .",-0.33175534
"she 's on line here but hasn 't answered as to whether or not she follows all of leviticus , and whether or not she want 's our nation 's laws to follow all of leviticus .",Men are playing soccer.,-0.32089704
A man is sitting,two girls holding sacks are standing in a field .,-0.3193353
Two kids are swimming.,man is carrying a tool box down the sidewalk .,-0.3144034
A young girl in a coat made for winter is jumping off a boulder into the sand at a beach,Two men are sitting in the room.,-0.30983648
Two baby pandas are sleeping,a man in a jersey stands in front of a large crowd .,-0.299522
Two men are sitting in the room.,a woman is attempting to ride a small wave .,-0.29559106
A kid is waiting wearing swim gear,Two women with dogs are walking on a forest path,-0.29484364
two men in fleeces and hats looking at the camera .,A young woman is playing the guitar,-0.29379654
A woman is riding a scooter towards the water,Two men are sitting in the room.,-0.29013672
Two women with dogs are walking on a forest path,a man blowing a large bubble .,-0.28248566
The boy is enthusiastically playing in the mud,Two women with dogs are walking on a forest path,-0.28135768
"Leftover Unexploded Ordnance (UXO)

Unexploded ordnance (UXO) are explosive weapons (bombs, bullets, shells, grenades, land mines, naval mines, etc.) that did not explode when they were employed and still pose a risk of detonation, potentially many decades after they were used or discarded. The majority of UXO in Lao are cluster bombs.

A cluster bomb is a small explosive submunition or bomblet that is delivered to its target in a large canister or shell.

Cluster bombs are indiscriminate. They cannot distinguish between civilian and military targets. Their wide-area coverage and poor targeting mechanisms nearly guarantee that unintended victims will die or be injured, even when the weapons function as designed.

Cluster munitions continue to kill long after a war ends because these weapons often fail to explode on impact as designed. (Source: Mennonite Central Committee)

To see how a cluster bomb works and how it is detected and detonated, view the Multimedia Interactive Center (MIC).",lionel ritchie dances while standing on the ceiling .,-0.27753416
a woman is talking on a cell phone .,Boys are not dancing in front of some people,-0.27667862
Two men are sitting in the room.,a woman is carrying a kangaroo .,-0.2758553
Two women with dogs are walking on a forest path,A man is preparing a dish,-0.27581826
A young woman is playing the guitar,Three guys in speedos have their feet up on the railing of a boat getting a tan.,-0.27341315
The woman is not walking the dog,The little boy is sticking his tongue out for the camera and another boy is looking on,-0.2704491
Two men are driving down the road in an open-air vehicle,"she 's on line here but hasn 't answered as to whether or not she follows all of leviticus , and whether or not she want 's our nation 's laws to follow all of leviticus .",-0.269926
Two men are sitting in the room.,A young woman is playing the guitar,-0.26950172
Two men are sitting in the room.,A woman is water skiing.,-0.2694807
A boy is studying a calendar,Two women with dogs are walking on a forest path,-0.269127
Boys are not dancing in front of some people,A woman is coating a pork chop,-0.26823628
Two women with dogs are walking on a forest path,A laughing boy is in a yellow tank and is wearing a top,-0.26819614
