sentence1,sentence2,similarity
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",alleged cop killer died from shot to head,0.659919
over 120 dead in pakistan factory blaze,"if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.6650711
alleged cop killer died from shot to head,"You do not need a transit visa, but to enter Zurich you will need a visa.",0.66901755
dozens killed in kenyan clashes,"if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.67213404
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",us drone strike kills 11 in pakistan,0.67320776
the cat is sitting on a bag of cat food .,The men are jogging on the beach.,0.6751644
over 120 dead in pakistan factory blaze,"You do not need a transit visa, but to enter Zurich you will need a visa.",0.6757831
five killed by bomb blast in east india,The man is riding the horse,0.6783402
pakistan bomb victims to be buried after protest ends,The man is riding the horse,0.6790223
hundreds honor student killed in ohio shooting,"if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.6798992
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",yorkshire soldier killed in afghan bomb blast,0.6820421
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",200 dead in night club fire,0.6829504
spanish police say seized items intended for iran nuclear program,The man is riding the horse,0.6840521
us drone kills 16 in pakistan,"if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.68460006
"bombs kill two people , wound dozens at boston marathon","if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.68587554
"Nedbank Cycle Challenge done and dusted

LIMBA MUPETAMI







Belgian cyclist Victor Campenaerts and Michelle Vorster made easy work of the Nedbank Cycle Challenge in Windhoek yesterday.



Campaenaerts broke away early from the rest of the pack to win in a time of 2 hours, 11 minutes and 35 seconds.



Namibian cyclist Dan Craven beat Martin Freyer in the sprint for second place in a time of 2 hours, 19 minutes. The cyclist said he knew that he was going to win and thus cycled on his pace without any real threat from the rest of the contenders.



Right after the race Campenaerts said he would donate his N$12 000 winnings to the organisation Physically Active Youth (PAY), which he visited last week.



He said he was impressed with the work they are doing and knew from the start that he had to win the race in order to give them the money.



Craven and Freyer also announced at the prize-giving that they would donate their N$9 000 and N$6 000 winnings to the same organisation, which is an after-school centre in Katutura that provides a safe and nurturing learning environment for youngsters from disadvantaged communities.



The women’s 100 km race was easily won by Michelle Vorster (2 hours, 39 minutes, 31 seconds), who also on Saturday won the Nedbank Mountain Bike Challenge.



In second place was Imke Jagau (2 hours, 44 minutes and 55 seconds), and in third was Risa Dreyer. Their winnings are the same as the men’s.",alleged cop killer died from shot to head,0.6861278
canadian government approves controversial oil pipeline to pacific,to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,0.6861438
over 120 dead in pakistan factory blaze,i started watching the stargate series by watching atlantis first !,0.6872641
pakistan bomb victims to be buried after protest ends,"if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.68741846
egypt sentences al jazeera journalists to jail,The kid is swimming through the blue ocean,0.687763
court in bahrain rejects medics ' last rally appeal,i started watching the stargate series by watching atlantis first !,0.6878068
us drone strike kills 5 militants in pakistan,The man is riding the horse,0.68802094
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",u.s. drone strike kills 10 in northwest pakistan,0.68827987
"glad to hear you 've started playing hockey , its a great sport !",the legislators thus refused to support president george bush 's call to the project .,0.6882985
hundreds honor student killed in ohio shooting,i started watching the stargate series by watching atlantis first !,0.68843746
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",and nugent was a complete fool to say what he said .,0.68845993
the university constituencies are modelled on the university constituencies in use in britain in 1922 when ireland became independent .,The kid is swimming through the blue ocean,0.6886015
"You do not need a transit visa, but to enter Zurich you will need a visa.",The men are jogging on the beach.,0.68990123
us drone strike kills 5 militants in pakistan,"if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.6902207
"You do not need a transit visa, but to enter Zurich you will need a visa.",200 dead in night club fire,0.690372
khan said named as new pakistani taliban leader after hakimullah mehsud killed in drone strike,"if your long stay visa for switzerland is valid , then you will not need a transit visa .",0.69083595
the cat is sitting on a bag of cat food .,Australians flee homes amid floods,0.6908423
egypt sentences al jazeera journalists to jail,to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,0.6916629
to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,The men are jogging on the beach.,0.691823
"interactivecorp 's shares closed at $ 34.19 , down $ 2.81 , or 7.6 percent on the nasdaq stock market .",putin claims victory in russia 's presidential election,0.69188404
the cat is sitting on a bag of cat food .,the three children are standing on and by a fence .,0.69193304
"Zoo Knoxville has shut its doors to the public during the COVID-19 outbreak, but the animals inside still need care.

Zoo representatives said that with the shutdown, they have lost their primary source of income.

According to the zoo's website, they are losing, on average, $22,500 per day which would normally go towards caring for the animals.

""We are working round the clock to find options. Our community has asked how they can help and we have set up an emergency relief fund,"" zoo representatives said.

Go

to donate and help care for our area's zoo animals.","finally armstrong admits doping , and says he will testify",0.6920605
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",son of popular us evangelist warren kills himself,0.69221914
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",roadside bomb kills 5 afghan policemen,0.692631
"shots , explosions heard as thais continue protest in bangkok","the fact that google is a base for genetic data can give a good raw material for the next generation of science-fiction . the famous novel by cory doctorow , writes with half orwellien tones , describing the future in which a man could be approached only through data from google .",0.6926978
yorkshire soldier killed in afghan bomb blast,i started watching the stargate series by watching atlantis first !,0.6927007
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",roadside bomb kills 3 policemen in southern afghanistan,0.6930778
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",romney wins maryland republican primary,0.6933267
"if your long stay visa for switzerland is valid , then you will not need a transit visa .",five killed by bomb blast in east india,0.693398
"if your long stay visa for switzerland is valid , then you will not need a transit visa .","so heartbreaking “ : at least 90 killed in brazilian nightclub fire , officials say . ”",0.69346017
dozens killed in kenyan clashes,"You do not need a transit visa, but to enter Zurich you will need a visa.",0.69391453
The kid is swimming through the blue ocean,syrian rebels move command from turkey to syria,0.6940694
"shots , explosions heard as thais continue protest in bangkok","You do not need a transit visa, but to enter Zurich you will need a visa.",0.6941364
over 120 dead in pakistan factory blaze,The man is riding the horse,0.694178
close-up of young horse walking next to a larger horse .,five killed by bomb blast in east india,0.69435966
to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,"finally armstrong admits doping , and says he will testify",0.694563
over 120 dead in pakistan factory blaze,The kid is swimming through the blue ocean,0.6945666
"interactivecorp 's shares closed at $ 34.19 , down $ 2.81 , or 7.6 percent on the nasdaq stock market .",afghan legislators approve new election law,0.69474065
yorkshire soldier killed in afghan bomb blast,"You do not need a transit visa, but to enter Zurich you will need a visa.",0.6947441
