sentence1,sentence2,similarity
A woman dances in the rain out side.,"CLAIMED sightings of UFOs reported to the RAF by terrified members of the British public are to be published online for the first time.

The RAF ran a UFO unit for five decades but chose to shut it down in 2009 after it concluded none of the reports sent in offered evidence of a potential threat.

2 Claimed sightings of UFOs reported to the RAF are to be published online Credit: Workbook Stock - Getty

Previously, records from the unit were given to the National Archives, often initially classified before being released after a specific number of years.

But the most recent reports received by the RAF will be placed online, the PA news agency revealed following a Freedom of Information Act request.

Members of the public reporting alleged UFO sightings are now directed to their local police force.

A spokesman for the RAF said that ""it had been assessed that it would be better to publish these records, rather than continue sending documents to the National Archives, and so they are looking to put them on to a dedicated gov.uk web page"".

2 Drawing of an 'alien spacecraft' spotted by two US servicemen during an unexplained incident in the Suffolk countryside in 1980 Credit: Alamy

A clearance process for the documents is currently under way before publication, which is expected to take place ""some time within the first quarter of 2020"".

In response to the FOI request, the RAF described the files it held as ""comprising entirely of correspondence with members of the public"".

It added: ""The MoD has no opinion on the existence or otherwise of extra terrestrial life and does not investigate UFO reports.""

Nick Pope, who used to investigate reports of UFO sightings for the MoD, welcomed the move.

""Given the massive public interest in this subject, I'm pleased that these files will be released and made available online,"" he told the PA news agency.

""The MoD have previously claimed that all the files have been released - only to find additional ones - so this latest move is bound to start a few conspiracy theories.

""When I worked on the MoD's 'UFO desk' we didn't find definitive proof of extraterrestrial visitation, but there were so many bizarre and unexplained sightings that we didn't entirely rule it out.

""I'm glad the public are to be given further insights into our work on these real-life X-Files.""

The Rendlesham Forest incident: Britain’s most famous UFO sighting The Rendlesham Forest incident took place in December 1980 over a series of at least two nights. On December 26, 1980, military personnel at the twin bases of RAF Bentwaters and RAF Woodbridge in Suffolk saw a strange light in Rendlesham Forest, which lies between the two bases. Three men were sent out to investigate where two of them encountered a small, triangularshaped craft. One man, Jim Penniston, got close enough to touch the side of the object. He and another of the airmen present, John Burroughs, made sketches of the craft for witness statements. Two nights later Deputy Base Commander, Lieutenant Colonel Charles Halt and his team then encountered the UFO. He said later: ""Here I am, a senior official who routinely denies this sort of thing and diligently works to debunk them, and I'm involved in the middle of something I can't explain.""

Despite an MOD investigation the Rendlesham Forest incident remains unexplained.

Ex UFO-chief claims he quit US government over alien encounter 'cover-up'

TOP STORIES IN SCIENCE Investigation GAME SHAME YouTube flooded with hardcore sex videos from Roblox, a video game for KIDS TRACK DAY You can now race pals in Mario Kart on iPhone and Android for first time ever MURDER ON THE NILE Famous 'mistress' mummy Takabuti was KNIFED to death in her twenties LOGGED OFF WhatsApp to stop working on millions of phones this week – is yours on the list? SPACED OUT Elon Musk plots launch of 60 SpaceX internet satellites amid 'space junk' row

In other news, a researcher claimed earlier this month that the discovery of alien life was not only ""inevitable"" but also ""imminent"".

One Nasa scientist has admitted it's entirely possible that aliens have already visited Earth – and we simply never noticed.

And, here are the mysteries we need to solve in order to prove the existence of extraterrestrials.

Do you believe in extraterrestrials? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk",0.42343917
"Local budget carrier Scoot will suspend all flights between Singapore and mainland China from Feb 8, amid the growing severity of the Wuhan virus outbreak.

Scoot had said early on Friday (Jan 31) that it would suspend flights to 11 cities and reduce flights to eight other cities, but had stepped up its precautionary measures in line with those announced by the Government later in the day.

Measures that the authorities announced to limit the spread of the Wuhan virus include the barring of all travellers arriving from mainland China who had been there in the past 14 days from entry or transit in Singapore.

Scoot currently operates 100 weekly flights to 18 points in China, excluding Wuhan.

It said that before Feb 8, some flights to China, such as those to Guangzhou and Qingdao, will be operating on reduced frequencies before the suspension kicks in till late March.

Between Feb 2 and Feb 7, the flights operating to and from China will have limited in-flight services with no sales of food and beverage items.

All customers will be provided with a food pack, including water.

Customers booked on flights affected by the schedule change will receive a refund, said Scoot.

The operator added: ""Scoot will continue to closely monitor the coronavirus situation as the health and safety of our passengers and employees are our highest priority.

""For now, Scoot flights between Singapore and all mainland China destinations after the above-stated suspension period will continue to operate as scheduled.""

Scoot is a member of the Singapore Airlines Group, which also includes Singapore Airlines and SilkAir.

The two latter carriers also announced earlier on Friday that it will reduce the number of flights to mainland China in February, subject to regulatory approvals.

In a Facebook post on Friday, SIA said that the airline as well as SilkAir would be cancelling some flights between Singapore and cities including Beijing, Shanghai, Guangzhou, Shenzhen, Xiamen, Chengdu and Chongqing.

[Travel Advisory] SINGAPORE AIRLINES AND SILKAIR FLIGHTS TO MAINLAND CHINA Singapore Airlines and SilkAir will further... Posted by Singapore Airlines on Thursday, 30 January 2020

Affected customers will be notified and rebooked on other flights, SIA said.

SIA currently operates 56 weekly flights to Beijing, Guangzhou and Shanghai, while SilkAir operates 36 weekly flights to Chengdu, Chongqing, Shenzhen and Xiamen.

For the latest updates on the Wuhan virus, visit here.

This article was first published in The Straits Times. Permission required for reproduction.",The young boy jumps barefoot outside in the front yard.,0.43311173
"CLAIMED sightings of UFOs reported to the RAF by terrified members of the British public are to be published online for the first time.

The RAF ran a UFO unit for five decades but chose to shut it down in 2009 after it concluded none of the reports sent in offered evidence of a potential threat.

2 Claimed sightings of UFOs reported to the RAF are to be published online Credit: Workbook Stock - Getty

Previously, records from the unit were given to the National Archives, often initially classified before being released after a specific number of years.

But the most recent reports received by the RAF will be placed online, the PA news agency revealed following a Freedom of Information Act request.

Members of the public reporting alleged UFO sightings are now directed to their local police force.

A spokesman for the RAF said that ""it had been assessed that it would be better to publish these records, rather than continue sending documents to the National Archives, and so they are looking to put them on to a dedicated gov.uk web page"".

2 Drawing of an 'alien spacecraft' spotted by two US servicemen during an unexplained incident in the Suffolk countryside in 1980 Credit: Alamy

A clearance process for the documents is currently under way before publication, which is expected to take place ""some time within the first quarter of 2020"".

In response to the FOI request, the RAF described the files it held as ""comprising entirely of correspondence with members of the public"".

It added: ""The MoD has no opinion on the existence or otherwise of extra terrestrial life and does not investigate UFO reports.""

Nick Pope, who used to investigate reports of UFO sightings for the MoD, welcomed the move.

""Given the massive public interest in this subject, I'm pleased that these files will be released and made available online,"" he told the PA news agency.

""The MoD have previously claimed that all the files have been released - only to find additional ones - so this latest move is bound to start a few conspiracy theories.

""When I worked on the MoD's 'UFO desk' we didn't find definitive proof of extraterrestrial visitation, but there were so many bizarre and unexplained sightings that we didn't entirely rule it out.

""I'm glad the public are to be given further insights into our work on these real-life X-Files.""

The Rendlesham Forest incident: Britain’s most famous UFO sighting The Rendlesham Forest incident took place in December 1980 over a series of at least two nights. On December 26, 1980, military personnel at the twin bases of RAF Bentwaters and RAF Woodbridge in Suffolk saw a strange light in Rendlesham Forest, which lies between the two bases. Three men were sent out to investigate where two of them encountered a small, triangularshaped craft. One man, Jim Penniston, got close enough to touch the side of the object. He and another of the airmen present, John Burroughs, made sketches of the craft for witness statements. Two nights later Deputy Base Commander, Lieutenant Colonel Charles Halt and his team then encountered the UFO. He said later: ""Here I am, a senior official who routinely denies this sort of thing and diligently works to debunk them, and I'm involved in the middle of something I can't explain.""

Despite an MOD investigation the Rendlesham Forest incident remains unexplained.

Ex UFO-chief claims he quit US government over alien encounter 'cover-up'

TOP STORIES IN SCIENCE Investigation GAME SHAME YouTube flooded with hardcore sex videos from Roblox, a video game for KIDS TRACK DAY You can now race pals in Mario Kart on iPhone and Android for first time ever MURDER ON THE NILE Famous 'mistress' mummy Takabuti was KNIFED to death in her twenties LOGGED OFF WhatsApp to stop working on millions of phones this week – is yours on the list? SPACED OUT Elon Musk plots launch of 60 SpaceX internet satellites amid 'space junk' row

In other news, a researcher claimed earlier this month that the discovery of alien life was not only ""inevitable"" but also ""imminent"".

One Nasa scientist has admitted it's entirely possible that aliens have already visited Earth – and we simply never noticed.

And, here are the mysteries we need to solve in order to prove the existence of extraterrestrials.

Do you believe in extraterrestrials? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk",Four ladies in swimsuits play sand volleyball on the beach.,0.43335232
"CLAIMED sightings of UFOs reported to the RAF by terrified members of the British public are to be published online for the first time.

The RAF ran a UFO unit for five decades but chose to shut it down in 2009 after it concluded none of the reports sent in offered evidence of a potential threat.

2 Claimed sightings of UFOs reported to the RAF are to be published online Credit: Workbook Stock - Getty

Previously, records from the unit were given to the National Archives, often initially classified before being released after a specific number of years.

But the most recent reports received by the RAF will be placed online, the PA news agency revealed following a Freedom of Information Act request.

Members of the public reporting alleged UFO sightings are now directed to their local police force.

A spokesman for the RAF said that ""it had been assessed that it would be better to publish these records, rather than continue sending documents to the National Archives, and so they are looking to put them on to a dedicated gov.uk web page"".

2 Drawing of an 'alien spacecraft' spotted by two US servicemen during an unexplained incident in the Suffolk countryside in 1980 Credit: Alamy

A clearance process for the documents is currently under way before publication, which is expected to take place ""some time within the first quarter of 2020"".

In response to the FOI request, the RAF described the files it held as ""comprising entirely of correspondence with members of the public"".

It added: ""The MoD has no opinion on the existence or otherwise of extra terrestrial life and does not investigate UFO reports.""

Nick Pope, who used to investigate reports of UFO sightings for the MoD, welcomed the move.

""Given the massive public interest in this subject, I'm pleased that these files will be released and made available online,"" he told the PA news agency.

""The MoD have previously claimed that all the files have been released - only to find additional ones - so this latest move is bound to start a few conspiracy theories.

""When I worked on the MoD's 'UFO desk' we didn't find definitive proof of extraterrestrial visitation, but there were so many bizarre and unexplained sightings that we didn't entirely rule it out.

""I'm glad the public are to be given further insights into our work on these real-life X-Files.""

The Rendlesham Forest incident: Britain’s most famous UFO sighting The Rendlesham Forest incident took place in December 1980 over a series of at least two nights. On December 26, 1980, military personnel at the twin bases of RAF Bentwaters and RAF Woodbridge in Suffolk saw a strange light in Rendlesham Forest, which lies between the two bases. Three men were sent out to investigate where two of them encountered a small, triangularshaped craft. One man, Jim Penniston, got close enough to touch the side of the object. He and another of the airmen present, John Burroughs, made sketches of the craft for witness statements. Two nights later Deputy Base Commander, Lieutenant Colonel Charles Halt and his team then encountered the UFO. He said later: ""Here I am, a senior official who routinely denies this sort of thing and diligently works to debunk them, and I'm involved in the middle of something I can't explain.""

Despite an MOD investigation the Rendlesham Forest incident remains unexplained.

Ex UFO-chief claims he quit US government over alien encounter 'cover-up'

TOP STORIES IN SCIENCE Investigation GAME SHAME YouTube flooded with hardcore sex videos from Roblox, a video game for KIDS TRACK DAY You can now race pals in Mario Kart on iPhone and Android for first time ever MURDER ON THE NILE Famous 'mistress' mummy Takabuti was KNIFED to death in her twenties LOGGED OFF WhatsApp to stop working on millions of phones this week – is yours on the list? SPACED OUT Elon Musk plots launch of 60 SpaceX internet satellites amid 'space junk' row

In other news, a researcher claimed earlier this month that the discovery of alien life was not only ""inevitable"" but also ""imminent"".

One Nasa scientist has admitted it's entirely possible that aliens have already visited Earth – and we simply never noticed.

And, here are the mysteries we need to solve in order to prove the existence of extraterrestrials.

Do you believe in extraterrestrials? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk",A woman is slicing a pumpkin.,0.43573317
"CLAIMED sightings of UFOs reported to the RAF by terrified members of the British public are to be published online for the first time.

The RAF ran a UFO unit for five decades but chose to shut it down in 2009 after it concluded none of the reports sent in offered evidence of a potential threat.

2 Claimed sightings of UFOs reported to the RAF are to be published online Credit: Workbook Stock - Getty

Previously, records from the unit were given to the National Archives, often initially classified before being released after a specific number of years.

But the most recent reports received by the RAF will be placed online, the PA news agency revealed following a Freedom of Information Act request.

Members of the public reporting alleged UFO sightings are now directed to their local police force.

A spokesman for the RAF said that ""it had been assessed that it would be better to publish these records, rather than continue sending documents to the National Archives, and so they are looking to put them on to a dedicated gov.uk web page"".

2 Drawing of an 'alien spacecraft' spotted by two US servicemen during an unexplained incident in the Suffolk countryside in 1980 Credit: Alamy

A clearance process for the documents is currently under way before publication, which is expected to take place ""some time within the first quarter of 2020"".

In response to the FOI request, the RAF described the files it held as ""comprising entirely of correspondence with members of the public"".

It added: ""The MoD has no opinion on the existence or otherwise of extra terrestrial life and does not investigate UFO reports.""

Nick Pope, who used to investigate reports of UFO sightings for the MoD, welcomed the move.

""Given the massive public interest in this subject, I'm pleased that these files will be released and made available online,"" he told the PA news agency.

""The MoD have previously claimed that all the files have been released - only to find additional ones - so this latest move is bound to start a few conspiracy theories.

""When I worked on the MoD's 'UFO desk' we didn't find definitive proof of extraterrestrial visitation, but there were so many bizarre and unexplained sightings that we didn't entirely rule it out.

""I'm glad the public are to be given further insights into our work on these real-life X-Files.""

The Rendlesham Forest incident: Britain’s most famous UFO sighting The Rendlesham Forest incident took place in December 1980 over a series of at least two nights. On December 26, 1980, military personnel at the twin bases of RAF Bentwaters and RAF Woodbridge in Suffolk saw a strange light in Rendlesham Forest, which lies between the two bases. Three men were sent out to investigate where two of them encountered a small, triangularshaped craft. One man, Jim Penniston, got close enough to touch the side of the object. He and another of the airmen present, John Burroughs, made sketches of the craft for witness statements. Two nights later Deputy Base Commander, Lieutenant Colonel Charles Halt and his team then encountered the UFO. He said later: ""Here I am, a senior official who routinely denies this sort of thing and diligently works to debunk them, and I'm involved in the middle of something I can't explain.""

Despite an MOD investigation the Rendlesham Forest incident remains unexplained.

Ex UFO-chief claims he quit US government over alien encounter 'cover-up'

TOP STORIES IN SCIENCE Investigation GAME SHAME YouTube flooded with hardcore sex videos from Roblox, a video game for KIDS TRACK DAY You can now race pals in Mario Kart on iPhone and Android for first time ever MURDER ON THE NILE Famous 'mistress' mummy Takabuti was KNIFED to death in her twenties LOGGED OFF WhatsApp to stop working on millions of phones this week – is yours on the list? SPACED OUT Elon Musk plots launch of 60 SpaceX internet satellites amid 'space junk' row

In other news, a researcher claimed earlier this month that the discovery of alien life was not only ""inevitable"" but also ""imminent"".

One Nasa scientist has admitted it's entirely possible that aliens have already visited Earth – and we simply never noticed.

And, here are the mysteries we need to solve in order to prove the existence of extraterrestrials.

Do you believe in extraterrestrials? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk",The little girl is riding a bicycle in a race,0.4366911
"CLAIMED sightings of UFOs reported to the RAF by terrified members of the British public are to be published online for the first time.

The RAF ran a UFO unit for five decades but chose to shut it down in 2009 after it concluded none of the reports sent in offered evidence of a potential threat.

2 Claimed sightings of UFOs reported to the RAF are to be published online Credit: Workbook Stock - Getty

Previously, records from the unit were given to the National Archives, often initially classified before being released after a specific number of years.

But the most recent reports received by the RAF will be placed online, the PA news agency revealed following a Freedom of Information Act request.

Members of the public reporting alleged UFO sightings are now directed to their local police force.

A spokesman for the RAF said that ""it had been assessed that it would be better to publish these records, rather than continue sending documents to the National Archives, and so they are looking to put them on to a dedicated gov.uk web page"".

2 Drawing of an 'alien spacecraft' spotted by two US servicemen during an unexplained incident in the Suffolk countryside in 1980 Credit: Alamy

A clearance process for the documents is currently under way before publication, which is expected to take place ""some time within the first quarter of 2020"".

In response to the FOI request, the RAF described the files it held as ""comprising entirely of correspondence with members of the public"".

It added: ""The MoD has no opinion on the existence or otherwise of extra terrestrial life and does not investigate UFO reports.""

Nick Pope, who used to investigate reports of UFO sightings for the MoD, welcomed the move.

""Given the massive public interest in this subject, I'm pleased that these files will be released and made available online,"" he told the PA news agency.

""The MoD have previously claimed that all the files have been released - only to find additional ones - so this latest move is bound to start a few conspiracy theories.

""When I worked on the MoD's 'UFO desk' we didn't find definitive proof of extraterrestrial visitation, but there were so many bizarre and unexplained sightings that we didn't entirely rule it out.

""I'm glad the public are to be given further insights into our work on these real-life X-Files.""

The Rendlesham Forest incident: Britain’s most famous UFO sighting The Rendlesham Forest incident took place in December 1980 over a series of at least two nights. On December 26, 1980, military personnel at the twin bases of RAF Bentwaters and RAF Woodbridge in Suffolk saw a strange light in Rendlesham Forest, which lies between the two bases. Three men were sent out to investigate where two of them encountered a small, triangularshaped craft. One man, Jim Penniston, got close enough to touch the side of the object. He and another of the airmen present, John Burroughs, made sketches of the craft for witness statements. Two nights later Deputy Base Commander, Lieutenant Colonel Charles Halt and his team then encountered the UFO. He said later: ""Here I am, a senior official who routinely denies this sort of thing and diligently works to debunk them, and I'm involved in the middle of something I can't explain.""

Despite an MOD investigation the Rendlesham Forest incident remains unexplained.

Ex UFO-chief claims he quit US government over alien encounter 'cover-up'

TOP STORIES IN SCIENCE Investigation GAME SHAME YouTube flooded with hardcore sex videos from Roblox, a video game for KIDS TRACK DAY You can now race pals in Mario Kart on iPhone and Android for first time ever MURDER ON THE NILE Famous 'mistress' mummy Takabuti was KNIFED to death in her twenties LOGGED OFF WhatsApp to stop working on millions of phones this week – is yours on the list? SPACED OUT Elon Musk plots launch of 60 SpaceX internet satellites amid 'space junk' row

In other news, a researcher claimed earlier this month that the discovery of alien life was not only ""inevitable"" but also ""imminent"".

One Nasa scientist has admitted it's entirely possible that aliens have already visited Earth – and we simply never noticed.

And, here are the mysteries we need to solve in order to prove the existence of extraterrestrials.

Do you believe in extraterrestrials? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk",a woman is swimming .,0.44114435
"Local budget carrier Scoot will suspend all flights between Singapore and mainland China from Feb 8, amid the growing severity of the Wuhan virus outbreak.

Scoot had said early on Friday (Jan 31) that it would suspend flights to 11 cities and reduce flights to eight other cities, but had stepped up its precautionary measures in line with those announced by the Government later in the day.

Measures that the authorities announced to limit the spread of the Wuhan virus include the barring of all travellers arriving from mainland China who had been there in the past 14 days from entry or transit in Singapore.

Scoot currently operates 100 weekly flights to 18 points in China, excluding Wuhan.

It said that before Feb 8, some flights to China, such as those to Guangzhou and Qingdao, will be operating on reduced frequencies before the suspension kicks in till late March.

Between Feb 2 and Feb 7, the flights operating to and from China will have limited in-flight services with no sales of food and beverage items.

All customers will be provided with a food pack, including water.

Customers booked on flights affected by the schedule change will receive a refund, said Scoot.

The operator added: ""Scoot will continue to closely monitor the coronavirus situation as the health and safety of our passengers and employees are our highest priority.

""For now, Scoot flights between Singapore and all mainland China destinations after the above-stated suspension period will continue to operate as scheduled.""

Scoot is a member of the Singapore Airlines Group, which also includes Singapore Airlines and SilkAir.

The two latter carriers also announced earlier on Friday that it will reduce the number of flights to mainland China in February, subject to regulatory approvals.

In a Facebook post on Friday, SIA said that the airline as well as SilkAir would be cancelling some flights between Singapore and cities including Beijing, Shanghai, Guangzhou, Shenzhen, Xiamen, Chengdu and Chongqing.

[Travel Advisory] SINGAPORE AIRLINES AND SILKAIR FLIGHTS TO MAINLAND CHINA Singapore Airlines and SilkAir will further... Posted by Singapore Airlines on Thursday, 30 January 2020

Affected customers will be notified and rebooked on other flights, SIA said.

SIA currently operates 56 weekly flights to Beijing, Guangzhou and Shanghai, while SilkAir operates 36 weekly flights to Chengdu, Chongqing, Shenzhen and Xiamen.

For the latest updates on the Wuhan virus, visit here.

This article was first published in The Straits Times. Permission required for reproduction.",Four ladies in swimsuits play sand volleyball on the beach.,0.44407368
"CLAIMED sightings of UFOs reported to the RAF by terrified members of the British public are to be published online for the first time.

The RAF ran a UFO unit for five decades but chose to shut it down in 2009 after it concluded none of the reports sent in offered evidence of a potential threat.

2 Claimed sightings of UFOs reported to the RAF are to be published online Credit: Workbook Stock - Getty

Previously, records from the unit were given to the National Archives, often initially classified before being released after a specific number of years.

But the most recent reports received by the RAF will be placed online, the PA news agency revealed following a Freedom of Information Act request.

Members of the public reporting alleged UFO sightings are now directed to their local police force.

A spokesman for the RAF said that ""it had been assessed that it would be better to publish these records, rather than continue sending documents to the National Archives, and so they are looking to put them on to a dedicated gov.uk web page"".

2 Drawing of an 'alien spacecraft' spotted by two US servicemen during an unexplained incident in the Suffolk countryside in 1980 Credit: Alamy

A clearance process for the documents is currently under way before publication, which is expected to take place ""some time within the first quarter of 2020"".

In response to the FOI request, the RAF described the files it held as ""comprising entirely of correspondence with members of the public"".

It added: ""The MoD has no opinion on the existence or otherwise of extra terrestrial life and does not investigate UFO reports.""

Nick Pope, who used to investigate reports of UFO sightings for the MoD, welcomed the move.

""Given the massive public interest in this subject, I'm pleased that these files will be released and made available online,"" he told the PA news agency.

""The MoD have previously claimed that all the files have been released - only to find additional ones - so this latest move is bound to start a few conspiracy theories.

""When I worked on the MoD's 'UFO desk' we didn't find definitive proof of extraterrestrial visitation, but there were so many bizarre and unexplained sightings that we didn't entirely rule it out.

""I'm glad the public are to be given further insights into our work on these real-life X-Files.""

The Rendlesham Forest incident: Britain’s most famous UFO sighting The Rendlesham Forest incident took place in December 1980 over a series of at least two nights. On December 26, 1980, military personnel at the twin bases of RAF Bentwaters and RAF Woodbridge in Suffolk saw a strange light in Rendlesham Forest, which lies between the two bases. Three men were sent out to investigate where two of them encountered a small, triangularshaped craft. One man, Jim Penniston, got close enough to touch the side of the object. He and another of the airmen present, John Burroughs, made sketches of the craft for witness statements. Two nights later Deputy Base Commander, Lieutenant Colonel Charles Halt and his team then encountered the UFO. He said later: ""Here I am, a senior official who routinely denies this sort of thing and diligently works to debunk them, and I'm involved in the middle of something I can't explain.""

Despite an MOD investigation the Rendlesham Forest incident remains unexplained.

Ex UFO-chief claims he quit US government over alien encounter 'cover-up'

TOP STORIES IN SCIENCE Investigation GAME SHAME YouTube flooded with hardcore sex videos from Roblox, a video game for KIDS TRACK DAY You can now race pals in Mario Kart on iPhone and Android for first time ever MURDER ON THE NILE Famous 'mistress' mummy Takabuti was KNIFED to death in her twenties LOGGED OFF WhatsApp to stop working on millions of phones this week – is yours on the list? SPACED OUT Elon Musk plots launch of 60 SpaceX internet satellites amid 'space junk' row

In other news, a researcher claimed earlier this month that the discovery of alien life was not only ""inevitable"" but also ""imminent"".

One Nasa scientist has admitted it's entirely possible that aliens have already visited Earth – and we simply never noticed.

And, here are the mysteries we need to solve in order to prove the existence of extraterrestrials.

Do you believe in extraterrestrials? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk",how can i boost the water pressure in my shower ?,0.44502163
"Local budget carrier Scoot will suspend all flights between Singapore and mainland China from Feb 8, amid the growing severity of the Wuhan virus outbreak.

Scoot had said early on Friday (Jan 31) that it would suspend flights to 11 cities and reduce flights to eight other cities, but had stepped up its precautionary measures in line with those announced by the Government later in the day.

Measures that the authorities announced to limit the spread of the Wuhan virus include the barring of all travellers arriving from mainland China who had been there in the past 14 days from entry or transit in Singapore.

Scoot currently operates 100 weekly flights to 18 points in China, excluding Wuhan.

It said that before Feb 8, some flights to China, such as those to Guangzhou and Qingdao, will be operating on reduced frequencies before the suspension kicks in till late March.

Between Feb 2 and Feb 7, the flights operating to and from China will have limited in-flight services with no sales of food and beverage items.

All customers will be provided with a food pack, including water.

Customers booked on flights affected by the schedule change will receive a refund, said Scoot.

The operator added: ""Scoot will continue to closely monitor the coronavirus situation as the health and safety of our passengers and employees are our highest priority.

""For now, Scoot flights between Singapore and all mainland China destinations after the above-stated suspension period will continue to operate as scheduled.""

Scoot is a member of the Singapore Airlines Group, which also includes Singapore Airlines and SilkAir.

The two latter carriers also announced earlier on Friday that it will reduce the number of flights to mainland China in February, subject to regulatory approvals.

In a Facebook post on Friday, SIA said that the airline as well as SilkAir would be cancelling some flights between Singapore and cities including Beijing, Shanghai, Guangzhou, Shenzhen, Xiamen, Chengdu and Chongqing.

[Travel Advisory] SINGAPORE AIRLINES AND SILKAIR FLIGHTS TO MAINLAND CHINA Singapore Airlines and SilkAir will further... Posted by Singapore Airlines on Thursday, 30 January 2020

Affected customers will be notified and rebooked on other flights, SIA said.

SIA currently operates 56 weekly flights to Beijing, Guangzhou and Shanghai, while SilkAir operates 36 weekly flights to Chengdu, Chongqing, Shenzhen and Xiamen.

For the latest updates on the Wuhan virus, visit here.

This article was first published in The Straits Times. Permission required for reproduction.",two dogs running in the dirt,0.44576716
"CLAIMED sightings of UFOs reported to the RAF by terrified members of the British public are to be published online for the first time.

The RAF ran a UFO unit for five decades but chose to shut it down in 2009 after it concluded none of the reports sent in offered evidence of a potential threat.

2 Claimed sightings of UFOs reported to the RAF are to be published online Credit: Workbook Stock - Getty

Previously, records from the unit were given to the National Archives, often initially classified before being released after a specific number of years.

But the most recent reports received by the RAF will be placed online, the PA news agency revealed following a Freedom of Information Act request.

Members of the public reporting alleged UFO sightings are now directed to their local police force.

A spokesman for the RAF said that ""it had been assessed that it would be better to publish these records, rather than continue sending documents to the National Archives, and so they are looking to put them on to a dedicated gov.uk web page"".

2 Drawing of an 'alien spacecraft' spotted by two US servicemen during an unexplained incident in the Suffolk countryside in 1980 Credit: Alamy

A clearance process for the documents is currently under way before publication, which is expected to take place ""some time within the first quarter of 2020"".

In response to the FOI request, the RAF described the files it held as ""comprising entirely of correspondence with members of the public"".

It added: ""The MoD has no opinion on the existence or otherwise of extra terrestrial life and does not investigate UFO reports.""

Nick Pope, who used to investigate reports of UFO sightings for the MoD, welcomed the move.

""Given the massive public interest in this subject, I'm pleased that these files will be released and made available online,"" he told the PA news agency.

""The MoD have previously claimed that all the files have been released - only to find additional ones - so this latest move is bound to start a few conspiracy theories.

""When I worked on the MoD's 'UFO desk' we didn't find definitive proof of extraterrestrial visitation, but there were so many bizarre and unexplained sightings that we didn't entirely rule it out.

""I'm glad the public are to be given further insights into our work on these real-life X-Files.""

The Rendlesham Forest incident: Britain’s most famous UFO sighting The Rendlesham Forest incident took place in December 1980 over a series of at least two nights. On December 26, 1980, military personnel at the twin bases of RAF Bentwaters and RAF Woodbridge in Suffolk saw a strange light in Rendlesham Forest, which lies between the two bases. Three men were sent out to investigate where two of them encountered a small, triangularshaped craft. One man, Jim Penniston, got close enough to touch the side of the object. He and another of the airmen present, John Burroughs, made sketches of the craft for witness statements. Two nights later Deputy Base Commander, Lieutenant Colonel Charles Halt and his team then encountered the UFO. He said later: ""Here I am, a senior official who routinely denies this sort of thing and diligently works to debunk them, and I'm involved in the middle of something I can't explain.""

Despite an MOD investigation the Rendlesham Forest incident remains unexplained.

Ex UFO-chief claims he quit US government over alien encounter 'cover-up'

TOP STORIES IN SCIENCE Investigation GAME SHAME YouTube flooded with hardcore sex videos from Roblox, a video game for KIDS TRACK DAY You can now race pals in Mario Kart on iPhone and Android for first time ever MURDER ON THE NILE Famous 'mistress' mummy Takabuti was KNIFED to death in her twenties LOGGED OFF WhatsApp to stop working on millions of phones this week – is yours on the list? SPACED OUT Elon Musk plots launch of 60 SpaceX internet satellites amid 'space junk' row

In other news, a researcher claimed earlier this month that the discovery of alien life was not only ""inevitable"" but also ""imminent"".

One Nasa scientist has admitted it's entirely possible that aliens have already visited Earth – and we simply never noticed.

And, here are the mysteries we need to solve in order to prove the existence of extraterrestrials.

Do you believe in extraterrestrials? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk",A woman is dancing near a fire.,0.44618088
