sentence1,sentence2,similarity
"The coronavirus outbreak in China has become a global cause for concern, with cases reported in Australia and France. The death toll has risen to 81, while 3,000 people have been infected with it, according to BBC.

Here are five must-read stories on coronavirus:

New virus detected

In January, Chinese officials reported the outbreak of coronavirus, which was discovered in the central Chinese city of Wuhan. Experts initially said they didn't know how easily the virus could spread or where it originated.

This saw authorities in the US, Thailand and South Korea screen visitors from Wuhan. However, the World Health Organisation (WHO) advised against travel restrictions for China.",A person is playing a piano.,0.19688196
"The coronavirus outbreak in China has become a global cause for concern, with cases reported in Australia and France. The death toll has risen to 81, while 3,000 people have been infected with it, according to BBC.

Here are five must-read stories on coronavirus:

New virus detected

In January, Chinese officials reported the outbreak of coronavirus, which was discovered in the central Chinese city of Wuhan. Experts initially said they didn't know how easily the virus could spread or where it originated.

This saw authorities in the US, Thailand and South Korea screen visitors from Wuhan. However, the World Health Organisation (WHO) advised against travel restrictions for China.",A man is jumping into a pool,0.1999282
The child is playing with toys indoors,"The coronavirus outbreak in China has become a global cause for concern, with cases reported in Australia and France. The death toll has risen to 81, while 3,000 people have been infected with it, according to BBC.

Here are five must-read stories on coronavirus:

New virus detected

In January, Chinese officials reported the outbreak of coronavirus, which was discovered in the central Chinese city of Wuhan. Experts initially said they didn't know how easily the virus could spread or where it originated.

This saw authorities in the US, Thailand and South Korea screen visitors from Wuhan. However, the World Health Organisation (WHO) advised against travel restrictions for China.",0.20482661
"The coronavirus outbreak in China has become a global cause for concern, with cases reported in Australia and France. The death toll has risen to 81, while 3,000 people have been infected with it, according to BBC.

Here are five must-read stories on coronavirus:

New virus detected

In January, Chinese officials reported the outbreak of coronavirus, which was discovered in the central Chinese city of Wuhan. Experts initially said they didn't know how easily the virus could spread or where it originated.

This saw authorities in the US, Thailand and South Korea screen visitors from Wuhan. However, the World Health Organisation (WHO) advised against travel restrictions for China.",A boy is sitting in a room and playing a piano by lamp light,0.2072096
"microsoft said friday that it is halting development of future macintosh versions of its internet explorer browser , citing competition from apple computer 's safari browser .",Venezuelans urged to vote in presidential election,0.20743988
"The coronavirus outbreak in China has become a global cause for concern, with cases reported in Australia and France. The death toll has risen to 81, while 3,000 people have been infected with it, according to BBC.

Here are five must-read stories on coronavirus:

New virus detected

In January, Chinese officials reported the outbreak of coronavirus, which was discovered in the central Chinese city of Wuhan. Experts initially said they didn't know how easily the virus could spread or where it originated.

This saw authorities in the US, Thailand and South Korea screen visitors from Wuhan. However, the World Health Organisation (WHO) advised against travel restrictions for China.",There is no little girl playing the piano,0.20912111
"The coronavirus outbreak in China has become a global cause for concern, with cases reported in Australia and France. The death toll has risen to 81, while 3,000 people have been infected with it, according to BBC.

Here are five must-read stories on coronavirus:

New virus detected

In January, Chinese officials reported the outbreak of coronavirus, which was discovered in the central Chinese city of Wuhan. Experts initially said they didn't know how easily the virus could spread or where it originated.

This saw authorities in the US, Thailand and South Korea screen visitors from Wuhan. However, the World Health Organisation (WHO) advised against travel restrictions for China.",A man is doing a skateboard trick on an outdoor park porch,0.21322192
The woman is playing the guitar,"microsoft said friday that it is halting development of future macintosh versions of its internet explorer browser , citing competition from apple computer 's safari browser .",0.21363856
what is the best way to learn finger-picking on an acoustic guitar ?,"The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.",0.21464665
"The coronavirus outbreak in China has become a global cause for concern, with cases reported in Australia and France. The death toll has risen to 81, while 3,000 people have been infected with it, according to BBC.

Here are five must-read stories on coronavirus:

New virus detected

In January, Chinese officials reported the outbreak of coronavirus, which was discovered in the central Chinese city of Wuhan. Experts initially said they didn't know how easily the virus could spread or where it originated.

This saw authorities in the US, Thailand and South Korea screen visitors from Wuhan. However, the World Health Organisation (WHO) advised against travel restrictions for China.",A woman is playing an electric guitar.,0.21475229
