sentence1,sentence2,similarity
A woman is slicing a potato,The boys are wearing bathing suits and water is splashing around,0.07025249
A person is watching people ski down the hill.,a black and white cat laying on a cat bed .,0.07858545
A man in a brown coat rubs his nose.,suspected drone strike kills 4 in pakistan,0.09157772
A man in a brown coat rubs his nose.,A girl is bungee jumping.,0.097187184
A person is peeling a potato.,a black and white cat laying on a cat bed .,0.10279742
a black and white cat laying on a cat bed .,someone is stirring a pot of chili with a spoon .,0.10289611
A man in a brown coat rubs his nose.,two girls jump out of swings .,0.10534066
a man swims underwater .,pile of wooden debris with chair on top .,0.11063483
a man sprays another man with water from a hose .,a girl is playing a piano .,0.11261347
two ladies jogging on a path near the waterfront .,A young boy wearing a red winter coat is eating and holding up a candy bar.,0.11298436
A man in a brown coat rubs his nose.,islamic state issues video of beheading of us hostage,0.1147034
The lady is cracking an egg into a bowl,a man is swinging on a rope .,0.11580126
a squirrel is spinning around in circles .,norway marks anniversary of breivik 's massacre,0.12122228
helicopter crashes in london,A person is peeling a potato.,0.12167011
two ladies jogging on a path near the waterfront .,A child is sitting in a red and yellow toy car,0.12196364
A cat looking out of a window.,four people are floating on a raft .,0.12204735
Four girls happily walk down a sidewalk.,A poor man is being fed snakes and mice,0.1221657
an elderly woman rides a bicycle along a city street .,A young boy wearing a red winter coat is eating and holding up a candy bar.,0.12352906
A cat is opening a drawer and jumping inside,four people are floating on a raft .,0.12354526
Rollerbladers are running in formation down a hill,a black and white cat laying on a cat bed .,0.12431423
a man attacks a woman .,Two little kids are wearing tuxedos,0.12555578
two asian men and a woman are relaxing in massage chairs .,"A child, who is young, dressed for cold weather, is standing outside",0.12567674
a man is spitting .,a girl is playing a piano .,0.12575185
A kitten is walking.,Two sumo wrestlers are fighting,0.12631162
a dog laying in a pet jacket .,"egypt braces for more protests over morsi , prays for calm",0.12715694
A young boy wearing a red winter coat is eating and holding up a candy bar.,two asian men and a woman are relaxing in massage chairs .,0.12716737
a dog laying in a pet jacket .,activists : syrian troops storm damascus suburb,0.12791926
A person is watching people ski down the hill.,A cat is jumping into a container,0.12884843
a squirrel runs in circles .,norway marks anniversary of breivik 's massacre,0.13009532
Boys are dangling from straps and kicking at each other,A woman is putting on makeup carefully,0.13063432
A person is watching people ski down the hill.,A cat is opening a drawer and jumping inside,0.13161263
A boy is playing a guitar,two ladies jogging on a path near the waterfront .,0.13210827
a man is paddling a canoe .,Several boys are jumping on a trampoline,0.13234387
a dog laying in a pet jacket .,egypt 's muslim brotherhood set for mass march,0.13254753
A young man wearing a striped shirt is holding two bicycles.,helicopter crashes in london,0.1326045
A girl dressed in purple and blue is slowly walking beside her bike at night,a man is spitting .,0.13274741
a dog laying in a pet jacket .,syria rebels attack lebanese post near border : army,0.13360834
A woman is rowing a boat,A young boy wearing a red winter coat is eating and holding up a candy bar.,0.13419278
An old man with a beard that is grey is riding a bike,helicopter crashes in london,0.13454774
a dog laying in a pet jacket .,that was to increase the power of the large countries to the detriment of small .,0.13572817
a dog laying in a pet jacket .,7.2 magnitude earthquake strikes philippines,0.13771644
a squirrel runs in circles .,Two guys are standing by a table and putting some beers down on it,0.13777307
7.2 magnitude earthquake strikes philippines,There is no man wearing a straw hat who is smoking a cigarette,0.13891782
a man sprays another man with water from a hose .,parked white double decker bus .,0.13968432
a man attacks a woman .,Two small boys dressed in tuxedos are standing on a red carpeted floor,0.13987881
A man in a brown coat rubs his nose.,Jurors find Jodi Arias eligible for death penalty,0.14029108
A young boy wearing a red winter coat is eating and holding up a candy bar.,Two women are competing in a tire rolling race,0.14056125
a dog laying in a pet jacket .,three young women standing in a room together .,0.14068124
A man in a brown coat rubs his nose.,suicide bomber kills 21 in nw pakistan,0.14068167
a man is paddling a canoe .,two dogs in the snow,0.14078647
A woman is dancing,boy given pot to manage his autism,0.14086126
Four girls happily walk down a sidewalk.,helicopter crashes in london,0.14092594
a squirrel is spinning around in circles .,Two guys are standing by a table and putting some beers down on it,0.14116473
a person who plants bombs .,a side view of a horse 's head .,0.14131546
Two small boys dressed in tuxedos are standing on a red carpeted floor,Food is being deep fried by a woman,0.14151156
A young man wearing a striped shirt is holding two bicycles.,two dogs in the snow,0.14156848
an elderly woman rides a bicycle along a city street .,Two small boys dressed in tuxedos are standing on a red carpeted floor,0.14241248
A woman is dancing,"A boy in a red shirt is in front a wall, which is long and blue, and is suspiciously raising an eyebrow at the camera",0.14280333
A person is stupidly throwing a cat at the ceiling,A steam engine and train moving toward the camera.,0.14283001
helicopter crashes in london,cover with a protective sheathing .,0.14308757
A woman is rowing a boat,Two small boys dressed in tuxedos are standing on a red carpeted floor,0.14347285
The boys are wearing bathing suits and water is splashing around,a woman is cutting some herbs .,0.14352526
a slight cut in a physical surface,The dogs are chasing a cat.,0.14382829
A person is cutting an onion,a black and white cat laying on a cat bed .,0.14397149
a girl is playing a piano .,cover with a protective sheathing .,0.14438652
a man walks two dogs on leashes down the street,"taliban pose as ' attractive women , on facebook for spying",0.14452869
"another migrant boat capsizes off italy , 27 dead",cover with a protective sheathing .,0.14475237
a woman is sitting near a flower bed overlooking a tunnel .,Boys are dangling from straps and kicking at each other,0.14491092
a man attacks a woman .,A little kid is wearing a hat and is walking in the wet sand,0.14513667
two ladies jogging on a path near the waterfront .,A boy is playing on a toy,0.14530063
A black dog with a red collar is amusedly putting its face in the water,a man is folding paper .,0.14665449
A man in a brown coat rubs his nose.,7.2 magnitude earthquake strikes philippines,0.14691481
Rollerbladers are running in formation down a hill,a man swims underwater .,0.14703526
an elderly woman rides a bicycle along a city street .,helicopter crashes in london,0.14734094
The lady is cracking an egg into a bowl,a man walks two dogs on leashes down the street,0.14781779
a race care driving along a dirt road .,three young women standing in a room together .,0.14863487
A man in a brown coat rubs his nose.,A young lady in a bikini is standing on the beach,0.1486761
A woman is slicing meat with a knife,A child is sitting in a red and yellow toy car,0.14875656
A woman is dancing,The boy in the blue coverall is painting,0.14895488
Rollerbladers are running in formation down a hill,A little cat is drinking fresh milk,0.14928472
helicopter crashes in london,man playing game in a store .,0.14972663
7.2 magnitude earthquake strikes philippines,cover with a protective sheathing .,0.15029047
a dog laying in a pet jacket .,a person is cutting mushrooms with a knife .,0.15031365
A man is putting vegetables into a pot,A kitten is walking.,0.1504261
A woman is slicing a potato,a black and white cat laying on a cat bed .,0.15075663
Several boys are jumping on a trampoline,The woman is not playing an electric guitar,0.15083013
a black and white cat laying on a cat bed .,four people are floating on a raft .,0.1508702
stolen skulls found in home museum,a man is swinging on a rope .,0.15122236
a dog laying in a pet jacket .,"a coalition of campaign groups , including the militant national students body , is backing the protests , which the nlc called in defiance of a court order banning them .",0.1524384
A man in a brown coat rubs his nose.,"police , protesters clash in pakistan",0.15307972
A woman is dancing,Some boys are kneeling next to each other in front of a ball,0.15393536
A man in a brown coat rubs his nose.,Syria TV says govt troops free captive journalists,0.15492356
A little girl is selling a scooter,cover with a protective sheathing .,0.15583284
A blonde in green is sitting by a swinging boy,a man swims underwater .,0.1568544
a man swims underwater .,"A child, who is young, dressed for cold weather, is standing outside",0.15771285
a dog laying in a pet jacket .,A man is athletically jumping a wall,0.15852045
a dog laying in a pet jacket .,syria divided opposition struggles within wider syrian struggle,0.15961468
the women are singing and dancing .,boy given pot to manage his autism,0.16039872
Two little kids are wearing tuxedos,a black and white cat laying on a cat bed .,0.16148041
a man attacks a woman .,The boy in the blue coverall is painting,0.16240317
A person is watching people ski down the hill.,a black and white cat gets into a basket of yarn .,0.1633748
The women are not singing and dancing,A young boy wearing a red winter coat is eating and holding up a candy bar.,0.16438432
helicopter crashes in london,people say that naomi is a person with a warm heart .,0.1652124
Food is being deep fried by a woman,Two people are sitting on a park bench on a rainy day,0.16612141
The person is carefully slicing a potato,a black and white cat laying on a cat bed .,0.16704836
There is no man slicing potatoes,a black and white cat laying on a cat bed .,0.16796064
A woman is dancing,A young boy wearing a red winter coat is eating and holding up a candy bar.,0.16895473
A man is sitting peacefully on a boat in front of the sunset near a flag,three young women standing in a room together .,0.16995622
A woman is rowing a boat,An Asian man is dancing and three kids are looking,0.17088264
Two little kids are wearing tuxedos,The woman is not playing an electric guitar,0.17176619
The woman is not playing an electric guitar,Two small boys dressed in tuxedos are standing on a red carpeted floor,0.17266014
a man is swinging on a rope .,a white dog running in the snow,0.17352146
an elderly woman rides a bicycle along a city street .,"A boy in a red shirt is in front a wall, which is long and blue, and is suspiciously raising an eyebrow at the camera",0.17449862
"the npk numbers on the fertilizer represents the percent , by weight , of nitrogen , p2o5 and k2o , respectively .",A kitten is walking.,0.17540494
two trains inside a train station .,A young lady in a bikini is standing on the beach,0.17633383
a cat is licking himself .,four people walk toward a tower,0.17729099
The two kids look at the products sold inside the subway shop.,a man in a maroon bathing suit swings on a rope on a lake .,0.178168
a girl is playing a piano .,Two sumo wrestlers are fighting,0.1791891
A man is slicing onions,A schoolgirl with a black bag is on a crowded train,0.18007429
helicopter crashes in london,The woman is wearing a red jacket and holding a glass in front of the man in a white t-shirt,0.18082958
Two girls are laughing and other girls are watching them,An old man with a beard that is grey is riding a bike,0.18190068
One small child is greedily drinking water from the cup,A woman is dancing,0.18297961
Two little kids are wearing tuxedos,a lone cow sits in the cold of the yard .,0.18380749
parked white double decker bus .,A rock is being climbed by the black dog,0.18477792
A woman is rowing a boat,A person is standing in the snow at the edge of a mountain,0.18564337
A man is making a phone call,a black and white cat laying on a cat bed .,0.18658169
a dog laying in a pet jacket .,A lady and her daughter look through a microscope.,0.18750769
A woman is slicing a potato,the cat is laying on an animal print blanket .,0.18840295
A man in a brown coat rubs his nose.,syria divided opposition struggles within wider syrian struggle,0.18937488
The young boy is running through the ocean waves,a black and white cat gets into a basket of yarn .,0.19030114
reduce ( petroleum ) to a simpler compound by cracking .,a black and white cat laying on a cat bed .,0.19125134
A man in a brown coat rubs his nose.,There is no girl in pink twirling a ribbon,0.192174
"since there would be no "" spouse "" , employees would become liable for employer portions of health insurance because there would be no waiving of the tax penalty for employer provided health insurance for a spouse .",A kitten is walking.,0.19312343
A woman is dancing,a dog laying in a pet jacket .,0.19406362
Five adults are sitting on a chair,a white dog running in the snow,0.19496244
a man is folding paper .,people say that naomi is a person with a warm heart .,0.19585446
islamic state issues video of beheading of us hostage,cover with a protective sheathing .,0.1968158
"The pMSCV-blast-miR plasmids, containing either hsa-miR-376a1 human miRNA or control miRNA (hTR-human telomerase RNA), were constructed as described previously.",a white dog running in the snow,0.19773814
A lady and her daughter look through a microscope.,A man is athletically jumping a wall,0.19868138
A girl in a uniform is playing the flute with a marching band,a cat is licking himself .,0.19961393
A man in a brown coat rubs his nose.,thousands more syrian refugees flee to turkey overnight,0.20049691
A black dog with a red collar is amusedly putting its face in the water,pile of wooden debris with chair on top .,0.20148426
An old man with a beard that is grey is riding a bike,china army newspaper slams us 's prism program,0.20241022
a white dog running in the snow,egypt 's coptic church prepares to choose pope,0.20333359
A surfer is riding a big wave across dark green water,helicopter crashes in london,0.20427087
"A boy in a red shirt is in front a wall, which is long and blue, and is suspiciously raising an eyebrow at the camera",two dogs in the snow,0.20520619
a man is paddling a canoe .,A black and white dog is playing with a broken ball,0.20611477
two red buses driving in front of a garden .,A baby is playing a guitar,0.207052
A cat looking out of a window.,a person who plants bombs .,0.20799673
A surfer is riding a big wave across dark green water,two dogs in the snow,0.20891991
A woman is slicing a potato,The boy is sitting near the blue ocean,0.20983827
a skateboarder attempts a trick on the side of a low wall .,A little cat is drinking fresh milk,0.21077132
former new mexico gov. richardson pressing north korean test ban,a black and white cat gets into a basket of yarn .,0.21171737
a man attacks a woman .,A kitten is walking.,0.21264654
a close up head of an ostrich .,There is no man wearing a straw hat who is smoking a cigarette,0.21357651
A woman is slicing a potato,A man is sitting peacefully on a boat in front of the sunset near a flag,0.21448517
The young boy is running through the ocean waves,pile of wooden debris with chair on top .,0.21543801
A poor man is being fed snakes and mice,people say that naomi is a person with a warm heart .,0.21637164
A person is cutting an onion,A schoolgirl with a black bag is on a crowded train,0.21729894
A shirtless woman is jumping over a log,"A boy in a red shirt is in front a wall, which is long and blue, and is suspiciously raising an eyebrow at the camera",0.21823576
