sentence1,sentence2,similarity
a man is jumping rope outside .,Two women are sitting in a cafe.,-0.024953332
a young boy jumping in the air at the beach .,Two women are sitting in a cafe.,0.010859271
A man is riding a horse.,Two women are sitting in a cafe.,0.0124043
Two women and a baby pose in front of a dining room.,a man is running across a high wire .,0.01695788
A man is running in a field,Two women and a baby pose in front of a dining room.,0.022425823
kittens are eating food .,a man is jumping rope outside .,0.025921615
Two women are sitting in a cafe.,A boy wearing a striped shirt is running barefoot on the sandy hill,0.027796142
A young boy is jumping into a still lake,Two women are sitting in a cafe.,0.028727945
a man is jumping rope outside .,kittens are eating food on trays .,0.03263019
Two women are sitting in a cafe.,A man is mowing grass,0.035089064
A young man is pushing a motocross bike down a dirt hill,Two women are sitting in a cafe.,0.0367584
A man is shooting with a bow,Two women are sitting in a cafe.,0.037561744
two women standing in a living room with a black dog looking towards the camera .,A boy is wearing a white hat and is running on the beach,0.03782454
the man is catching a ball,Two women are sitting in a cafe.,0.038801353
The woman is frying a chop of breaded pork,A little boy is crawling in a green tunnel with a smile on his face,0.039488412
three men are sitting down at a table that has drinks on it .,a woman is playing in the ocean .,0.03977348
A man is running in a field,Two women are sitting in a cafe.,0.040064048
Some women are holding each other in a circle and dancing,The boy in the blue coverall is painting,0.040879976
a woman is taking a bath .,kids playing ball in the park .,0.042085957
a woman is taking a shower .,Two boys are doing martial arts on a green mat,0.042494267
Some women are holding each other in a circle and dancing,A boy is wearing a white hat and is running on the beach,0.04276081
two women standing in a living room with a black dog looking towards the camera .,A blond boy is sliding down a dune of sand on a skateboard,0.04283856
A boy wearing a striped shirt is running barefoot on the sandy hill,Some women are holding each other in a circle and dancing,0.043373805
A woman is parking a Seadoo,Two boys are doing martial arts on a green mat,0.043997273
a man is jumping rope outside .,two cats are close together inside and black and white furry enclosure .,0.044573896
a woman is taking a bath .,Two boys are doing martial arts on a green mat,0.04551977
two young women shear a sheep .,The man is dancing frantically,0.046317868
Two men are not fighting,a woman is playing in the ocean .,0.046642683
a man is slicing open a fish .,Two women are competing in a tire rolling race,0.04712998
Two women are sitting in a cafe.,A man is standing in the snow at the edge of a mountain,0.04754048
A man is standing in the water at the base of a waterfall,Two women are competing in a tire rolling race,0.047571547
Two women walk down the sidewalk to the store.,A man is holding a microphone in a room.,0.047831133
A woman is standing in the water at the base of a waterfall,Two young kids are eating corndogs,0.04789315
the skinny cows are standing on the grass .,The piano is being played by a man,0.047926914
A little boy in red clothes is jumping onto the ground,Two women are sitting in a cafe.,0.04797492
Two women are competing in a tire rolling race,The boy is playing a guitar,0.048709538
Two women walk down the sidewalk to the store.,A young boy is singing and playing a guitar,0.048922803
One boy is happily playing a piano,A woman in a bikini is pulling a dog on a leash at the seashore,0.049632102
Two boys are doing martial arts on a green mat,a woman is playing in the ocean .,0.050196193
a boy in red jumping into a sandbox .,Two women are sitting in a cafe.,0.05113563
