sentence1,sentence2,similarity
iran warns against military intervention in iraq,jersey murder trial : killer ' hearing voices',0.5416926
"romney , paul vie for maine caucus win",iran warns against military intervention in iraq,0.54462755
samsung profit soars to $ 6.6b record,iran warns against military intervention in iraq,0.5582295
The man is catching a fish,iran warns against military intervention in iraq,0.5594959
rick santorum wins kansas caucuses,iran warns against military intervention in iraq,0.5595398
'whitey ' bulger given two consecutive life terms,iran warns against military intervention in iraq,0.56259966
A snowboarding woman is jumping through the air,iran warns against military intervention in iraq,0.56317246
two baby pandas are playing .,iran warns against military intervention in iraq,0.5639169
iran warns against military intervention in iraq,south africa 's rugby fraternity mourns mandela,0.5646819
A man is catching a fish,iran warns against military intervention in iraq,0.56538266
"A man, a woman and two girls are sitting on the beach",iran warns against military intervention in iraq,0.5654195
iran warns against military intervention in iraq,a man seated is playing the cello .,0.56594974
a boy is rock climbing .,iran warns against military intervention in iraq,0.56624365
A man is passionately playing a guitar in front of an audience,iran warns against military intervention in iraq,0.5662509
iran warns against military intervention in iraq,The man is kissing and hugging the woman.,0.5675334
iran warns against military intervention in iraq,A little dog is running on the beach,0.5681915
A homeless man is holding up a sign and is begging for money,"nkorea makes "" significant "" nuclear reactor progress - iaea",0.56881857
iran warns against military intervention in iraq,a man is fishing .,0.5692379
"lance armstrong [ finally ] admits doping , says he will testify",iran warns against military intervention in iraq,0.56944007
british archbishop of canterbury changes career to cambridge,iran warns against military intervention in iraq,0.5700404
iran warns against military intervention in iraq,a snowboarder jumps into the air .,0.57020295
