sentence1,sentence2,similarity
california governor declares drought emergency,can i pay a collection agency in a way that will improve my credit score ?,0.18401098
"childcare ' costing £ 15,000 a year'",an open switch means the circuit is not a closed path .,0.18781592
"philippines typhoon death toll rises above 5,000",an open switch means the circuit is not a closed path .,0.19124174
"childcare ' costing £ 15,000 a year'",There is no man spraying a super soaker into the mouth of a dog,0.19282044
"childcare ' costing £ 15,000 a year'","A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching",0.19666776
an approximate attribute or quality of something,vietnamese citizens need a visa to visit the usa .,0.19672096
"childcare ' costing £ 15,000 a year'",the gears by which the motion of a machine can be reversed .,0.2004763
an open switch means the circuit is not a closed path .,4.1 magnitude quake strikes u.s,0.20266043
"childcare ' costing £ 15,000 a year'",Two dogs are running through water,0.20293799
"The Retinoblastoma protein, pRb, was among the first recognized tumor suppressor proteins, and loss or repression of pRb function is thought to play a causative role in most human cancers.",an open switch means the circuit is not a closed path .,0.20297611
"childcare ' costing £ 15,000 a year'",how to make a strong mug of instant coffee ?,0.20383836
"childcare ' costing £ 15,000 a year'",A dog is swimming in a body of water,0.20551679
oil prices rise on hopes for stimulus,( biology ) taxonomic group containing one or more families,0.20556676
"although cheese is very healthy and also good during pregnancy , some types might contain listeria , which can cause serious problems .","philippines typhoon death toll rises above 5,000",0.20557755
"childcare ' costing £ 15,000 a year'",A black dog is hanging out in the grass and running with its tongue out,0.20577511
"childcare ' costing £ 15,000 a year'",the longer of the two telegraphic signals used in morse code .,0.20633961
"childcare ' costing £ 15,000 a year'","He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.",0.20757163
"although cheese is very healthy and also good during pregnancy , some types might contain listeria , which can cause serious problems .",rudd sworn in as new australian pm,0.20782676
"childcare ' costing £ 15,000 a year'",A man is playing a flute made of bamboo,0.20886904
can i pay a collection agency in a way that will improve my credit score ?,"a social occasion , often official or formal",0.20895407
"childcare ' costing £ 15,000 a year'",a man is playing a bamboo flute .,0.20951143
elbaradei to become egyptian pm,an open switch means the circuit is not a closed path .,0.20999676
"childcare ' costing £ 15,000 a year'",A sea turtle is hunting for food,0.21007314
