sentence1,sentence2,similarity
There is no monkey teasing a dog at the zoo,subjective dvorak intensity estimates from tafb and sab increased to kt .,0.3724416
There is no monkey teasing a dog at the zoo,obama and romney focus on swing-states,0.3752541
There is no monkey teasing a dog at the zoo,the new classes are called derived classes and they inherit the behaviours and attributes of the base classes .,0.37605253
Nobody in snowsuits is lying in the snow and making snow angels,the answer lies in the support that the indonesian democrats will generate activists domestically and internationally .,0.3823821
There is no monkey teasing a dog at the zoo,there are two main approaches for dynamic programming .,0.3846575
There is no monkey teasing a dog at the zoo,"but when the temperature moves up to the 3c level , expected in the early part of the second half of the century , these effects will become critical .",0.38994455
Nobody in snowsuits is lying in the snow and making snow angels,there are two main approaches for dynamic programming .,0.39391527
There is no monkey teasing a dog at the zoo,the answer lies in the support that the indonesian democrats will generate activists domestically and internationally .,0.3941837
There is no monkey teasing a dog at the zoo,but u.s. troops will not shrink from mounting raids and attacking their foes when their locations can be pinpointed .,0.39512944
There is no monkey teasing a dog at the zoo,"as i have already explained in second reading , a crisis is at the basis of this modification of directive .",0.3968141
"OCT4, a transcript of POU5F1, plays a role in maintaining stem cell pluripotency, self-renewal and chromatin structure in stem cells, and promotes tumor growth in a dose-dependent manner.",There is no monkey teasing a dog at the zoo,0.39742446
president obama would continue that trend .,There is no monkey teasing a dog at the zoo,0.39819416
There is no monkey teasing a dog at the zoo,the answer is in the support that the democratic activists indonésiens will be able to generate nationally and internationally .,0.398357
There is no monkey teasing a dog at the zoo,gruesome toll of cluster bombs,0.3995409
There is no monkey teasing a dog at the zoo,each dimensions corresponds to a separate terms .,0.40210706
There is no monkey teasing a dog at the zoo,he was joined by chief justice william h. rehnquist and justices sandra day o 'connor and antonin scalia .,0.40219593
There is no monkey teasing a dog at the zoo,every leader had theories and markedly different explanations regarding the situation .,0.40258777
Nobody in snowsuits is lying in the snow and making snow angels,the answer is in the support that the democratic activists indonésiens will be able to generate nationally and internationally .,0.4043576
There is no monkey teasing a dog at the zoo,all of these effects are related to the 11 year solar cycle .,0.40510494
A woman is slicing a big pepper,There is no monkey teasing a dog at the zoo,0.40514845
There is no brown dog jumping in the air,subjective dvorak intensity estimates from tafb and sab increased to kt .,0.40577993
There is no monkey teasing a dog at the zoo,the international atomic energy association stated that jordan has agreed to the additional measures .,0.40670228
There is no monkey teasing a dog at the zoo,"idec shareholders would own 50.5 percent of the stock of the combined company , and biogen shareholders the remaining 49.5 percent .",0.4067596
russia already participates in the european space agency 's,There is no monkey teasing a dog at the zoo,0.40740198
There is no monkey teasing a dog at the zoo,become broader or wider or more extensive .,0.40914884
There is no monkey teasing a dog at the zoo,"a chinese influential businessman who share his time between hong kong and london , was even more precise .",0.40986627
There is no monkey teasing a dog at the zoo,"the important thing is that when interest rates amount , the values of the active fall .",0.40996143
There is no monkey teasing a dog at the zoo,many people run in a race on a street .,0.41024888
There is no monkey teasing a dog at the zoo,"beyond the geographical division , the divisions recur at local level .",0.41080147
There is no monkey teasing a dog at the zoo,people ride and paddle a raft .,0.41147864
There is no monkey teasing a dog at the zoo,"Importantly, the role of ERK phosphorylation in Kras-driven NSCLCs has been recently highlighted by the demonstration that ERK activity is essential for Kras-driven lung tumorigenesis.",0.4122328
prosecutors maintained that durst murdered black to try to assume black 's identity .,There is no monkey teasing a dog at the zoo,0.41230422
There is no monkey teasing a dog at the zoo,to grow rapidly,0.4124685
There is no monkey teasing a dog at the zoo,what is the best way to apply shellac-based primer ?,0.4126202
There is no monkey teasing a dog at the zoo,"burst open with a sharp , explosive sound .",0.41388047
There is no monkey teasing a dog at the zoo,it is appropriate that the european union is and what it implies does it quickly .,0.41433188
Nobody in snowsuits is lying in the snow and making snow angels,subjective dvorak intensity estimates from tafb and sab increased to kt .,0.41435933
There is no monkey teasing a dog at the zoo,"this has said there are three years in the elections of the bundestag of 2005 , i.e. at the time of the much-discussed stoiber .",0.41445947
Two men are practicing football.,all of these effects are related to the 11 year solar cycle .,0.4146241
kl shares higher at mid-afternoon,There is no monkey teasing a dog at the zoo,0.41504928
Nobody in snowsuits is lying in the snow and making snow angels,the new classes are called derived classes and they inherit the behaviours and attributes of the base classes .,0.41508612
There is no brown dog jumping in the air,the answer lies in the support that the indonesian democrats will generate activists domestically and internationally .,0.4154122
russia already participates in the european space agency 's,A girl dancing on a sandy beach.,0.4154645
There is no monkey teasing a dog at the zoo,"capture , ensnare , discover in the act",0.41587436
subjective dvorak intensity estimates from tafb and sab increased to kt .,There is no small dog chasing a large brown cow,0.4160296
there are two main approaches for dynamic programming .,"There is no man wearing a shirt dyed black, sitting at the table and laughing",0.41621614
There is no monkey teasing a dog at the zoo,facebook earnings jump 63 % as mobile ads accelerate,0.41630155
There is no monkey teasing a dog at the zoo,be or play a part of or in .,0.41631597
There is no monkey teasing a dog at the zoo,the correct answer can be computed using bayes ' theorem .,0.4172435
There is no monkey teasing a dog at the zoo,it then named an work group charged to formulate the changes necessary to bring to the policies public expenditure and to the fiscal policies .,0.41772234
There is no monkey teasing a dog at the zoo,how can i remove a stuck screw that will still turn ?,0.41808885
There is no monkey teasing a dog at the zoo,"a phenomenon is portrayed with respect to the degree of likelihood that it will be perceived and known , given the ( usually implicit ) evidence , perceiver , and the circumstances in which it is considered. for several of the lus , such as visible , audible , etc . , the type of the evidence is fixed by the targets themselves being a perceptual experience .",0.41839287
There is no monkey teasing a dog at the zoo,"make ( a solid substance ) liquid , as by heating .",0.4184981
There is no monkey teasing a dog at the zoo,on hillary clinton 's fp approach,0.4188025
"a wet , blond dog carries a stick on the shore .",A young couple is sleeping in bed,0.41908598
There is no monkey teasing a dog at the zoo,"shine intensely , as if with heat .",0.4193778
There is no monkey teasing a dog at the zoo,this is particularly true in the poorest countries .,0.41952887
There is no monkey teasing a dog at the zoo,"isaac drenches haiti , heads toward cuba , florida",0.41977137
A colored toy is being carried by a brown dog in the grass,A young couple is sleeping in bed,0.42034048
There is no monkey teasing a dog at the zoo,the act of flipping a coin .,0.4203483
There is no monkey teasing a dog at the zoo,some women also express concern about a society in which more people than ever are turning to cosmetic surgery in a quest for bodily perfection .,0.42046648
A black and white dog with a large branch is standing in the field,A young couple is sleeping in bed,0.4205684
There is no monkey teasing a dog at the zoo,a woman with a surprised look on her face is holding a smiling woman from behind .,0.42059034
Nobody in snowsuits is lying in the snow and making snow angels,"a chinese influential businessman who share his time between hong kong and london , was even more precise .",0.42068392
There is no monkey teasing a dog at the zoo,this tendency goes well beyond simple .,0.42077124
There is no group of people dancing,"a chinese influential businessman who share his time between hong kong and london , was even more precise .",0.4208048
There is no monkey teasing a dog at the zoo,the psychology of one-upmanship : why are we spending more money ?,0.4211328
There is no monkey teasing a dog at the zoo,the act of exploding or bursting .,0.42113546
There is no monkey teasing a dog at the zoo,"glover said the killer used a ``peculiar slipknot , ' ' including a coaxial cable and an extension cord , to strangle some of the victims .",0.42134622
three children are playing soccer in the sand .,today 's great pax europa and today 's pan-european prosperity depend on this .,0.42163503
a woman relaxes in an inner tube .,The man is using a camera to hammer a nail.,0.42164344
There is no monkey teasing a dog at the zoo,"big pax europe of today , like current prosperity pan-european , depends on it .",0.4216968
40 inmates are serving sentences for murder .,The boy is speedily riding a tricycle,0.42188781
zahedan is the capital of sistan-baluchestan province .,A man is slowly trekking in the woods,0.42205524
There is no monkey teasing a dog at the zoo,"the act of choosing , picking one among many",0.4220972
A girl dancing on a sandy beach.,madoff 's brother to plead guilty to fraud,0.42230514
A girl dancing on a sandy beach.,A young couple is sleeping in bed,0.42234346
the new classes are called derived classes and they inherit the behaviours and attributes of the base classes .,There is no brown dog jumping in the air,0.4226122
"thus , ultimate sovereignty .",Two men are practicing football.,0.42265236
There is no monkey teasing a dog at the zoo,decorate ( manuscripts ) with letters painted red .,0.4227379
There is no monkey teasing a dog at the zoo,"employ or utilize , put into service",0.4229668
