,Rank (Borda),Model,Zero-shot,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Classification,Clustering,Pair Classification,Reranking,Retrieval,STS,Summarization
0,1,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),95%,13563,7B,4096,32768,69.8,65.29,83,54.07,88.44,49.44,60.14,84.69,37.26
1,2,[jasper_en_vision_language_v1](https://huggingface.co/NovaSearch/jasper_en_vision_language_v1),56%,3802,1B,8960,131072,71.41,66.65,90.27,60.52,88.14,50,56.05,84.37,37.19
2,3,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),85%,13563,7B,4096,32768,69.31,64.94,80.47,54.93,88.59,50.15,59.33,84.77,36.32
3,4,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),56%,14975,7B,4096,32768,69.81,65,87.19,47.66,88.69,49.61,62.84,83.82,35.21
4,5,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,29040,7B,3584,32768,70.72,65.77,88.52,58.97,85.9,50.47,58.09,82.69,35.74
5,6,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),95%,13563,7B,4096,32768,67.97,64,79.85,51.44,88.42,49.78,57.62,84.32,36.57
6,7,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),56%,1660,435M,4096,8192,69.39,64.84,88.25,57.65,87.17,49.6,52.73,83.93,34.53
7,8,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),56%,5887,1B,8960,131072,69.43,65.32,89.38,57.06,88.02,50.19,52.42,83.27,36.91
8,9,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,6776,1B,8960,32768,67.2,63.26,85.84,53.54,87.52,49.25,50.25,82.51,33.94
9,10,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),85%,13563,7B,4096,32768,69.82,65.31,90.54,59.39,88.09,48.99,53.75,80.86,35.54
10,11,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),95%,13813,7B,4096,4096,67.07,63.22,81.25,50.82,87.29,49.59,54.95,83.03,35.65
11,12,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),80%,1278,335M,1024,512,66.25,61.96,78.91,48.84,86.7,48.76,54.52,84.44,31.52
12,13,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,639,335M,1024,512,66.26,62.04,79.1,47.48,87.2,48.05,55.4,84.42,32.63
13,14,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,1278,335M,1024,512,66.4,61.85,79.08,47.86,87.25,48.35,55.91,84.37,30.13
14,15,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),95%,89079,57B,4096,4096,66.16,62.42,79.98,51.48,85.23,49.22,52.46,82.93,35.65
