sentence1,sentence2,similarity
"Something went wrong, please try again later.

Sign up for free to get the latest North East news and updates delivered straight to your inbox

BBC has axed The Greatest Dancer after just two series, with falling viewing figures being blamed for its demise.

The show made its debut at the start of last year, with Cheryl, Strictly star Oti Mabuse and Glee actor Matthew Morrison as its dance captains.

The Greatest Dancer returned to screens in January, with new recruit Todrick Hall joining the panel, but why it still had a loyal following, it failed to set Saturday night prime time ratings alight.

The second series, which ended in March, attracted around 3.2 million viewers week on week, significantly lower than ITV rival The Masked Singer, which has been confirmed for a second run.

A TV source told The Sun:: “The writing was on the wall a while back.

“Now the BBC and everyone involved has decided enough is enough and they’ve binned it.

“Critics liked it and it pulled in a younger audience. But the cost of the big production for the ratings the show delivered was too much.”

A BBC spokesperson confirmed The Greatest Dancer wouldn't be renewed, saying: ""Whilst there are no plans for a further series of The Greatest Dancer, we are proud of the show,

""We would like to thank everyone involved in bringing so many memorable moments to BBC One"".",assad says syria will comply with un arms resolution,0.6443213
"The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.","COLUMBUS — Ohio Attorney General Dave Yost and charity regulators from 21 other states and the District of Columbia have reached an agreement with PayPal Charitable Giving Fund (PPGF), requiring the organization to boost transparency for donors on its online fundraising platform.

“Mixing secrecy with charity hardens the hearts of would-be donors,” Yost said. “This promise of transparency means donors will now have the information they need to guide their giving.”

Users of the platform pay money electronically to PPGF, which aggregates the donations and distributes them to charities selected by each donor. But in some cases, PPGF redirected contributions from selected charities to other organizations with similar purposes without telling donors. PPGF also failed to adequately disclose that charities that have PayPal accounts can receive donations faster than those that do not.

Charity regulators nationwide joined the effort to investigate PPGF’s fundraising activities, including its disclosures, vetting practices and treatment of charitable contributions. To address the states’ concerns, PPGF agreed to reform its disclosures to ensure that donors know:

That they are contributing to PPGF

The timeframe in which a selected charity can receive funds from PPGF

The implication of being an enrolled charity rather than an unenrolled charity on the PPGF platform

PPGF also agreed to notify donors when it redirects charitable contributions to organizations other than those they selected. PPGF will provide regulators with future campaign data to ensure the organization is complying with its obligations under the agreement.

Additionally, PPGF agreed to pay $200,000 to the National Association of Attorneys General for deposit into the NAAG Charities Enforcement and Training Fund. This fund was established to defray costs associated with the investigation and litigation of cases brought by state charities regulators, and to provide training and education to those regulators.

States and territories participating in the settlement include Arkansas, Colorado, Connecticut, District of Columbia, Idaho, Illinois, Iowa, Kansas, Kentucky, Louisiana, Minnesota, Mississippi, Nebraska, Nevada, New Hampshire, New York, North Carolina Secretary of State, Ohio, Oklahoma, Oregon, Pennsylvania, Texas and Wisconsin.

Submitted by the office of Attorney General Dave Yost.",0.6503093
"The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.",assad says syria will comply with un arms resolution,0.65246665
US authorities charge man in ricin probe,"The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.",0.653908
"botany -- the usually underground organ of a plant that lacks buds or leaves or nodes , which absorbs water and mineral salts ; usually it anchors the plant to the ground .","The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.",0.6565844
"by the time that qin had totally collapsed , xiang yu was china 's hegemon .","The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.",0.65859604
boston bomb suspect charged ; religious motive seen,"The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.",0.6600139
"The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.","the international atomic energy agency has no access to people , documents , sites .",0.66097915
he proposed a system under which it would take fewer and fewer votes to overcome a filibuster .,"The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.",0.66347384
"The video will auto-play soon 8 Cancel

We have more newsletters

Thank you for subscribing!

Something went wrong, please try again later.

Sign up for the Daily Star TV newsletter for the biggest TV news

Lorraine viewers couldn't believe who they were seeing on their screens today as pop beauty Louise Redknapp came on the show to discuss her new UK tour.

Louise, 45, sent viewers wild as she donned a plunging denim shirt and matching jeans, as they couldn't believe her ageless beauty.

As Louise talked about splitting from ex Jamie Redknapp back in 2017, they rushed to social media to talk about how different she looked.

One fan posted: ""There's a very different looking Louise...wish her all the best for the album.""

Another added: ""Louise looks so different now!""

(Image: ITV)

A third chipped in: ""Wow, barely recognised Louise on Lorraine.""

A fourth wrote: ""Louise is looking more and more like Carol Vorderman everyday.""

Louise confessed that splitting Jamie was the hardest thing she had ever done, as she told Lorraine: ""It is the toughest thing anyone will go through, it really was for me.

""Everyday is a new challenge, it was really hard.

(Image: ITV)

""The boys are our priority and we are working together to put them first.""

She also spoke about her former Strictly Come Dancing partner Kevin Clifton announcing he had left the show, sharing her shock with Lorraine.

Discussing her time on the show, Louise admitted: ""It made me fall back in love again with dancing.

""That was when I thought there is a bit of life left in me.""

(Image: Getty Images Europe)

Louise and Kevin starred in the 2016 series of the show, narrowly missing out on the Glitterball to presenter Ore Oduba.

She announced her split from Jamie, who she married in 1998, as she announced the end of their 19 year marriage.

Lorraine continues tomorrow at 9am on ITV.",us bans carry-on liquids on direct flights to russia,0.663573
