sentence1,sentence2,similarity
"in new york , vivendi shares were 1.4 percent down at $ 18.29 .",grant relief or an exemption from a rule or requirement to .,0.20546448
"if you have used the va loan , and then refinanced using the streamline program , i 'd be thrilled to hear about it !",02 : 41 156 killed in china earthquake,0.20789424
you don 't need any visa .,cars racing on a dirt track,0.20899692
"in addition to these three , roosevelt appointed 19 judges to the united states courts of appeals , and 53 judges to the united states district courts .",the future of iraq is linked to the oil production .,0.21157387
i am too a hobby swimmer but as part of my triathlon training .,macau gambling revenue hits record $ 38 bn in 2012,0.21867533
"in new york , vivendi shares were 1.4 percent down at $ 18.29 .","the act of governing , administrating",0.21966636
02 : 41 156 killed in china earthquake,A lemur is licking a person's finger,0.22510806
what does this tablature notation mean ?,"in new york , vivendi shares were 1.4 percent down at $ 18.29 .",0.22642237
make out of components ( often in an improvising manner ) .,02 : 41 156 killed in china earthquake,0.2274917
virtual attributes and methods can be shadowed / overridden .,at least 12 killed in nigeria church bombing,0.2278797
what does this tablature notation mean ?,02 : 41 156 killed in china earthquake,0.22815853
what does this tablature notation mean ?,"my experience with danios has that they always have been "" bossy "" fish .",0.22868064
you don 't need any visa .,"a decorative container , often for holding flowers",0.22966588
virtual attributes and methods can be shadowed / overridden .,02 : 41 156 killed in china earthquake,0.22975904
"to train yourself to use keyboard shortcuts , unplug your mouse for a few days .","the fourth largest world aircraft manufacturer , embraer , maintains its forecast for 2008 with 215 aircraft deliveries , re-affirmed fredrico fleury curado , its chairman .",0.230322
"the process of cultivating the land , possibly as a way of life .","in new york , vivendi shares were 1.4 percent down at $ 18.29 .",0.23057698
to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,"some 14,000 customers were without power in the area , oklahoma gas and electric said .",0.23106831
Storm buries Northeast; 16 inches of snow in NJ,you don 't need any visa .,0.23156425
asian markets mixed on china trade data,"the act of governing , administrating",0.23179686
grant relief or an exemption from a rule or requirement to .,02 : 41 156 killed in china earthquake,0.23296991
to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.,0.23383532
explosion hits pipeline as assad attacks cities,wrap well in plastic ( individually ) and then put in a freezer bag .,0.23421845
The Texas congressional delegation now is 17-15 Democratic.,you don 't need any visa .,0.23443636
02 : 41 156 killed in china earthquake,the act of hiring something or someone .,0.23465052
"the temperature in a certain environment , determined by time and place , is specified .",you don 't need any visa .,0.23517591
02 : 41 156 killed in china earthquake,the act of concealing the identity of something by modifying its appearance .,0.23522265
"the temperature in a certain environment , determined by time and place , is specified .",macau gambling revenue hits record $ 38 bn in 2012,0.23597023
"the process of cultivating the land , possibly as a way of life .","spring 1959 graduates from sterling high school in greenville , south carolina .",0.2363406
"cc "" : at least 90 killed in brazil nightclub fire """,the shape of a wave illustrated graphically by plotting the values of the period quantity against time .,0.23638637
"in new york , vivendi shares were 1.4 percent down at $ 18.29 .","to train yourself to use keyboard shortcuts , unplug your mouse for a few days .",0.23699856
i am too a hobby swimmer but as part of my triathlon training .,02 : 41 156 killed in china earthquake,0.23714232
"the temperature in a certain environment , determined by time and place , is specified .",japan airlines orders 31 airbus a350s valued at $ 9.5 bn,0.2378303
02 : 41 156 killed in china earthquake,this varies by institution .,0.23864964
facebook boosts size of ipo by 25pc to raise $ 15bn,the switch and the bulb are contained in the same path,0.23886922
a tan puppy being petted .,wrap well in plastic ( individually ) and then put in a freezer bag .,0.23896047
"in new york , vivendi shares were 1.4 percent down at $ 18.29 .",The girl is using an eye pencil on her eyelid,0.23915702
"in new york , vivendi shares were 1.4 percent down at $ 18.29 .",what is the difference between a mode and a scale ?,0.23923254
virtual attributes and methods can be shadowed / overridden .,nigeria church blast kills at least 12,0.23947269
"in new york , vivendi shares were 1.4 percent down at $ 18.29 .",how to bake a chicken ?,0.23951405
facebook boosts size of ipo by 25pc to raise $ 15bn,a person who conveys ( carries or transmits ) .,0.24002206
Someone is banging a camera lens against a nail,"in addition to these three , roosevelt appointed 19 judges to the united states courts of appeals , and 53 judges to the united states district courts .",0.24018008
bulbs will be affected by switches that are in the path,macau gambling revenue hits record $ 38 bn in 2012,0.24084717
"the fourth largest world aircraft manufacturer , embraer , maintains its forecast for 2008 with 215 aircraft deliveries , re-affirmed fredrico fleury curado , its chairman .",police fire tear gas to disperse protesters in tunis,0.24174684
macau gambling revenue hits record $ 38 bn in 2012,"these words refer to parts merging to form a whole . ( the parts may also be encoded as part _ 1 and part _ 2 . ) there is a symmetrical relationship between the components that undergo the process , and afterwards the parts are consumed and are no longer distinct entities that are easily discernable or separable in the whole .",0.2419323
Someone is banging a camera lens against a nail,my son didn 't become potty trained until about his 4th birthday .,0.24207467
macau gambling revenue hits record $ 38 bn in 2012,the battery is contained in a path in which there is no bulb,0.24254486
engrave or cut by chipping away at a surface .,tokyo wins race to host 2020 olympic games,0.24275331
islamic state posts second propaganda video of uk hostage,"in addition to these three , roosevelt appointed 19 judges to the united states courts of appeals , and 53 judges to the united states district courts .",0.24300358
"in quebec , a winter celebration on skis","The 30-year bond US30YT=RR grew 1-3/32 for a yield of 4.30 percent, down from 4.35 percent late Wednesday.",0.24325275
world 's oldest person dies in japan at 116,engrave or cut by chipping away at a surface .,0.24344048
"in new york , vivendi shares were 1.4 percent down at $ 18.29 .",engrave or cut by chipping away at a surface .,0.24364167
the price at which buyers and sellers trade the item in an open marketplace .,"to train yourself to use keyboard shortcuts , unplug your mouse for a few days .",0.24483973
virtual attributes and methods can be shadowed / overridden .,forex & amp ; gold 6 march 2013,0.24550767
"some 14,000 customers were without power in the area , oklahoma gas and electric said .",the act of hiring something or someone .,0.24615988
"to train yourself to use keyboard shortcuts , unplug your mouse for a few days .",japan airlines orders 31 airbus a350s valued at $ 9.5 bn,0.24691714
nigeria church blast kills at least 12,the shape of a wave illustrated graphically by plotting the values of the period quantity against time .,0.2478198
uhhhh 10 reasons we can 't get enough gosling yummie,hurricane sandy reaches jamaica,0.24865678
02 : 41 156 killed in china earthquake,is it possible to write a song without a key ?,0.24951518
a lid or top of a container,deadly blast rocks coal mine in east ukraine,0.24992022
syria launches deadly airstrikes in damascus suburbs,wrap well in plastic ( individually ) and then put in a freezer bag .,0.250781
to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,Canadian government approves controversial oil pipeline to Pacific,0.25152704
02 : 41 156 killed in china earthquake,"no , none of those factors account for the recent warming .",0.25226936
"to train yourself to use keyboard shortcuts , unplug your mouse for a few days .",the shape of a wave illustrated graphically by plotting the values of the period quantity against time .,0.25306696
explosion hits pipeline as assad attacks cities,to reduce the amount of fur a cat malts over your furniture and clothes you could try a deshedder brush .,0.25353613
grant relief or an exemption from a rule or requirement to .,"my experience with danios has that they always have been "" bossy "" fish .",0.25465927
intrinsic reward is the emotional pay-off that you get by completing an activity .,02 : 41 156 killed in china earthquake,0.25538132
wrap well in plastic ( individually ) and then put in a freezer bag .,brown horse standing in middle of grassy field .,0.25620985
you don 't need any visa .,The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.,0.25692624
nigeria church blast kills at least 12,my son didn 't become potty trained until about his 4th birthday .,0.2575734
virtual attributes and methods can be shadowed / overridden .,"london 2012 olympics : opening ceremony to be a ' green and pleasant land ' , says danny boyle",0.25845626
view of a living room with a dining room in the background .,wrap well in plastic ( individually ) and then put in a freezer bag .,0.259175
