sentence1,sentence2,similarity
Low expectations for Iran nuclear talks,A dog in a colored coat is running across the yard,0.14903623
terminal 1 and terminal 2 possess no difference,this sound like a very bad idea .,0.171202
Ten people riding ATVs.,how do i maintain a good relationship with my old boss after being promoted ?,0.18015052
ubs settles us mortgage lawsuit,if the bulb is contained in a closed path with a switch,0.18399528
last year he was wanted for murder .,terminal 1 and terminal 2 possess no difference,0.18659234
russia ratified the amended version of the treaty .,this sound like a very bad idea .,0.18844366
terminal 1 and terminal 2 possess no difference,A little boy is watching a family that is hitting a baseball,0.18863298
Low expectations for Iran nuclear talks,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",0.18894207
myanmar was formerly called burma .,a woman is peeling an orange .,0.1891525
three dogs swim in the water .,how do i maintain a good relationship with my old boss after being promoted ?,0.1911619
A man is removing vegetables from a pot,"yes , i can tell you from personal experience that they certainly did whistle .",0.19269785
the girl wearing a blue shirt is running through a science center .,how do i maintain a good relationship with my old boss after being promoted ?,0.19320482
Low expectations for Iran nuclear talks,red double decker bus driving through the streets .,0.19497542
Five people are standing in the grass with no dogs,how do i maintain a good relationship with my old boss after being promoted ?,0.19735977
faa continues ban on us flights to tel aviv,man with pink shirt sleeping on chair with infant .,0.19806163
A man sitting in a back yard playing the guitar.,"the russia of putin has already lost 12 prominent journalists , murdered during the last six years .",0.19810542
terminal 1 and terminal 2 possess no difference,Someone is falling off the horse,0.19926333
the commerce commission would have been a significant hurdle for such a deal .,A man is slicing tomatoes,0.19960171
algeria hostage death toll rises,if the bulb is contained in a closed path with a switch,0.1996154
You are making this too complicated.,aid workers freed in afghanistan raid,0.20098147
An old man is talking to a leaf,us state department faulted over benghazi,0.20174241
terminal 1 and terminal 2 possess no difference,"the russia of putin has already lost 12 prominent journalists , murdered during the last six years .",0.20224291
how do i maintain a good relationship with my old boss after being promoted ?,four kids holding hands jump into a swimming pool .,0.2024529
algeria mulls international force for hostages,A man sitting in a back yard playing the guitar.,0.20258325
this sound like a very bad idea .,"and what do you know , receipts stayed about the same .",0.20282935
two brown horses standing in grassy field .,bomb attacks kill 20 in baghdad 's christian areas,0.20308803
Someone is falling off the horse,"currently i 've got a fairly close to purely digital gtd setup , although this could do with some refinements and tweaks .",0.20350368
A man sitting in a back yard playing the guitar.,iran steps up sensitive nuclear work - iaea,0.20394547
three dogs swim in the water .,"i don 't know if i should say this , but if your job is making you anxious .",0.20404422
Low expectations for Iran nuclear talks,A brown and white dog is running across a brown field.,0.20423809
A woman is cleaning a shrimp,obama urges no new sanctions on iran,0.20511603
a man with a bicycle at a coffee house .,"us , nato raise doubts russia pulled back from ukraine border",0.20542943
A dog in a colored coat is running across the yard,obama urges no new sanctions on iran,0.20583552
"the value will total about $ 124 million , including convertible securities , according to corel .",There is no woman cutting an onion,0.20636302
three dogs swim in the water .,how can i build a wall mounted adjustable height desk ?,0.20650296
a man with a bicycle at a coffee house .,"as a result , murphy sought to substitute strier 's sister , ethel celnik , as the trustee .",0.20737284
a dog laying in a pet jacket .,how do i maintain a good relationship with my old boss after being promoted ?,0.20743479
AbbVie Sours on $55B Shire Deal After Tax Changes,a man is playing a keyboard piano .,0.20752393
Low expectations for Iran nuclear talks,how can i repair a towel bar with one end ripped out of the wall ?,0.20770858
so what does this have to do with newt ?,bomb blast kills 10 in southwest pakistan,0.20837176
terminal 1 and terminal 2 possess no difference,several people are sitting around a fire at night .,0.20954672
two brown horses standing in grassy field .,ubs settles us mortgage lawsuit,0.20972261
bomb blast kills 10 in southwest pakistan,a bald man with a beard pets the nose of a black and white horse at the fence .,0.2099568
aid workers freed in afghanistan raid,how can i build a wall mounted adjustable height desk ?,0.21005437
holder filed a three-page letter .,i like watching kids play .,0.21008973
two brown horses standing in grassy field .,obama urges no new sanctions on iran,0.21011227
the brown dog is laying down on a blue sheet .,how do i maintain a good relationship with my old boss after being promoted ?,0.21024743
algeria hostage death toll rises,A man sitting in a back yard playing the guitar.,0.2105319
terminal 1 and terminal 2 possess no difference,ubs settles us mortgage lawsuit,0.21058851
how do i maintain a good relationship with my old boss after being promoted ?,no missile evidence .,0.21081224
No people is sitting around a fire at night,how do i maintain a good relationship with my old boss after being promoted ?,0.21106379
queen visits london soldier attack scene,terminal 1 and terminal 2 possess no difference,0.21183154
"the russia of putin has already lost 12 prominent journalists , murdered during the last six years .",the boy is riding a tricycle .,0.2120368
two kids splashing in the water .,how can i build a wall mounted adjustable height desk ?,0.21204653
Low expectations for Iran nuclear talks,A man is watering a tree,0.21215302
"currently i 've got a fairly close to purely digital gtd setup , although this could do with some refinements and tweaks .",four kids holding hands jump into a swimming pool .,0.21228161
There is no woman cutting an onion,ubs settles us mortgage lawsuit,0.21229082
6 killed in u.s. drone strike in nw pakistan,how do i maintain a good relationship with my old boss after being promoted ?,0.21233137
the commerce commission would have been a significant hurdle for such a deal .,A woman is slicing some tomatoes.,0.21245581
two dogs are wrestling on the ground in the snow .,manning sentenced to 35 years for leaking government secrets,0.21266834
second teenager charged with murder,"the users will be the losers , with the employees , and the competitiveness and the european growths will decline .",0.2127927
A man sitting in a back yard playing the guitar.,that darn liberal media never goes after liberals ! ! !,0.2128646
a boy is grinding a skateboard down a concrete wall .,"i 'm no herpetologist , but in my experience , snakes are in the "" you don 't bug me , i won 't bug you "" category .",0.21289238
ukraine signs drilling deal with shell for shale gas,An elderly man is sitting on a bench,0.2129074
a man is slicing a tomato .,the commerce commission would have been a significant hurdle for such a deal .,0.21348944
man with pink shirt sleeping on chair with infant .,iran steps up sensitive nuclear work - iaea,0.21365441
obama urges no new sanctions on iran,if the bulb is contained in a closed path with a switch,0.2136676
two brown horses standing in grassy field .,"man , 19 , quizzed over teen murder",0.2137155
The cat is hungrily drinking milk,"currently i 've got a fairly close to purely digital gtd setup , although this could do with some refinements and tweaks .",0.21377811
why would the addition of more of jesus words be left out of the canon ?,Two people are driving a jeep and a lady is sitting on the top of it,0.21387175
