sentence1,sentence2,similarity
birth control linked with higher glaucoma risk,There is no man eating a pizza,0.09030727
the women are singing and dancing .,"we have seen his face on vinaigrette pots , sauces , biscuits and other foods , which tasted rather awful , albeit a joke at the outset .",0.10860716
man held after teen shot in belfast,the women are singing and dancing .,0.110828474
definitely plan a month ahead - it 's totally ok for your plans to change - just amend them as they do .,There is no man eating a pizza,0.11193077
birth control linked with higher glaucoma risk,The man is chopping the trunk of a tree with an axe,0.11672432
obama voices willingness to talk with gop on budget,five men jump into a swimming pool .,0.118258506
obama voices willingness to talk with gop on budget,There is no woman preparing an egg in a skillet,0.11859813
The women are dancing outside,"we have seen his face on vinaigrette pots , sauces , biscuits and other foods , which tasted rather awful , albeit a joke at the outset .",0.11903711
obama voices willingness to talk with gop on budget,The women are dancing outside,0.120081946
The women are dancing outside,"don 't know why i can 't stop reading about him - a data crusader , a defendant and now , a cause",0.12052715
obama voices willingness to talk with gop on budget,A woman is water skiing.,0.12216611
obama voices willingness to talk with gop on budget,There is no man slicing a tomato,0.12287417
a woman sits alone against a brick wall,you guys are making this all waaaaay too complicated .,0.123304084
a girl is putting on eye makeup .,will it give us the right to divorce the husbands who abandon us ?,0.12506616
birth control linked with higher glaucoma risk,There is no man slicing a tomato,0.12585369
obama voices willingness to talk with gop on budget,There is no woman riding a water scooter,0.12716895
Myanmar announces release of prisoners,have you tried asking ?,0.1282658
birth control linked with higher glaucoma risk,There is no man slicing an onion,0.12871964
The women are dancing outside,obama backs philippines over south china sea,0.13044347
A woman is braiding her hair.,"we have seen his face on vinaigrette pots , sauces , biscuits and other foods , which tasted rather awful , albeit a joke at the outset .",0.1305715
a black dog swimming through a river .,will it give us the right to divorce the husbands who abandon us ?,0.13165416
birth control linked with higher glaucoma risk,the little boy is singing and playing the guitar .,0.13177675
a woman sits alone against a brick wall,putin claims victory in russia 's presidential election,0.13225977
The women are dancing outside,"daniels said he doesn 't know what bush will have to say about him at tonight 's $ 2,000-per-person presidential fund-raiser .",0.13233925
A man is performing stunts on a green bicycle,others separate unfortunately because of an accumulated resentment .,0.13363501
obama voices willingness to talk with gop on budget,There is no man putting some cheese on a pizza,0.13420573
obama voices willingness to talk with gop on budget,some men are playing soccer .,0.13426651
A woman is sitting in an office.,eu declares hezbollah 's military wing terror group,0.13440791
