sentence1,sentence2,similarity
A man is playing guitar.,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.2380846
The man is playing a piano,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.2401721
The man is intensely playing the guitar,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.24560161
""" we condemn the governing council headed by the united states , "" sadr said in a fiery sermon at koufa mosque near najaf .",A dog is having fun with a toy,0.24580604
A dog is having fun with a toy,"the president began his speech by acknowledging the terrorist attacks in saudi arabia that killed at least 29 people , including seven americans .",0.2458998
A man is playing guitar.,The transaction will grant Handspring stockholders 0.09 of a share of Palm--and no shares of PalmSource--for each share of Handspring common stock.,0.24855463
"the civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000 .",A dog is having fun with a toy,0.24861105
A man is playing a musical keyboard.,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.24966797
A man is playing guitar.,end of the american revolution,0.25014818
A dog is having fun with a toy,"sean harrigan , president of the california public employees ' retirement system , also suggested paring the nyse 's 27-member board and allotting more seats to investors outside the securities industry .",0.25144762
"they would retain all of their chinese , korean and other possessions and we would return their home island captures .",A man is playing a musical keyboard.,0.2526028
A man spins on a surf board.,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.25316194
A woman is playing the flute.,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.2534575
The boy isn't playing the piano happily,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.25346136
"the civilian unemployment rate improved marginally last month -- slipping to 6.1 percent -- even as companies slashed payrolls by 93,000 .",A dog is running after a ball in the grass,0.25352073
A man is playing guitar.,"they would retain all of their chinese , korean and other possessions and we would return their home island captures .",0.25365815
"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",One man is passionately playing the guitar,0.2545599
Two young girls are sitting on the ground,"noah wyle , who has played dr. john carter since the series launched in 1994 , has inked a one-year extension to his deal with producer warner bros. tv .",0.25547722
A dog is having fun with a toy,"Saudi Arabia will enforce a round-the-clock nationwide curfew during the five-day Eid al-Fitr holiday later this month to fight the coronavirus, the interior ministry said Tuesday, as infections spike.

The kingdom, which has reported the highest number of virus cases in the Gulf region, is scrambling to limit the spread of the deadly disease.

A full lockdown will be reimposed around the country from May 23-27, the ministry said in a statement released by the official Saudi Press Agency. The period coincides with the Muslim festival that marks the end of the holy fasting month of Ramadan.

Most parts of the kingdom were put under full lockdown following the outbreak, but last month the government relaxed the curfew between the hours of 9am and 5pm.

Malls and retailers have been allowed to reopen, except in major hotspots including the holy city of Mecca -- where confirmed cases have soared, despite a stringent lockdown.

The health ministry said Tuesday the number of COVID-19 deaths had risen to 264 and confirmed infections to 42,925, while 15,257 people have recovered.

In March, Saudi Arabia suspended the year-round ""umrah"" pilgrimage over fears of the disease spreading in Islam's holiest cities.

Authorities are yet to announce whether they will proceed with this year's hajj -- scheduled for late July -- but they have urged Muslims to temporarily defer preparations for the annual pilgrimage.

Last year, some 2.5 million faithful travelled to Saudi Arabia from across the world to participate in the hajj, which Muslims are obliged to perform at least once during their lifetime.

The Arab world's biggest economy has also closed cinemas and restaurants and halted flights as it attempts to contain the virus.

King Salman has warned of a ""more difficult"" fight ahead against COVID-19, as the kingdom faces the double blow of virus-led shutdowns and crashing oil prices.",0.25553593
The man is playing a piano,british-based glaxosmithkline plc said earlier this year it would cut off supplies to canadian drugstores that ship to the united states .,0.25571474
A guitar is being played by a kid,"the agency will "" consider as timely any tax returns or payments due "" aug. 15 if they are submitted by aug. 22 .",0.2563161
