sentence1,sentence2,similarity
The men are placing suitcases in the trunk of a car,the learning network blog : student opinion | does facebook ever make you feel bad ?,-0.12526119
the vast amount was done in person or over the phone although i did put my concerns on paper a few times .,There is no boy standing in front of the blue building in the space reserved for handicapped people,-0.09245873
There is no boy playing a guitar,how can i help my dog adjust to a move ?,-0.09004168
"Ducks defenseman Erik Gudbranson, left, knocks the puck away from Golden Knights center Cody Glass during the second period of Tuesday’s game in Las Vegas. (AP Photo/John Locher)

Vegas Golden Knights right wing Alex Tuch (89) celebrates after scoring against the Anaheim Ducks during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Vegas Golden Knights players celebrate after Alex Tuch (89) scored against the Anaheim Ducks during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Sound The gallery will resume in seconds

Vegas Golden Knights players celebrate after right wing Mark Stone (61) scored against Anaheim Ducks goaltender John Gibson (36) during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks defenseman Korbinian Holzer, left, celebrates after scoring against the Vegas Golden Knights during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)



Vegas Golden Knights right wing Alex Tuch (89) scores on Anaheim Ducks goaltender John Gibson (36) during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks right wing Jakob Silfverberg, center, celebrates after a teammate scored against the Vegas Golden Knights during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks right wing Jakob Silfverberg (33) attempts a shot on Vegas Golden Knights goaltender Marc-Andre Fleury (29) during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Vegas Golden Knights left wing Max Pacioretty, center, celebrates after Vegas Golden Knights right wing Mark Stone (61) scored against Anaheim Ducks goaltender John Gibson (36) during the first period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Vegas Golden Knights left wing Tomas Nosek (92) skates around Anaheim Ducks left wing Nicolas Deslauriers (20) during the second period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)



Vegas Golden Knights right wing Reilly Smith (19) skates around Anaheim Ducks defenseman Hampus Lindholm (47) during the second period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks defenseman Hampus Lindholm (47) checks Vegas Golden Knights left wing William Carrier (28) into the boards during the second period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks right wing Jakob Silfverberg (33) celebrates after scoring against the Vegas Golden Knights during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks left wing Max Comtois (53) fights with Vegas Golden Knights defenseman Shea Theodore (27) during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks left wing Max Comtois (53) attempts a shot on Vegas Golden Knights goaltender Marc-Andre Fleury (29) during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)



Vegas Golden Knights goaltender Marc-Andre Fleury (29) stops the puck against the Anaheim Ducks during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks left wing Max Jones (49) vies for the puck with Vegas Golden Knights defenseman Shea Theodore (27) during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Anaheim Ducks right wing Ondrej Kase (25) tries to skate through Vegas Golden Knights center Chandler Stephenson (20) during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Vegas Golden Knights left wing Tomas Nosek (92) attempts a shot on Anaheim Ducks goaltender John Gibson (36) during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

Vegas Golden Knights center Jonathan Marchessault (81) celebrates after scoring against the Anaheim Ducks during the third period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)



Vegas Golden Knights left wing Tomas Nosek (92) skates around Anaheim Ducks left wing Nicolas Deslauriers (20) during the second period of an NHL hockey game Tuesday, Dec. 31, 2019, in Las Vegas. (AP Photo/John Locher)

LAS VEGAS — The Ducks didn’t have a chance Tuesday afternoon because they didn’t give themselves a chance. They tossed the puck around like it was toxic and paid the price for their carelessness with a 5-2 loss to the opportunistic Vegas Golden Knights at T-Mobile Arena.

The Golden Knights jumped the Ducks from the start, and it wasn’t as if they needed help to build a commanding lead. But the Ducks gave it to them anyway, sandwiching two egregious turnovers around an own goal as Vegas skated away with a 3-1 advantage entering the third period.

Funny thing, too.

The Ducks actually weathered an early Vegas onslaught to take a 1-0 lead on defenseman Korbinian Holzer’s first goal of the season, a chip shot that found the back of the net 8:13 into the game. It was more or less, all downhill from there for the Ducks.

“It’s frustrating when we come out and we’re not ready to play,” Ducks goaltender John Gibson said. “It’s a privilege to play in the National Hockey League and it feels like some guys are starting to take it for granted and are just kind of happy to be here. We play a good game every now and then and we can’t string it together, put two in a row, can’t seem to get points.”

Gibson turned away the Golden Knights again and again, but he was left to fend for himself far too often. Vegas outshot the Ducks by 43-28, including 22-5 in the first period.

“We’ve got to find a way to be more consistent in our game,” Holzer said. “There are stretches in the game where we play really well and there are stretches where we play absolutely terrible. We can’t have ‘Gibby’ bail us out every night. It’s not the way we should play. It’s not a recipe for success.”

The rest of the opening period unfolded in a nightmarish fashion of the Ducks’ own making.

Ducks defenseman Erik Gudbranson lost control of the puck in front of his net. Mark Stone, who separated Sam Steel from the puck a nanosecond earlier, jumped on Gudbranson’s misplay and beat Ducks goaltender Gibson for the tying goal at 14:36 of the first period.

Vegas then made it 2-1 in the closing seconds of the opening period. Or rather the Ducks did. Alex Tuch was credited with the tiebreaking goal at 19:40, when he swatted a loose puck beneath Gibson. The puck kept moving and then Ducks defenseman Josh Manson tapped it into his own net.

The Ducks complained that a whistle should have halted play, but to no avail. Gibson later said he watched the replay during the intermission and admitted the call was correct. He even skated out and spoke to referee Dean Morton before the second period began.

Related Articles Ducks goalie John Gibson credits break with improved play

Ducks right wing Jakob Silfverberg picked to play in All-Star Game

Ducks goalie John Gibson bemoans inconsistent play in OT loss to Flyers

Ducks captain Ryan Getzlaf finding new ways to lead

Ducks ride second-period flurry to victory over Golden Knights “It was just kind of sitting there,” Gibson said of the loose puck that ended up squirting free before Manson mishandled it. “I think Manson went to grab it and it went into the net. I was upset with it and then I looked at it and (Morton) made the right call.”

Late in the second period, after the Ducks had pushed back and actually began to generate sustained pressure in the Golden Knights’ end, disaster struck again. Adam Henrique’s clearing attempt sailed directly onto the stick of Vegas’ Reilly Smith, who beat Gibson for a 3-1 lead at 17:55.

In the third, Jonathan Marchessault scored twice, including on a penalty shot that extended the Vegas lead to 4-1. Jakob Silfverberg’s team-leading 14th goal cut the Ducks’ deficit to 4-2, but Marchessault sealed it with an empty-net goal with 1:54 left.

“It would be one thing if we had shown all year that we weren’t able to play with teams like this, but we have shown that we can,” Ducks coach Dallas Eakins said. “That’s where you kind of (hurt) yourself. It’s like if you go out and run a four-minute mile and you show up every day after that and you run a seven-minute mile. Something’s wrong because you showed you could do it.”

'Get that mentality that every night is going to be a hard working night, bear down, and hopefully we can string some games together'. Jakob Silfverberg is looking toward the new year with optimism! @AnaheimDucks are back in action Thursday vs the #Coyotes!#LetsGoDucks pic.twitter.com/Ehabq2aaZu — FOX Sports West (@FoxSportsWest) December 31, 2019

THAT'S OUT ALL STAR⭐️ Silfvy finds the net in the third for the @AnaheimDucks!@jsilfverberg33 | #LetsGoDucks pic.twitter.com/6399g2ObG0 — FOX Sports West (@FoxSportsWest) December 31, 2019",i visit az every summer and include some hikes in the desert when i 'm there .,-0.088718295
i visit az every summer and include some hikes in the desert when i 'm there .,"New Delhi: The Supreme Court will on Friday hear the Centre and Delhi government’s appeal challenging Delhi High Court’s order dismissing their plea staying the four Nirbhaya convicts’ execution in the 2012 Delhi gangrape and murder case.Also Read - Amid Controversy Over Gyanvapi And Taj Mahal, Petition Filed in Supreme Court to Conduct 'Confidential' Survey of Ancient Mosques

A three-judge bench, comprising Justices R Bhanumathi, Ashok Bhushan and AS Bopanna, will hear the government’s plea at 12:30 PM against the Delhi High Court’s verdict. Also Read - 'Intrigued', Says Justice Chandrachud By Articles Written On GST Council Judgement

Hearing the matter, Justice Suresh Kumar Kait had on February 2 reserved order on the Centre’s plea. However, the central government moved the top court through its Additional Solicitor General KM Natraj seeking an urgent hearing on its appeal. Also Read - Navjot Singh Sidhu, Given 1 Year Jail in Road Rage Case, Lodged in Patiala Jail After Surrender

The Centre and the Delhi government had challenged the trial court’s order on January 31 that stayed the execution of the convicts – Mukesh Kumar Singh (32), Pawan Gupta (25), Vinay Kumar Sharma (26) and Akshay Kumar (31) – until further orders. S

Expressing concern over the delay in execution, the victim’s parents urged the court to expeditiously decide the Centre’s plea and were assured by the judge that the order would be passed at the earliest.

Meanwhile, Delhi High Court on Wednesday maintained that all the four convicts will be hanged together. The high court also gave the convicts a week’s time to avail all legal remedies.

On January 7, warrants for the execution of all the four convicts in Tihar jail at 7 AM on January 22 were issued. However, the convicts could not be hanged because of pendency of mercy petition by one of them. Later, the trial court fixed February 1, 6 AM as the hanging date and time. That, too, got delayed in the wake of the legal remedies being exercised by the remaining Nirbhaya convicts.",-0.0850602
The man is funnily playing the piano with his nose,a group of young ladies in bikinis .,-0.08415769
There is no boy playing guitar,how can i help my dog adjust to a move ?,-0.08408731
There is no boy playing guitar,the vast amount was done in person or over the phone although i did put my concerns on paper a few times .,-0.08408135
There is no boy playing a guitar,the vast amount was done in person or over the phone although i did put my concerns on paper a few times .,-0.08323717
i visit az every summer and include some hikes in the desert when i 'm there .,There is no woman using a sewing machine,-0.07663264
