sentence1,sentence2,similarity
A boy is comfortably sitting in a room and playing a piano by a lamp,Two women are competing in a tire rolling race,0.08742469
"what are the bus ( coach ) connections from thessaloniki , greece to tbilisi , georgia ?",The man is chopping a tree trunk with an axe,0.09019629
A boy wearing a striped shirt is running barefoot on the sandy hill,two women stand in a living room with a black dog .,0.09521316
A boy is surfing and riding a wave,two women stand in a living room with a black dog .,0.09629483
A boy wearing a striped shirt is running barefoot on the sandy hill,Two women sitting in chairs in a shop.,0.107569225
A boy wearing a striped shirt is running barefoot on the sandy hill,two women sitting in chairs in a shop .,0.107569225
The man is chopping a tree trunk with an axe,do i need to apply for a uk transit visa when i have a visitor visa ?,0.10854784
A boy is speeding down a steep slide,two women stand in a living room with a black dog .,0.10899184
the man is riding a bike down a dirt hill .,two women stand in a living room with a black dog .,0.112087734
There is no large group of cheerleaders walking in a parade,a dog licks up a baby 's drool .,0.11210307
a boy in a blue shirt and blue jeans runs across a playground,two women stand in a living room with a black dog .,0.11220848
a boy with a broken arm is sleeping .,Two women are competing in a tire rolling race,0.11277129
a man is drawing on a digital dry erase board .,38 Taliban militants killed in Afghanistan,0.11463048
A young man is running away from the fishing line,two women stand in a living room with a black dog .,0.11621775
The young boy is riding a dirt bike through the mud,two women stand in a living room with a black dog .,0.11737835
The muscular black man is dancing and the man behind him is wearing green beads,There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,0.11858264
There is no large group of cheerleaders walking in a parade,The man is chopping a tree trunk with an axe,0.11866448
a cat sleeping on the coach with a pillow behind it .,There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,0.119660795
There is no large group of cheerleaders walking in a parade,One man is chopping a log with an axe,0.1200816
korobeynichev 's laboratory worked with other scientific institutes .,There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,0.12085918
a orange and white cat asleep on a leather chair .,There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,0.122186065
There is no man on a bicycle riding on the beach,A black cat and a small white and black cat are looking up at a kitchen countertop,0.12289531
"what are the bus ( coach ) connections from thessaloniki , greece to tbilisi , georgia ?",two terriers play on the wood floor of their home .,0.12349571
A young man is running away from the fishing line,two cats sit on the back of a couch looking out the window .,0.124020256
"former australian pm says "" i went after guns . obama can , too . """,three little girls are sitting on the grass .,0.12430617
"iguaran stated that the detainees will be accused of homicide , criminal collaboration , kidnappings and the funding of terrorism .",There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,0.12504493
"egypt courts hear cases against mubarak , islamists",There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,0.12517084
"The woman is happily playing a guitar, which is acoustic, and singing","The boy also sprayed the room full of retardant from fire extinguishers, which made it hard to see, the chief said.",0.12565263
the young boy is jumping into the pool on his belly .,Two girl with dogs are walking on a forest path,0.12674274
Two women are competing in a tire rolling race,colorado shooting suspect was under psychiatrist 's care,0.12697697
syria tv says govt troops free captive journalists,A boy is surfing and riding a wave,0.12758145
woman dies in co cork house fire,The young boys are posing with a green soccer ball in a park,0.12862338
syria tv says govt troops free captive journalists,a woman is cutting onions .,0.12865077
"the federal and local governments remained largely shut down in the aftermath of hurricane isabel , as were schools , and much of the region 's transportation network was slowed .",a man puts some cheese on a pizza .,0.12872918
tamil parties blame the liberation tigers of tamil eelam ( ltte ) for these killings .,A boy is comfortably sitting in a room and playing a piano by a lamp,0.12886442
"tornadoes rip through midwest , killing 6 and devastating neighborhoods",A boy is comfortably sitting in a room and playing a piano by a lamp,0.12995419
"the decision came after "" listening to our customers and associates , "" melissa berryhill , a spokeswoman for wal-mart , said .",There is no white cat perched on a small wooden cabinet looking outside the window,0.13000627
The boy is playing in the mud,"MGM, NBC and Liberty executives were not immediately available for comment.",0.13044795
A boy wearing a striped shirt is running barefoot on the sandy hill,china to resume us investment talks,0.13066871
obama and o 'brien cast their versions of d.c. white house correspondents ' dinner,There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,0.13086441
"A boy, who looks young and is wearing a red swimsuit, is jumping into a blue kiddies pool",obama aide holds talks in china after syria veto,0.13176644
two cats sit on the back of a couch looking out the window .,A man in a red uniform is making a jump in a dirt bike race,0.13333683
"instead , they fear the conference is an attempt by corporate farming and biotech interests to push into new markets .",A boy is comfortably sitting in a room and playing a piano by a lamp,0.13387722
the young boy is jumping into the pool on his belly .,"Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets.",0.1343164
The man is chopping a tree trunk with an axe,"MGM, NBC and Liberty executives were not immediately available for comment.",0.13569169
A boy wearing a striped shirt is running barefoot on the sandy hill,the agreement was signed during a regular meeting of chiefs of defense staff from the 26 nato allies .,0.13606016
One woman is sitting and looks at the waterfall,iran ' thwarts nuclear sabotage attempts',0.13666917
