sentence1,sentence2,similarity
A woman is swimming underwater.,A man is slicing some carrots.,0.5666971479429457
A woman is pouring egg into a frying pan.,A man is petting two dogs.,0.5987224921750149
A man is bowling.,A kitten is walking.,0.6111796267824874
The girl is carrying a baby.,A man is eating a food.,0.632123729374576
A chimp is kicking a target.,A woman is putting oil into a skillet.,0.6494835915134363
A young woman is riding a Bay hose in a dirt riding-ring.,A man is staring at a horse with a white mane.,0.6659468613066607
A person is adding food in a pan.,A man is dancing in the street.,0.6837686439156825
A man is smoking.,A baby is sucking on a pacifier.,0.6992994356602931
Berri says ready to help launch national unity government,The perception of Spain has changed dramatically with this government,0.7156372172402449
A small camouflaged airplane parked in the grass.,A small dog wearing a pink shirt tied to a railing.,0.7326613700873809
How much do you know about Secret Service?,Lawmakers from both sides express outrage at Secret Service,0.7489012009384541
A woman is taking a bath.,A woman is riding a horse.,0.7655058791229866
Russia warns Ukraine against EU deal,Rebels down Ukraine helicopters,0.7821138989721562
I've located an article that might be of some help: http://www.dsattorney.com/qa-pseudonyms-in-contracts/,I found some link that might be of help to you:,0.7986742090442827
A tan and white dog retrieving a ball on a gravel path.,A large dog walks along a gravel path in the woods.,0.8151163419397575
"The key is you have to find something that works for you, and your goals.","You may want it, but the process given to you is what you have to work within.",0.8318039615029946
The answer to this and all such similar questions is in two stages:,The answer to both questions is: Yes.,0.8484084038062268
It's not a good idea.,"No, it's not a good thing.",0.8649448269966089
There are a few things I think you should do.,There are quite a few things you would need to do;,0.8815960828915104
A man is playing a guitar.,A man is singing while playing the guitar.,0.8981951314907413
"It depends on what you want to do next, and where you want to do it.",I guess it depends on what you're going to do.,0.9147567294569975
Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.,"The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.",0.9311928743636904
"But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.","But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.",0.9478493568453649
Boy lies on stomach in grass.,Small boy lying on his stomach on the grass.,0.9642371893075246
A person is slicing onions.,Someone is slicing an onion.,0.9809932499230097
"""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply,"" said Junya Tanase, forex strategist at JP Morgan Chase.","Junya Tanase, forex strategist at JP Morgan Chase, said ""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply.""",0.9975743411234657
