sentence1,sentence2,similarity
The woman is playing the flute,"mr. bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .",0.52996993
A man is cycling.,she said she didn 't know yet whether she would certify the budget .,0.53693354
"mr. bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .",The helmeted girl is riding a bike,0.53989017
"mr. bush had sought to store his papers in his father 's presidential library , where they would have stayed secret for a half-century .",The girl is trotting on the horse,0.54236436
"in addition , it offered the united states and israel a way to work around mr. arafat .",The helmeted girl is riding a bike,0.5426059
the world 's largest software company said it recognized the difficulty the multiple patches posed for companies trying to apply them .,The man's jumper is in the empty pool,0.5442786
two women watching the street with their bikes to see when they may cross .,he was the first speaker of the house in history to be fined .,0.5446139
it then appointed a task force to formulate the necessary changes in tax and spending policies .,The man's jumper is in the empty pool,0.546257
she said she didn 't know yet whether she would certify the budget .,a man walks two dogs on leashes down the street,0.54663885
A man on a bicycle is riding on the beach,she said she didn 't know yet whether she would certify the budget .,0.54764843
A man on a bicycle is riding on the beach,three young women standing in a room together .,0.5486209
i have been doing a lot of my outlining / pre-writing work in workflowy .,The man's jumper is in the empty pool,0.5489415
"in addition , it offered the united states and israel a way to work around mr. arafat .",There is no woman dancing and singing in the rain,0.54945326
A dog is running through a field and is chasing a ball,a man and woman sit at a table in a restaurant .,0.549526
The woman is playing the flute,"in addition , it offered the united states and israel a way to work around mr. arafat .",0.5511483
"i looked him in the eyes and said that these young me did what they had to do , they should have no regrets or feel bad and it should have been done sooner .",The woman is playing the flute,0.5516472
two women posing with a baby .,he was the first speaker of the house in history to be fined .,0.5519857
three young women standing in a room together .,A man is cycling.,0.5531154
a brown dog is running through the field .,a man and woman sit at a table in a restaurant .,0.5531514
"in addition , it offered the united states and israel a way to work around mr. arafat .",A girl is naked and is standing on the grass,0.5543504
should i just tell her how i feel ?,he was the first speaker of the house in history to be fined .,0.55470395
A girl is naked and is standing on the grass,"other ways of computing these values , or weights , have been developed .",0.5547309
he was the first speaker of the house in history to be fined .,two indian woman stand with two indian girls on a beach .,0.5568526
two dogs play in the snow .,chavez heir maduro wins venezuela 's presidency,0.55689764
The woman is playing the flute,"other ways of computing these values , or weights , have been developed .",0.55738056
a man in black on a surfboard riding a wave .,she said she didn 't know yet whether she would certify the budget .,0.5582433
a man is wind sailing in the ocean .,she said she didn 't know yet whether she would certify the budget .,0.5582829
The little girl is swinging and the woman is standing behind her,he was the first speaker of the house in history to be fined .,0.55881464
The woman is playing the flute,a boy jumps into a not-so-crowded public pool .,0.55891263
The woman is playing the flute,A wet boy is jumping around on dirty and wet grass,0.55951977
The man's jumper is in the empty pool,the similarity measures largely identify the retrieval efficiency of a particular information retrieval system .,0.55955404
A man is riding a dirty horse on a blue road,she said she didn 't know yet whether she would certify the budget .,0.55962574
A girl is naked and is standing on the grass,the similarity measures largely identify the retrieval efficiency of a particular information retrieval system .,0.5596987
A young girl in a bikini is jumping on the beach,he was the first speaker of the house in history to be fined .,0.5605532
