sentence1,sentence2,similarity
There is no person riding a jetski in the waves,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",0.47928232
several different ways have been developed of calculating these values ( also known as term weights ) .,There is no kitten drinking milk,0.4900305
There is no rope being climbed by a man,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",0.49184301
This answer is based on my experience teaching undergraduate math in the US.,There is no rope being climbed by a man,0.49399203
"several different ways of computing these values , also known as ( term ) weights , have been developed .",There is no kitten drinking milk,0.49500492
"after all , they have recommended policies that politicians or taking into consideration .",There is no rope being climbed by a man,0.49836534
"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",There is no kitten drinking milk,0.498367
No motorcycle racer is riding a red and black bike,several different ways have been developed of calculating these values ( also known as term weights ) .,0.49889714
There are no people driving ATVs,"find out or determine , perhaps after a calculation or investigation .",0.499188
There is no person riding a jetski in the waves,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",0.49919203
There is no person riding a jetski in the waves,several different ways have been developed of calculating these values ( also known as term weights ) .,0.49935955
This answer is based on my experience teaching undergraduate math in the US.,No motorcycle racer is riding a red and black bike,0.50168574
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",No girl with a bikini is playing in the dunes,0.50196177
"several different ways of computing these values , also known as ( term ) weights , have been developed .",There is no person riding a jetski in the waves,0.5022279
There is no person riding a jetski in the waves,"after all , they have recommended policies that politicians or taking into consideration .",0.502601
the new zealand commerce commission had given westpac no indication whether it would have approved its deal .,A boy is eating a cupcake,0.5027696
No girl with a bikini is playing in the dunes,"dynamic programming is a very powerful mathematical technique , often utilised in programming , for solving optimization problems .",0.50283605
This answer is based on my experience teaching undergraduate math in the US.,There is no person riding a jetski in the waves,0.50377476
several different ways have been developed of calculating these values ( also known as term weights ) .,No girl with a bikini is playing in the dunes,0.5047697
( parliament adopted the legislative resolution ),There is no person riding a jetski in the waves,0.50519836
There is no person riding a jetski in the waves,"commodity expanded value-form , .",0.505319
No girl with a bikini is playing in the dunes,"Besides these 28 OCT4-regulated genes, the Oct4-OETN included 8 more genes of a recently published list of OCT4-correlated transcripts expressed in ESCs.",0.5054116
several different ways have been developed of calculating these values ( also known as term weights ) .,There are no people driving ATVs,0.5075529
"several different ways of computing these values , also known as ( term ) weights , have been developed .",No girl with a bikini is playing in the dunes,0.50763375
There is no person riding a jetski in the waves,serve as a reason or cause or justification of .,0.50787497
make fine adjustments or divide into marked intervals for optimal measuring .,There are no people driving ATVs,0.50791687
"several different ways of computing these values , also known as ( term ) weights , have been developed .",No motorcycle racer is riding a red and black bike,0.5081656
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",There is no rope being climbed by a man,0.509261
"after all , they have recommended policies that politicians or taking into consideration .",There is no water being drunk by a cat,0.5094682
