sentence1,sentence2,similarity
A man puts three pieces of meat into a pan.,two ladies jogging on a path near the waterfront .,-0.25913465
"A girl, who is little, with blond hair is smiling and sitting on a swing",Men are running a race,-0.25639004
"a boy sits on a bed , sings and plays a guitar .",two ladies jogging on a path near the waterfront .,-0.24794264
The boy is standing next to the opening of a fountain,Three women cook.,-0.24051106
and that was certainly a motivator for me to work my way up the career ladder of my profession .,The man is not slicing vegetables,-0.23787889
A few women are dancing,A black hooded man is using a large magnifying glass to look at a booklet.,-0.23715135
A skateboarder is falling off a half pipe,A bull dog is brushing the monkey,-0.23501854
The motocross rider is wearing blue and black pants,a woman is playing the flute .,-0.23481075
"indeed , mr. weill , a self-described workaholic , said he planned to remain very involved in the company .",Kids are not dressed in costumes and playing a game,-0.23459023
a man who has fallen asleep on public transportation .,the women are singing and dancing .,-0.23308918
The man is not slicing vegetables,It is important to keep the story in the scope of your limit.,-0.2324036
Three hikers are standing on a mountainside and looking at the view with a pair of binoculars,A man is dancing on the floor,-0.23127076
A person is not playing the keyboard,"Deirdre Hisler, Government Canyon's manager, said the state long has coveted this piece of property, and is eager to complete the deal.",-0.23052321
you can put her toys near her or give he toys to her .,Men are running a race,-0.22811374
a group of people are walking down the sidewalk of a big city .,"a boy sits on a bed , sings and plays a guitar .",-0.22806351
this tendency goes well beyond simple .,The dogs are alone in the forest.,-0.2277433
There is no dog looking around,he also objects to the sales and personal income tax increases in the package .,-0.22491783
A boy is comfortably sitting in a room and playing a piano by a lamp,brown and white cow standing in grass at side of road .,-0.22439581
"A young, topless woman is covered in paint",chairman michael powell and fcc colleagues at the wednesday hearing .,-0.22403745
spanish train crash driver to be questioned,"give a neat appearance to , neaten",-0.22275983
A few women are dancing,A man is drawing,-0.22239795
this paves the way for the of the rules of procedure here .,The man is not slicing vegetables,-0.22105521
a man is jumping rope outside .,an older asian couple poses with a newborn baby at the dinner table .,-0.21939439
It is important to keep the story in the scope of your limit.,There is no young boy playing a wind instrument,-0.21870881
does this sound like the sensible option .,There is no man singing to a woman,-0.21840842
a printed circuit that can be inserted into expansion slots in a computer to increase the computer 's capabilities,Nobody is fighting in a cow pasture,-0.21812625
A young man is sitting in swimming gear,two dogs standing in the snow .,-0.2161738
It is important to keep the story in the scope of your limit.,There is no woman cooking eggs,-0.21552727
The man is hiking in the woods,Two children are bouncing on colorful balls,-0.21503854
The man is performing a large jump,Three women are sitting in a village,-0.21462989
The lady is selling things.,Children in swimming suits are not playing in the water,-0.21456984
A little boy is getting out of a puddle in the street,Three women cook.,-0.2144465
the act of pressing together firmly,There is no woman riding a water scooter,-0.21301618
Kids are not dressed in costumes and playing a game,"he gave a surprisingly impassioned speech to the united steelworkers of america , who announced their endorsement yesterday .",-0.21279268
A woman is being handed volleyballs by another woman,the man is riding a horse .,-0.21179503
A skateboarder is falling off a half pipe,A bull dog is being brushed by the monkey,-0.21145912
a man who is resting his head on his hand .,two dogs are running on the grass in front of the trees .,-0.21116978
The man in the hat is smoking a straw cigarette,A gorilla plays the drums.,-0.21116915
hold in a tight grasp .,The dogs are alone in the forest.,-0.20988348
five men in tuxedos are walking down steps .,a girl doing a back bend at the beach .,-0.20956026
The # 2 greyhound dog is running around a track.,Three women are sitting in a village,-0.20871508
the man is riding a horse .,the doomsday preppers of new york,-0.2077032
A woman is leaning on the ledge of a balcony,Men are running a race,-0.20618773
Young redheaded man holding two bicycles near beach.,a woman is playing the flute .,-0.20517053
"The girl is wearing a shirt colored in white with a pink skirt, and is standing in front of a house",barclays boss falls to rate fixing scandal,-0.20403752
a man is running on rope .,a woman is playing the flute .,-0.20256343
Several boys are jumping on a trampoline,A woman walking down the side of a highway.,-0.20113271
Men are running a race,a woman pets a dog in a gated yard .,-0.19996865
The snowboarder isn't leaping over white snow,santos stated the radioactive material was the primary basis for generating crude weapons of mass destruction and terrorism .,-0.19860417
a woman is swimming .,a large pile of wooden items piled high .,-0.19750564
