sentence1,sentence2,similarity
Gunmen kill 5 female teachers in Pakistan,a man on a dirt bike jumping very high .,0.04200688
Gunmen kill 5 female teachers in Pakistan,A black man in green is riding a bike,0.04474878
gunmen kill 6 polio workers in pakistan,A black man in green is riding a bike,0.04821333
Gunmen kill 5 female teachers in Pakistan,A boy is wearing a yellow jacket and is jumping down from a rock,0.048465747
a white cat standing on a carpet .,armstrong 's confess ruined all the cancer survivors and cycling fans who thought his fairy-tale story was true .,0.050598457
Gunmen kill 5 female teachers in Pakistan,a boy is pouring something from a pitcher .,0.050908845
Gunmen kill 5 female teachers in Pakistan,a man and his bicycle laying down on the green grass .,0.051338986
Gunmen kill 5 female teachers in Pakistan,A man is sitting on the lawn and drinking from a water bottle,0.05236478
man riding a bicycle down a narrow path .,Gunmen kill 5 female teachers in Pakistan,0.05377882
us attorney general holder resigns,The young girl is playing on the edge of a fountain and an older woman is watching her,0.054880477
"A woman, who is seated, is singing a song and playing the guitar",A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,0.05580314
a woman stirs eggs in a bowl .,A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,0.05838856
the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia .,a boy is pouring something from a pitcher .,0.06105555
Gunmen kill 5 female teachers in Pakistan,a young boy riding in a swing .,0.061322805
A woman is putting cosmetics on her eyelid,A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,0.0614167
a gray cat is sitting on the window ledge looking at the camera .,armstrong 's confess ruined all the cancer survivors and cycling fans who thought his fairy-tale story was true .,0.062649526
eu imposes new sanctions on syrian regime,"i 've only made a couple of bbq sauces , but they 've always come out really well .",0.06394208
"north , south korea agree to talks",a woman is shredding chicken .,0.063955374
A little girl in a green coat and a boy holding a red sled are walking in the snow,suicide bomber attacks algerian security base,0.06627005
A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer,a little girl in a paisley dress runs across a sandy playground .,0.06633304
north korea denies involvement in any nuclear program in syria .,A woman wearing a blue shirt and high heels is standing on the sidewalk next to a dog,0.06716702
A black man in green is riding a bike,"iaea , iran to hold first nuclear talks since rohani election",0.06717678
a woman plays the guitar .,A pair of young boys in t-shirts are hiding in the woods with one looking aghast.,0.067380145
"north , south korea agree to talks",a race car driver is driving his car through the mud .,0.068578735
british red cross doctor kidnapped in pakistan found beheaded,"i 've only made a couple of bbq sauces , but they 've always come out really well .",0.070070975
Two women give a demonstration at a Renaissance Fair.,A man is sitting on the lawn and drinking from a water bottle,0.07032861
Gunmen kill 5 female teachers in Pakistan,a young pitcher is throwing the baseball .,0.07087989
indian troops raid pakistani military post,"i 've only made a couple of bbq sauces , but they 've always come out really well .",0.07106778
a woman plays the guitar .,"iaea , iran to hold first nuclear talks since rohani election",0.071378775
"north , south korea agree to talks",A woman is cracking eggs,0.071661174
"A woman, who is seated, is singing a song and playing the guitar",Two males are standing on a cliff edge and no one is jumping into the water,0.07167644
a girl is bouncing on her head on a trampoline .,"iaea , iran to hold first nuclear talks since rohani election",0.07169797
