sentence1,sentence2,similarity
cuba 's ' ladies ' to pick up eu prize 8 years late,A boy is playing guitar,0.5830646
a man plays the guitar .,saudi women allowed to compete at olympics,0.5838346
a man is walking down a road .,saudi women allowed to compete at olympics,0.58483833
A child is swimming on the water's surface in a pool,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.5864218
A boy is playing guitar,saudi women allowed to compete at olympics,0.58677167
a boy is playing a piano .,saudi women allowed to compete at olympics,0.58728796
The man is not riding a horse by a creek,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.58778805
saudi women allowed to compete at olympics,The man is playing a piano,0.58951026
there is a black dog jumping into a swimming pool .,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.5896201
A man is singing and walking down the road,the countries oppose the weaponization of space and an arms race in space .,0.5915898
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A dog with a ball is being chased in the grass,0.59171116
A little girl in a pink shirt is playing t-ball and taking a swing,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.5930937
there is a black dog jumping into a swimming pool .,there was no influence from china to the culture of greece .,0.5932688
the countries oppose the weaponization of space and an arms race in space .,a little girl is walking down the street .,0.59327114
two girls holding sacks are standing in a field .,The man is playing a piano,0.5937011
cuba 's ' ladies ' to pick up eu prize 8 years late,a man plays the guitar .,0.59452075
The man's jumper is in the empty pool,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.59454966
A man is singing and walking down the road,saudi women allowed to compete at olympics,0.59497577
A dog is running with a ball,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.59524405
there was no influence from china to the culture of greece .,A man dressed in black is wearing inline skates and performing a trick on a rail,0.5963727
A small brown and white dog is running on the sidewalk,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.59663767
A black and brown dog is eyeing a fly,there was no influence from china to the culture of greece .,0.59695125
there was no influence from china to the culture of greece .,A man in a red uniform is racing and making a jump over a bike in the dirt,0.59793913
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",a dog is running along the grass .,0.5986353
Someone is singing about a man who plays the guitar,saudi women allowed to compete at olympics,0.59876
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",a brown and white dog swims in a backyard swimming pool .,0.5988456
A few women are holding each other and dancing together,"oh , i bet he can i truly hope not .",0.5989319
A white dog is running through a snowy trail,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.59912944
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A black and white dog is jumping into the water.,0.59916085
the ladies are performing a dance .,A large man is sitting in a military accessories shop,0.599169
The men are playing with a ball,a little girl is walking down the street .,0.5994697
a black pit bull dog is running through the dirt .,there was no influence from china to the culture of greece .,0.5995339
A brown dog is running after a white dog on a rocky shore,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.5995618
The man isn't playing the piano,"i would like to remind you that our allies , there are ardent supporters of this tax .",0.5998474
dog swimming through water carrying stick in its mouth,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.59990615
The kitten is playing with a toy,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.6001065
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",a dog leaps off a dock and into the water .,0.6003239
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A dog in a colored coat is running swiftly across the yard,0.6004845
The man is not riding a horse by a creek,Three teenage girls are dancing in the room,0.6008896
a man seated in a room is playing the guitar .,saudi women allowed to compete at olympics,0.6012781
a dog is running along the grass .,couple get married in britain 's first scientology wedding,0.60175836
a blonde dog is catching a ball in its mouth in the snow .,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.6018102
there was no influence from china to the culture of greece .,A dog with a ball is being chased in the grass,0.6018121
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A girl is wearing white clothes and is dancing,0.6018207
"i would like to remind you that our allies , there are ardent supporters of this tax .",The man is playing a piano,0.6018923
a man seated in a room is playing the guitar .,"i would like to remind you that our allies , there are ardent supporters of this tax .",0.6019914
a brown dog running through the woods .,there was no influence from china to the culture of greece .,0.6020657
A girl is practicing the piano,what we don ’ t know is killing us the gun industry can 't handle the truth .,0.60276663
A guitar is being played by a man next to a drummer,generally you 're supposed to apply at the us consulate at your place of residence .,0.6031747
a man is walking down a road .,Three young girls are dancing in the room,0.6032127
Four dogs playing in the snow.,generally you 're supposed to apply at the us consulate at your place of residence .,0.6039954
The man is not riding a horse by a creek,Three young girls are dancing in the room,0.6042993
"indonesia 's army has been accused of human rights abuses during its earlier battles with gam , charges it has generally denied .",The man is playing a piano,0.6047645
a man is watching tv on the foot of his bed .,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.6053183
A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,saudi women allowed to compete at olympics,0.6054576
A small boy is playing with a dog,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.6061417
A man is singing and walking down the road,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.6064532
The man is not riding a horse by a creek,government-affiliated hackers in china are at the forefront of a burgeoning cyber cold war .,0.606839
The men are playing with a ball,you 're probably going to have to read various blogs to get all the information you want .,0.60728604
A man is opening a soda and drinking it,there was no influence from china to the culture of greece .,0.607657
saudi women allowed to compete at olympics,a brown dog running through the woods .,0.6081871
The men are playing with a ball,a girl is running on a desert path .,0.6087756
two dogs in a fenced kennel look ahead .,there was no influence from china to the culture of greece .,0.6089714
A seated woman is singing a song and playing the guitar,"founded in 1996 , the lendingtree exchange consists of more than 200 banks , lenders , and brokers .",0.6093454
a man in a black shirt is roller blading past a bench in the city .,there was no influence from china to the culture of greece .,0.6097885
A seated woman is singing a song and playing the guitar,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.61016655
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A young boy covered in grass is jumping near a wooden fence,0.6105764
A man is playing the drums,saudi women allowed to compete at olympics,0.61104494
A brown dog and a red dog are sitting sadly on the beach,there was no influence from china to the culture of greece .,0.6113205
A man is singing and walking down the road,there was no influence from china to the culture of greece .,0.6118773
A brown dog and a red dog are sitting sadly on the beach,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.6122911
A dog is far from the red ball in the air,"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",0.61270964
A dog in a colored coat is running swiftly across the yard,there was no influence from china to the culture of greece .,0.6130625
a man is playing the trumpet .,you 're probably going to have to read various blogs to get all the information you want .,0.61355895
a man is playing a basketball .,you 're probably going to have to read various blogs to get all the information you want .,0.6139665
the countries oppose the weaponization of space and an arms race in space .,A little girl is playing a grand piano on stage,0.6143637
a boy is playing a piano .,Three women are resting in a village,0.614745
A girl is practicing the piano,"i would like to remind you that our allies , there are ardent supporters of this tax .",0.61523
their gdp per capita is much lower and the vulnerable are ignored by the government .,A girl is wearing white clothes and is dancing,0.6156156
"if the government provides health care , whether spelled out in this bill or not , it will ration the care .",there is a black dog jumping into a swimming pool .,0.61604583
what we don ’ t know is killing us the gun industry can 't handle the truth .,The man is playing a piano,0.61646163
"u.s. , eu cautiously welcome iran 's proposal to restart nuclear talks",a boy running through green grass .,0.6169011
the ladies are performing a dance .,"oh , i bet he can i truly hope not .",0.6172893
"It was developed with consultation from more than 300 leaders in academia, industry, government and the public.",A man is eating near the kittens,0.61770564
what we don ’ t know is killing us the gun industry can 't handle the truth .,a boy is playing a piano .,0.6180792
a man is slicing a tomato .,Three young girls are dancing in the room,0.6185391
A women painting a chair with a dining room in the background.,"sent him a text asking him to let me know he was ok , no reply .",0.6189452
It depends entirely on your company and your contract.,a little girl is walking down the street .,0.619381
A man is wearing a beret and is riding the bicycle on a recreation trail,Three young girls are dancing in the room,0.6197925
A black and white dog looking at the camera.,there was no influence from china to the culture of greece .,0.6202173
the countries oppose the weaponization of space and an arms race in space .,a brown dog running through the woods .,0.6206537
generally you 're supposed to apply at the us consulate at your place of residence .,A motorbike rider is jumping over a person on a sandy track,0.621042
A dog in a colored coat is running swiftly across the yard,couple get married in britain 's first scientology wedding,0.6214712
