sentence1,sentence2,similarity
The man is standing on the sidewalk,two women sitting in chairs in a shop .,0.36736673
two women sitting in chairs in a shop .,A man is running down the road,0.3691281
they also inherit the attributes and methods of its superclass .,There is no young boy playing in the park with his mother,0.37262237
a man is dancing in rain .,senate confirms janet yellen as chair of us federal reserve,0.37284708
A man is running down the road,china has been praised especially by the asia-pacific states for efforts to resolve the korean peninsula nuclear issue .,0.3752775
The man is standing on the sidewalk,senate confirms janet yellen as chair of us federal reserve,0.37860522
A man is running down the road,a body of students who are taught together .,0.3787
the international atomic energy agency plan draws out negotiations for many months .,A man is running down the road,0.3800108
organization of performers and associated personnel ( especially theatrical ) .,A man is running down the road,0.380522
a man is dancing in rain .,and i think most americans are now seeing them that way too .,0.38244286
A man is running down the road,senate confirms janet yellen as chair of us federal reserve,0.38293648
a baby is sitting in the grass .,israeli minister slams kerry 's boycott warning,0.38431776
A man is running down the road,us praises ukraine deal ; calls for concrete action,0.3860004
There is no woman penciling on eyeshadow,they also inherit the attributes and methods of its superclass .,0.38639536
boy and girl running along the beach .,"but he is the only candidate who has won national labor endorsements so far , picking up his 11th union on tuesday when the united steelworkers of america endorsed him .",0.38650784
The helmeted girl is riding a bike,actor ben gazzara dies at 81,0.38685453
a little girl on a kid swing .,israeli minister slams kerry 's boycott warning,0.38734347
a man is dancing in rain .,it has increased the power of the large countries to the detriment of small .,0.38768482
There is no deer jumping fences,the answer lies in the support that indonesian pro-democracy activists can generate domestically and internationally .,0.3880213
a woman peels an apple .,The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.,0.3880307
world cup live : germany 0-0 ghana,"the fed 's empire state survey far exceeded expectations by jumping to 26.8 in june , a record high , from 10.6 in may .",0.3882577
one of its uses is calculating posterior probabilities given observations .,There is no young boy playing in the park with his mother,0.38851672
two dogs running together and one has a duck toy in its mouth .,wi sung-lac refused to give any details about the north korean nuclear reactor project .,0.38888142
"minimum wage laws hurt the least skilled , least productive the most .",A tan dog is jumping up and catching a tennis ball,0.38898906
a baby is sitting in the grass .,"users will be the losers , with the employees , and the competitiveness and european growth régresseront .",0.3890764
There is no woman penciling on eyeshadow,it has increased the power of the large countries to the detriment of small .,0.38913614
israeli minister slams kerry 's boycott warning,A little girl is smiling and running out of the house,0.38915992
the vector is then constucted of the frequency of eacher word ( dimension ) .,There is no young boy playing in the park with his mother,0.39046305
a man is dancing in rain .,president ? if she wants it,0.39061046
organization of performers and associated personnel ( especially theatrical ) .,boy and girl running along the beach .,0.3908934
the order in which terms appear in the document is lost in a vector space representation .,Two children are hanging on a large branch,0.39142892
A man is running down the road,"unanimous decisions , and hence an inherent incapacity to act , remain largely the norm in the council .",0.39146093
senate confirms janet yellen as chair of us federal reserve,A man is singing and walking down the road,0.39153522
actor ben gazzara dies at 81,Two children are playing with a ball in the park,0.3918044
person with two ski poles skiing down a snowy hill .,"unanimous decisions , and hence an inherent incapacity to act , remain largely the norm in the council .",0.39213237
There is no woman penciling on eyeshadow,the answer lies in the support that indonesian pro-democracy activists can generate domestically and internationally .,0.39251626
A man is running down the road,n. korea agrees to talks with south,0.39280292
A young child is splashing in the water,"Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets.",0.3928416
a baby is sitting in the grass .,Shares of Mandalay closed down 8 cents at $29.42 Thursday.,0.39317733
world cup live : germany 0-0 ghana,the other method is the top down approach which is a method that combines memorization and recursion .,0.39327216
A young boy is jumping off a chair,there has never been a monopoly in this country that wasn 't government enforced .,0.39331955
A man is running down the road,the cinema of the 1950s and 1960s we dazzles and we let much for our collections .,0.39462143
boy and girl running along the beach .,The AFL-CIO is waiting until October to decide if it will endorse a candidate.,0.39498425
Nobody is slicing a tomato,Another recent gene expression study of large numbers of cases provided support for the hypothesis that distinct leukemias are specified by each of the unique chromosomal abnormalities found in lymphoblastic leukemias.,0.3952162
"Yes, you can do it.",There is no young boy playing in the park with his mother,0.39532238
organization of performers and associated personnel ( especially theatrical ) .,The kid is swimming through the blue ocean,0.3959064
decide with authority ;,There is no young boy playing in the park with his mother,0.39639288
a man is dancing in rain .,The students are filling the classroom,0.39672196
"social sphere , scope of activity or interest",A man is running down the road,0.39726
a baby is sitting in the grass .,microsoft acquired virtual pc when it bought the assets of connectix earlier this year .,0.3980378
Nobody is slicing a tomato,the answer lies in the support that indonesian pro-democracy activists can generate domestically and internationally .,0.39871916
A golden dog is sitting in a field of tall grass,israeli minister slams kerry 's boycott warning,0.39932314
china has been praised especially by the asia-pacific states for efforts to resolve the korean peninsula nuclear issue .,There is no young boy playing in the park with his mother,0.39992258
A young child is splashing in the water,you have no remains of a missile at the pentagon .,0.40043712
fan stated the commission will ensure the commitments are upheld once the investments are under way .,There is no young boy playing in the park with his mother,0.40115595
The AFL-CIO is waiting until October to decide if it will endorse a candidate.,A man is running down the road,0.401933
"the telecom industry just took away our rights . as of today , it 's illegal to choose a different cellphone carrier",A tan dog is jumping up and catching a tennis ball,0.40242592
"minimum wage laws hurt the least skilled , least productive the most .",a white dog running over a bridge .,0.40311384
"minimum wage laws hurt the least skilled , least productive the most .",a woman and dog are walking together .,0.40375817
A girl is standing next to the opening of a fountain,vector space representation results in the loss of the order which the terms are in the document .,0.40443152
spring 1966 becomes head of chicago chapter of sclc 's operation breadbasket .,There are no soccer players kicking a soccer ball into the goal,0.40493184
A woman is jumping with a bicycle,actor ben gazzara dies at 81,0.40559033
a little girl in a red shirt pulls a kite .,"unanimous decisions , and hence an inherent incapacity to act , remain largely the norm in the council .",0.406179
a woman peels an apple .,vector space representation results in the loss of the order which the terms are in the document .,0.40687573
one of its uses is calculating posterior probabilities given observations .,There are no soccer players kicking a soccer ball into the goal,0.40720463
they also inherit the attributes and methods of its superclass .,world cup live : germany 0-0 ghana,0.40800238
a man is dancing in rain .,they also inherit the attributes and methods of its superclass .,0.40871048
decide with authority ;,There are no soccer players kicking a soccer ball into the goal,0.40931165
