sentence1,sentence2,similarity
iran dissidents ' killed in iraq',The child is delightedly playing with toys outdoors,0.5496332
iran dissidents ' killed in iraq',a little girl is playing on a toy outdoors .,0.55083203
iran dissidents ' killed in iraq',A dog is running through the snow,0.5514462
iran dissidents ' killed in iraq',A child wearing blue and white shorts is jumping in the surf.,0.55323434
A lady is playing the guitar.,israel agrees to release palestinian prisoners,0.55487496
iran dissidents ' killed in iraq',A boy is playing on a toy phone,0.55651355
iran dissidents ' killed in iraq',a brown dog is jumping up to catch a green strap in it 's mouth .,0.5573789
a little girl is playing on a toy outdoors .,mob kills man for burning quran,0.55763584
A woman is wearing paint and costume pieces and is riding a bike on a busy street,iranian president calls for new nuclear talks,0.55765724
A woman is wearing paint and costume pieces and is riding a bike on a busy street,israel agrees to release palestinian prisoners,0.55802757
A talented man is playing the guitar,israel agrees to release palestinian prisoners,0.5586431
the large brown dog is jumping through the tall grass .,iran dissidents ' killed in iraq',0.5594939
iran dissidents ' killed in iraq',A young boy is jumping into water,0.56037605
syrian journalists killed in capital,a little girl is playing on a toy outdoors .,0.5604288
iran dissidents ' killed in iraq',a dog walks through the snow .,0.560843
A few swimmers are racing in a lake,iranian president calls for new nuclear talks,0.5609823
iran dissidents ' killed in iraq',A boy is walking across a bridge,0.5615494
"us , un up pressure on israel over gaza",rosberg emulates father with monaco win,0.56166583
iran dissidents ' killed in iraq',A dog is having fun with a toy,0.5620661
A dog is having fun with a toy,two french journalists killed in mali,0.56218535
A dog is having fun with a toy,syrian journalists killed in capital,0.5629171
air strike kills one man in syria 's hama,Two kids are bouncing on colorful balls,0.56301
syrian journalists killed in capital,a young boy riding in a swing .,0.5636991
iran dissidents ' killed in iraq',A black and white dog is jumping over a hurdle.,0.5639839
A man is falling off a surfboard in the water,berlusconi stirs up elections in italy,0.56469494
pakistan fighter jets bomb ' taliban hideouts',polls close in senegal 's presidential election,0.5647789
iran dissidents ' killed in iraq',A woman is walking the dog down the street,0.56540775
iran dissidents ' killed in iraq',a dog jumps in midair to catch a frisbee .,0.5656208
iran dissidents ' killed in iraq',a young boy riding in a swing .,0.56590104
A young boy is jumping into water,Afghan parliament votes to remove key ministers,0.5659216
pakistan fighter jets bomb ' taliban hideouts',us stocks fall as greek talks lumber ; apple falls,0.5660197
alleged cop killer died from gunshot,iranian president calls for new nuclear talks,0.5660227
A golden dog is sitting in a field of tall grass,five killed in blasts in india,0.5662228
