sentence1,sentence2,similarity
The man is kicking a boxing trainer,Two young children are eating corndogs,0.08540897
The cat perched on the table is looking curiously out the window,"i have many problems with these men , way to many to state here !",0.102108836
Two young children are eating corndogs,A man elegantly dressed in black is wearing an elaborate black mask,0.10521704
how to remove milk smell from hardwood floor ?,Two racers are coming to a turn.,0.11065066
a girl in a red dress rides her bike in front of a white fence .,"I want to drag a cell down auto populating each next cell. Ex.... MJN1001 through MJN1100... no problem, excels will allow this by the copy feature. Each cell needs to hyperlink into a folder that matches each number MJN1001 through MJN1100. If I set the first cell to MJN1001, the next cell becomes MJN1002, however, the hyperlink is still MJN1001. How do I get the hyperlink to auto populate, as I drag it down the column?",0.11072336
Two young children are eating corndogs,A man is naked and standing still,0.1110403
The cat perched on the table is looking curiously out the window,Some old dirt bikers are getting a dirt bike up a sandy hill,0.115047306
Two young children are eating corndogs,a woman is doing weight exercises .,0.12172325
Two young children are eating corndogs,how can i replace a ceiling fan with a regular light fixture ?,0.12643391
how to remove milk smell from hardwood floor ?,A young boy is sitting in a bathing suit and waiting for the next race,0.12777922
