sentence1,sentence2,similarity
two little boys are playing on a playground .,a woman is watching television .,-0.0393066
"nevada is where the most women smoke , 28 percent .",A boy is near some stairs.,-0.03519402
A man is playing a cello.,us drone kills six militants in pakistan : officials,-0.03380095
bulbs a and c are still contained in closed paths with the battery,a man is spreading shredded cheese on an uncooked pizza .,-0.030483268
a woman is pouring eyes into a bowl .,two little boys are playing on a playground .,-0.029213555
a man is spreading shredded cheese on an uncooked pizza .,bulb a and bulb c were still contained in a closed path with the battery .,-0.02830882
tony abbott sworn in as australia pm,A group of rollerbladers is scattering on the street,-0.02459906
A girl is making a flute which is not to be played,Two men are hugging,-0.023801526
"nevada is where the most women smoke , 28 percent .",A child is swimming on the water's surface in a pool,-0.021757929
bulbs a and c are still contained in a closed path with the battery .,a man is spreading shredded cheese on an uncooked pizza .,-0.019956406
"nevada is where the most women smoke , 28 percent .",The boy is wading through the blue ocean,-0.019216336
several hikers rest with their gear in front of a mountain .,A woman is dancing beautifully in a cage,-0.018377332
algeria mounts military operation to rescue al qaeda hostages,A young person in a white shirt and gold and black hat is sitting with crossed legs,-0.017176013
a military aircraft that drops bombs during flight .,A man is playing a cello.,-0.017160084
Two young girls are sitting on the ground,a man in a maroon bathing suit swings on a rope on a lake .,-0.01667355
"since there would be no "" spouse "" , employees would become liable for employer portions of health insurance because there would be no waiving of the tax penalty for employer provided health insurance for a spouse .",A boy is near some stairs.,-0.015716411
A woman is being measured by another woman,The boy is wading through the blue ocean,-0.015512324
A woman in blue has a yellow ball in the hand,us drone kills six militants in pakistan : officials,-0.013724778
There are no boys kneeling next to each other in front of a ball,A woman is slicing herbs,-0.012804057
Two men are boxing,a little girl swimming in a pool .,-0.012708552
a little boy is petting a tiger that is laying down .,"nevada is where the most women smoke , 28 percent .",-0.012080411
a brown horse grazing in a field of green grass .,"bangladesh muslims torch buddhist shrines , police say",-0.011392633
A happy baby is laughing,us drone kills six militants in pakistan : officials,-0.011272948
two little boys are playing on a playground .,A woman is slicing herbs,-0.009826102
""" i started crying and yelling at him , ' what do you mean , what are you saying , why did you lie to me ? ' """,Some horses are resting on the green grass,-0.00968137
Three women are sitting in a village,A boy is running through the sea at the beach,-0.009391251
a man jumps while on a snowboard .,A girl in a brown dress is being surrounded by children and is closing her eyes,-0.00916607
the boy fell off his bike .,The woman is wearing ear protection and is firing a gun at an indoor shooting range,-0.008655375
two little boys are playing on a playground .,A woman pours a mixture into a bowl and mixes it.,-0.008437654
Two twin preteen boys are playing with cards,The woman is wearing ear protection and is firing a gun at an indoor shooting range,-0.007979119
two women watching the street with their bikes to see when they may cross .,The boy is wading through the blue ocean,-0.006623257
The man is eating cereal,Several women are taking off pink bunny ears and are pointing to the left,-0.006547589
russian warplanes strike inside syria,a dog standing on a beach with a ball nearby .,-0.006124476
The boy is wading through the blue ocean,A blond woman is sitting on the roof of a yellow vehicle and two people are outside,-0.005750265
two little boys are playing on a playground .,The woman is wearing ear protection and is firing a gun at an indoor shooting range,-0.0041530374
a man and woman with their hands on their chins are standing next to a christmas tree .,The boy is wading through the blue ocean,-0.0027802526
A woman is posing for three men for a photo,A boy is running through the sea at the beach,-0.001954417
A man is athletically jumping a wall,Two young girls are sitting on the ground,-0.0005540019
Two women are wearing bikinis and are walking on the sand,A kid is playing an instrument,0.0001502838
saudi-led airstrikes hit yemeni capital,There is no monkey kicking at the gloved hand of a person,0.0011491487
A man is athletically jumping a wall,A girl in a brown dress is being surrounded by children and is closing her eyes,0.0020945296
a man is spreading shredded cheese on an uncooked pizza .,bulbs a and c are contained in different paths with the battery,0.0034924503
a baby is laughing .,us drone kills six militants in pakistan : officials,0.0042360737
two little boys are playing on a playground .,A woman opens a window.,0.005244702
two little boys are playing on a playground .,The woman is putting away a flute,0.0062029297
a woman is pouring eyes into a bowl .,A boy is coming down a wall artificially built for climbing and isn't attached to the rope,0.0073446664
A boy is saying something,"nevada is where the most women smoke , 28 percent .",0.008630004
a nuclear weapon explodes in a desert .,she said he persisted and she eventually allowed him to fix her bike while she sat in the front seat of his car .,0.009252187
a nuclear weapon explodes in a desert .,the man helps the boy ride a bike .,0.010417169
idf to deploy iron dome in central israel,a cruise ship docked at a coast .,0.011458613
Four girls are doing backbends and playing in the garden,A man is sitting on a chair and rubbing his eyes,0.013386365
a man in swimming trunks is standing against some rocks .,transporting goods commercially at rates cheaper than express rates .,0.01340215
Two young girls are sitting on the ground,david weber 's the war god 's own has some lengthy travel scenes in it which he does quite well .,0.014597533
russian warplanes strike inside syria,A dog is standing in the sand.,0.015624044
A girl in a black hat is standing topless at the beach,prince philip hospitalised in london,0.016627055
There are no boys kneeling next to each other in front of a ball,a surfer on a wave .,0.017668346
"throughout china 's mainland , the disease has killed 300 people and infected more than 5,270 .",There are no boys kneeling next to each other in front of a ball,0.018610619
"arqule , daiichi stop lung cancer trial , shares tank",the south african government maintains very good relations with the united states government .,0.01969763
A walker is in a hat store for men,Two young girls are sitting on the ground,0.020928496
a small bird sitting on a branch in winter .,algeria mounts military operation to rescue al qaeda hostages,0.021979596
Three women are sitting in a village,A boy is coming down a wall artificially built for climbing and isn't attached to the rope,0.022772847
idf to deploy iron dome in central israel,old green bottle sitting on a table .,0.023913842
"nevada is where the most women smoke , 28 percent .",A boy is jumping off the side of a stone water fountain in front of a building,0.025019148
a man and woman with their hands on their chins are standing next to a christmas tree .,saudi-led airstrikes hit yemeni capital,0.02599902
Two women are wearing bikinis and are walking on the sand,A small man is sitting in a military accessories store,0.027076282
a chimpanzee is hurting a woman .,A boy is near some stairs.,0.028065694
what could be causing my toilet to back up ?,A guitar is being played by a baby,0.029123414
The boy is wading through the blue ocean,two eagles perched on a branch .,0.030107765
man playing game in a store .,us drone kills six militants in pakistan : officials,0.031121306
Two young girls are sitting on the ground,A man is performing a jump on a bicycle,0.032100275
"The woman is wearing a red jacket and holding a glass in front of the man in a t-shirt, which is white",A boy is running through the sea at the beach,0.033147544
A man is passionately playing a guitar in front of an audience,Some horses are resting on the green grass,0.034264375
The woman in overalls paints a picture for her wall.,There are no boys kneeling next to each other in front of a ball,0.03531542
The snowboarder is leaping over white snow,"bangladesh muslims torch buddhist shrines , police say",0.03632301
tony abbott sworn in as australia pm,A man is outside and is throwing blades at a close target,0.037380617
A pedestrian woman is building pink bicycles for boa wearing riders,us drone kills six militants in pakistan : officials,0.03839807
There is no guy mowing the lawn,"the note 's must-reads for friday , july 12 , 2013",0.03944963
Two women are wearing bikinis and are walking on the sand,A man is carving a hole in a piece of wood,0.040432356
a baby is laughing .,algeria mounts military operation to rescue al qaeda hostages,0.041490868
A group of rollerbladers is scattering on the street,mali future interim president readies to take office,0.042536322
"nevada is where the most women smoke , 28 percent .",The child is splashing water in a big red pool,0.04358285
A girl is making a flute which is not to be played,A prey is quickly running behind the cheetah,0.044632662
Bangladesh collapse deaths top 620,a man is playing the piano .,0.04569366
german parliament endorses greek bailout,A man is outside and is throwing blades at a close target,0.046684667
a man is cleaning a glass door .,two beige dogs play in the grass .,0.047749087
the nuclear nonproliferation treaty is reviewed every 5 years .,A man in a white hat is playing guitar on stage,0.048838735
