sentence1,sentence2,similarity
ukrainian presidency says deal reached at crisis talks,a person riding a dirt bike in the outdoors .,0.53426784
A boy is walking across a bridge,Three women cook.,0.53750217
a boy is running on the sidewalk,Three women cook.,0.5402075
lance armstrong stripped of tour de france titles,Three women cook.,0.5416919
the boy is jumping into a lake .,Three women cook.,0.5452494
the boy fell off his bike .,Three women cook.,0.54718477
two women in the kitchen looking at a object .,A man is running on the road,0.5506394
ukrainian presidency says deal reached at crisis talks,A monkey is riding a bike,0.55156463
"us , uk set to agree emergency oil stocks release",A person is playing a piano.,0.552105
"the world 's largest software company said it recognized the difficulty the multiple patches posed for companies , and set out to make it easier for them to apply the updates .",The man is eating a banana by a tree,0.5527231
ukrainian presidency says deal reached at crisis talks,The person is flying through the air on a bicycle,0.55309284
lance armstrong stripped of tour de france titles,the woman is playing the violin .,0.5543819
"i haven 't read the books , but i saw the movie today .",foreign exchange rates in singapore,0.5544687
critical gates memoir rocks obama administration,the man is catching a ball,0.5553117
the man is catching a ball,former british pm margaret thatcher dies,0.55582243
foreign exchange rates in singapore,The white dogs aren't looking curiously at the black llama,0.5565641
Someone is beautifully playing the piano,"us , uk set to agree emergency oil stocks release",0.5567096
the man is catching a ball,"they need to be funded and organised on a state-wide basis , these tiny school districts make no sense .",0.55714315
lance armstrong stripped of tour de france titles,At least one of the three women is talking to the others.,0.5575109
At least one of the three women is talking to the others.,a boy is running on the sidewalk,0.55772424
syria urges refugees to return,The woman is playing an electric guitar,0.5579633
"us , uk set to agree emergency oil stocks release",the ballerina is dancing .,0.55816156
journalists hail london olympics opening,"we had a cat that required daily medication , and it was a struggle to give the cat a pill .",0.5582442
A monkey is riding a bike,9 / 11 defendants ignore judge at guantanamo hearing,0.5585228
a woman is dancing in the street .,9 / 11 defendants ignore judge at guantanamo hearing,0.55854154
ukrainian presidency says deal reached at crisis talks,The man is playing the drums,0.55878
penn state football slammed with ncaa sanctions,a man and a woman are riding on a bicycle .,0.5587988
The black dog is walking through the tall grass,foreign exchange rates in singapore,0.5588878
penn state football slammed with ncaa sanctions,the bulbs are on the same path with the battery,0.55922884
ukrainian presidency says deal reached at crisis talks,a woman is dancing in the street .,0.5595388
the man is catching a ball,"margaret thatcher , former u.k. pm , dead at 87",0.55954593
penn state football slammed with ncaa sanctions,A woman is taking a bath.,0.5598427
"us , uk set to agree emergency oil stocks release",a woman is dancing in the street .,0.55993855
eu set for new sanctions on iran,the man is catching a ball,0.5600586
lance armstrong stripped of tour de france titles,A baby is playing with a doll,0.5601714
The man is eating a banana by a tree,"they need to be funded and organised on a state-wide basis , these tiny school districts make no sense .",0.56048024
obama and romney focus on swing-states,A woman is taking a bath.,0.56085175
Three women cook.,A man is running on the road,0.5612072
the cat is drinking milk .,foreign exchange rates in singapore,0.56137943
lance armstrong stripped of tour de france titles,The woman is playing an electric guitar,0.561438
A black dog is sitting in the grass and keeping its mouth closed,foreign exchange rates in singapore,0.561721
A monkey is riding a bike,u.s. says saddened by shooting on afghan civilians,0.5617396
ukrainian presidency says deal reached at crisis talks,The woman is playing an electric guitar,0.56180847
foreign exchange rates in singapore,two dogs are running in the field .,0.56198007
The dog is chasing the ball,venezuela expels 3 u.s. diplomats,0.5621456
A few men in a competition are running outdoors,A baby is playing with a doll,0.56234777
A few men in a competition are running outdoors,foreign exchange rates in singapore,0.5625682
the boy is jumping into a lake .,At least one of the three women is talking to the others.,0.5627815
The dog is chasing the ball,venezuela expels three u.s. diplomats,0.56325465
A baby is playing with a dog ,9 / 11 defendants ignore judge at guantanamo hearing,0.56330955
a woman is playing violin .,lance armstrong stripped of tour de france titles,0.5635406
lance armstrong stripped of tour de france titles,a cat is rubbing against baby 's face .,0.563599
chinese president meets indian vice president,a woman is dancing in the street .,0.5637214
A grey silky dog is sleeping in the grass and a brown dog is looking on,foreign exchange rates in singapore,0.5637234
ukrainian presidency says deal reached at crisis talks,A woman is dancing alone,0.563899
A baby is playing with a doll,9 / 11 defendants ignore judge at guantanamo hearing,0.56393194
a person riding a dirt bike in the outdoors .,"china welcomes us , russia deal on syria chemical weapons",0.5639509
lance armstrong stripped of tour de france titles,A woman is taking a bath.,0.5641267
the woman is playing the violin .,a boy is running on the sidewalk,0.5644929
The two boys are playing kick ball back and forth to each other.,former british pm margaret thatcher dies,0.5648356
the woman is playing the violin .,us marines killed in base attack,0.564852
venezuela expels three u.s. diplomats,A dog has a sweater on.,0.5649735
venezuela expels three u.s. diplomats,A dog is running through a field and is chasing a ball,0.56500566
"yes , i 've assumed that all packaging would be recyclable in my argument .",a woman is dancing in the street .,0.56504667
venezuela expels 3 u.s. diplomats,A dog is running through a field and is chasing a ball,0.5652269
the exchange also said its five-person compensation committee will consist only of directors from outside the securities industry .,A man is running on the road,0.56534356
venezuela expels 3 u.s. diplomats,A dog has a sweater on.,0.5658138
foreign exchange rates in singapore,A woman is taking a bath.,0.5658578
foreign exchange rates in singapore,A dog is running through a field and is chasing a ball,0.5659941
A baby is playing with a doll,voting canceled in three provinces in tense thai election,0.56636226
The men are acting on a stage,"margaret thatcher , former u.k. pm , dead at 87",0.56689924
"us , uk set to agree emergency oil stocks release",the worst part is that he 's not even a leafs fan !,0.56754124
penn state football slammed with ncaa sanctions,a woman is riding a horse on a beach .,0.5678067
The dog is chasing the ball,guatemala overturns former dictator 's genocide conviction,0.56831944
foreign exchange rates in singapore,The white dogs are looking curiously at the black llama,0.5688789
foreign exchange rates in singapore,A dog is sleeping on a beach covered by snow,0.56915677
two dogs are running on the grass .,foreign exchange rates in singapore,0.569607
The two boys are playing kick ball back and forth to each other.,"margaret thatcher , former u.k. pm , dead at 87",0.57016206
