sentence1,sentence2,similarity
"So if that's what you need, you really do have to be explicit about it.",A dog is eating a doll.,0.50724906
A dog is eating a doll.,"It depends on what you want to do next, and where you want to do it.",0.50831544
Two children splashing in the water.,He refused to say what percentage of domestic flights had security officers on board.,0.5131473
Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.,A surfer is riding on a breaking wave.,0.5141283
"I think we made the right case and did the right thing.""",A dog is eating a doll.,0.519587
"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",A small child is drinking water from a cup.,0.52002573
Two black dogs are playing on the grass.,"So if that's what you need, you really do have to be explicit about it.",0.5220578
"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",A kitten is drinking milk from a bowl.,0.5241721
Two black dogs are playing on the grass.,"Well, I wouldn't put it on my cv.",0.52651936
A woman is climbing a cliff.,The two kids look at the products sold inside the subway shop.,0.5281249
"Two young boys, one white and one black, are standing with their arms around each other.",A woman is climbing a cliff.,0.5304545
A woman is climbing a cliff.,One white boy and one black boy stand with arms around each other.,0.532442
Four dogs playing in the snow.,"Well, I wouldn't put it on my cv.",0.53449553
He refused to say what percentage of domestic flights had security officers on board.,A kitten is drinking milk from a bowl.,0.536506
A woman is dancing on a stage.,The kids are stealing from a store.,0.5385636
"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",A woman is swimming underwater.,0.5408366
Two boys playing a game of flag football.,A woman is putting on eyeshadow.,0.54282093
"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",A woman is painting her wall white.,0.5449845
The woman is styling her hair.,Two boys are playing flag football.,0.54705787
"Yes, you have to file a tax return in Canada.",A group of people are sitting at a beach watching the Blue Angels.,0.5491517
"To my knowledge, there's no time requirement.",A dog is eating a doll.,0.5512388
It calls for the agency to plan an independent safety and engineering organization.,A cat is eating corn on the cob.,0.553331
Two boys playing a game of flag football.,A woman is swimming underwater.,0.55542487
A man is sitting and playing a small guitar.,"Well, I wouldn't put it on my cv.",0.55749524
Two little girls talk on the telephone.,a man running track,0.55959785
A surfer is riding on a breaking wave.,You don't need sauce at all.,0.56170595
He refused to say what percentage of domestic flights had security officers on board.,A blonde haired toddler swinging on a tire swing.,0.5638031
A woman is slicing an onion.,"Still, Mr. Weill will remain very much a power at the company.",0.56589997
I don't think there is a single definition.,A surfer is riding on a breaking wave.,0.5679924
We believe the report is fully consistent with what the courts have ruled ... that the department's actions are fully within the law.,A man mixes vegetables in a pot.,0.5700933
"So if that's what you need, you really do have to be explicit about it.",A man is playing piano.,0.5721785
Two women are sitting in a cafe.,A young man is riding a skateboard and jumps onto a sidewalk then off at another curb.,0.5742799
"Yes, you have to file a tax return in Canada.",A monkey is fighting a man.,0.5763701
a man working at the steel mill,"In the first case, I think you don't need it.",0.5784657
A cat is eating some corn.,Schiphol airport evacuated due to bomb threat,0.5805618
"Well, I wouldn't put it on my cv.",A man is playing a guitar.,0.5826576
A man and woman sit at a table in a restaurant.,"You just have to base your answer on what you do know, which is what you want.",0.58475196
A woman is climbing a rock face.,The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority.,0.586849
A man is preparing a snake for cooking.,Three children sitting in floor playing with several toys.,0.58894235
Three people are by the water with yellow canoes.,Klarman was charged with 16 counts of wire fraud.,0.5910363
"The Pentagon had hoped to retain control of the postwar effort, so the decision was seen by some insiders as a victory for Powell and the State Department.",Two black dogs are playing on the grass.,0.5931314
A woman is preparing an egg in a skillet.,I think that the short  answer to your question is: No.,0.5952273
Two boys playing a game of flag football.,A person is playing a piano.,0.5973209
"Second comes HP (27 percent with $2.9 billion, up just 0.4 percent).",A lady is playing the guitar.,0.59941566
HP fell to second place with server sales growing 0.4 percent to $2.9 billion.,A black dog running into the water.,0.60151076
A boy and a dog running on grass,A woman is preparing an egg in a skillet.,0.60360503
